gene	zscore	p_value_neg
ADH5	0.789823289	0.628880667
PRELID1	0.789785056	0.493693365
NBPF6	0.78920081	0.515800362
MRPL27	0.789082229	0.103686491
HCFC1	0.788964678	0.451736461
GPBAR1	0.788780046	0.227448752
PPIL1	0.788767747	0.360820208
SKI	0.787484544	0.147837558
LGI2	0.786577924	0.280890274
NACA2	0.785784273	0.219299978
C17orf49	0.785727088	0.103807201
RPS12	0.784286605	0.365153948
CTBP2	0.782939542	0.204980334
SDHC	0.781441036	0.313779856
FGFR1	0.781183484	0.235253188
TEAD4	0.780876132	0.472140183
GPR31	0.780228735	0.196760595
SPC25	0.779439921	0.14611689
PSPC1	0.778738553	0.323759825
TTC1	0.778734844	0.394194808
KLHDC8A	0.778584765	0.236705529
SLC4A7	0.778328533	0.278337044
NUTM2A	0.777824689	0.247669894
GREM1	0.777508061	0.249188815
BCL2L12	0.776487977	0.349187566
CYSRT1	0.776186193	0.243225574
SUCNR1	0.775970963	0.289185733
SAV1	0.775357256	0.134505528
GP5	0.775009991	0.093520677
KIAA0391	0.771132135	0.559105814
TSEN2	0.770426003	0.083083124
QPRT	0.769698852	0.179368455
PIK3R2	0.769601427	0.250017478
PGAM1	0.768288562	0.626420737
ZBED1	0.767511812	0.144312151
UNKL	0.766645216	0.353993709
UBE2Z	0.765482351	0.462355897
U2AF2	0.765312372	0.660006998
PPIL4	0.765038935	0.026410934
USP17L20	0.764988043	0.609417413
TSFM	0.764604872	0.60317198
ITGB2	0.763715526	0.131373364
TUBA1B	0.763505267	0.306134776
PIGK	0.763037941	0.154720836
MAGEA11	0.76171763	0.232940218
PDE6B	0.760183745	0.137691736
SULT1A4	0.759786571	0.55435619
TRIM77	0.759732568	0.212640878
RPL31	0.758762739	0.458574348
EIF5A	0.758197475	0.22976581
RPLP0	0.757611607	0.454602897
PTCH1	0.757411261	0.171890309
GOLGB1	0.75714896	0.227521967
S100A13	0.754448319	0.558869602
ATP5I	0.754366898	0.402367583
FCRL5	0.754346464	0.35179863
KLF16	0.754230856	0.571278356
NDUFS5	0.753963739	0.193428494
COL6A1	0.753677986	0.145519117
DNM2	0.753551846	0.753971413
OR2M2	0.753462256	0.261175309
CPSF2	0.752242702	0.567469532
C17orf53	0.751978373	0.739870676
ADAM9	0.751781717	0.102804688
SNRNP70	0.750596647	0.243291727
IFT122	0.749751055	0.337131146
SYS1	0.747696312	0.36173376
SNX1	0.747456641	0.22787209
TDGF1	0.746772647	0.054408813
MFSD8	0.746510629	0.121375859
VSNL1	0.744686128	0.26842413
PMP22	0.744197354	0.459475153
NUDCD2	0.744062154	0.128079463
ARID3A	0.743957456	0.102107114
DCTN1	0.743674243	0.577657267
WDR12	0.743414685	0.550851752
WTAP	0.743223584	0.092317764
TMSB10	0.742690891	0.077561581
GOLGA6L1	0.74261654	0.633134821
EFCAB12	0.742260299	0.32236649
EMC2	0.742177482	0.092431959
DUSP11	0.741758407	0.38086923
GHRH	0.741535349	0.054547766
ISCA1	0.740488713	0.36456185
CABP4	0.740012109	0.309480168
TRPM7	0.738893862	0.192544646
UGT2B28	0.738264335	0.45749144
SCO1	0.737752101	0.428971061
ADCY2	0.737709247	0.117703326
SNAI1	0.737519989	0.104496161
GNPNAT1	0.737481954	0.290401323
UBE2V1	0.737449711	0.56490975
FUS	0.737146757	0.156025035
GTF3C3	0.73713994	0.22137716
PHF23	0.73687051	0.462788351
WDR6	0.736575437	0.362246359
CSRP2	0.735914519	0.420155312
SRF	0.73466891	0.07864499
SLC31A1	0.734380484	0.151265601
OR4F5	0.733592028	0.462738268
YIF1A	0.733200074	0.05390254
CDS2	0.733179546	0.206037371
CEP85	0.732770106	0.333934932
GTPBP1	0.732711575	0.30960627
VWA9	0.732280377	0.356419485
LST1	0.732234316	0.344148033
FAM219B	0.73151454	0.542248972
CSH1	0.731384434	0.048119129
LSM2	0.730324327	0.550865384
GCN1L1	0.730192312	0.406614193
NEO1	0.729331416	0.082765434
MRPS16	0.729184391	0.38909232
SLC52A1	0.728640132	0.509510006
FANCG	0.728565285	0.336669767
NR2C2	0.728342714	0.159028363
TRPM3	0.728128945	0.183110453
IARS2	0.727622121	0.054574023
SEMA5B	0.724469932	0.237424314
GAGE12C	0.724435615	0.146843731
RAVER2	0.724362554	0.330806534
GCNT2	0.724156233	0.082888921
AFG3L2	0.723993938	0.116895604
PPOX	0.72363756	0.32775933
ITGA2B	0.723595922	0.323180727
EIF3F	0.723485665	0.263853632
ADIG	0.723360581	0.037396927
DPH3	0.723349551	0.385758337
NPC1	0.722415443	0.224686558
ROBO2	0.722250163	0.09104747
DDX3X	0.720646392	0.171550858
GRHPR	0.720032789	0.28785195
NMNAT1	0.719616013	0.280085327
UBE2D3	0.719567259	0.323077596
GHRL	0.718230846	0.641361113
REN	0.717668297	0.299622252
RRN3	0.717505319	0.328882438
ARF6	0.716610722	0.147306887
ADM	0.714882479	0.343639055
MYEF2	0.713399608	0.118814662
PTPN23	0.711517508	0.527014831
LYZL4	0.711463131	0.249879921
TGIF1	0.71055765	0.319751518
KLHL40	0.710471292	0.364673714
TSGA10IP	0.710038488	0.062688323
MFSD2B	0.710009245	0.339498194
PIK3R4	0.709590997	0.178503934
SYT4	0.709521822	0.244761014
MCAT	0.708781056	0.457781599
NF1	0.707389176	0.24896963
TMEM72	0.70729405	0.499872361
CDC42	0.707253764	0.754401674
SLC25A40	0.704772401	0.25734231
MRPL35	0.704523706	0.690035568
DARS2	0.704100033	0.513311293
FAM122A	0.704000082	0.044418457
HADHA	0.703450808	0.098078908
WDR74	0.702373788	0.499994118
SMDT1	0.701910975	0.196822658
BLOC1S1	0.701212462	0.285307122
EED	0.700416399	0.097208235
NDUFB11	0.69989201	0.552402821
FBXW11	0.699618851	0.140371149
EIF1AY	0.699408819	0.078499392
HIST1H4E	0.698368921	0.25986782
WDR1	0.697759917	0.568421458
SRRT	0.696958195	0.555705539
PELP1	0.696671321	0.356954894
TTC7A	0.696573646	0.185106155
RLTPR	0.694422132	0.047646133
HTT	0.693812394	0.427642315
CTBP1	0.693458407	0.065145132
ZMAT3	0.693086996	0.151948207
IL17C	0.691800109	0.048556231
SLC43A1	0.691230046	0.249442178
HMBS	0.69076044	0.151063695
DTL	0.690736035	0.461801536
SIX4	0.690340824	0.151804123
FMO5	0.689425379	0.449621303
UPF2	0.689423957	0.4178379
ARMC9	0.688721112	0.16708143
RAI1	0.688244066	0.20650856
CCDC94	0.687963205	0.160528361
CFAP70	0.687772139	0.105989635
TRIM28	0.687590592	0.250705017
ATG12	0.687392585	0.087015936
ADNP2	0.686968745	0.105036034
ARFGAP2	0.686867357	0.037247434
CTSK	0.686303676	0.250215249
DHPS	0.685959605	0.470795275
ZNF543	0.685279294	0.158443657
ZFPL1	0.682713377	0.216833817
PAWR	0.682647736	0.176977929
SCRN2	0.682481815	0.189343502
MARVELD2	0.682435608	0.345775928
SF3A1	0.681681231	0.699099031
FOXI2	0.681489954	0.147477752
EPS8L2	0.68119971	0.066069984
GPD1L	0.68100375	0.180818107
TRRAP	0.680859249	0.460359885
SUPT20H	0.680267429	0.07842779
APITD1-CORT	0.680048208	0.289864632
FH	0.679114335	0.504101563
DOHH	0.678834065	0.305273126
PKD1	0.677314855	0.272321044
KIAA2012	0.676674112	0.258184884
SURF6	0.676331427	0.602663259
HS3ST4	0.676318779	0.299467172
HNRNPK	0.676311561	0.270260622
MSMO1	0.676170739	0.28162823
ALYREF	0.676013244	0.552403273
NEB	0.675873161	0.1858639
ZBTB8OS	0.675859582	0.761153969
BIN2	0.675753016	0.073345871
KAT7	0.675335099	0.829289476
PTDSS2	0.67505776	0.457156103
BATF3	0.674836891	0.253803965
ORAI2	0.674703142	0.232036295
QSER1	0.67453701	0.159028341
LRIG1	0.674150879	0.14879117
IRF1	0.673742236	0.276771624
DUOXA2	0.673703438	0.086703273
TSR3	0.673383469	0.23802763
EFNA3	0.673373772	0.289111453
RHOT1	0.672869691	0.421814004
PCSK9	0.672716473	0.472435172
FAM167B	0.671965043	0.224855836
MDH2	0.671832565	0.161622302
PATZ1	0.671490401	0.638935069
NANOG	0.671242442	0.611433427
RPL17	0.671213464	0.299118821
DNM3	0.670877344	0.403770719
NOTCH2	0.670416286	0.147723624
IQGAP3	0.670374739	0.109400909
CAPZB	0.670271479	0.615121915
SCO2	0.670085723	0.383184515
VWDE	0.670035816	0.236334288
BTBD7	0.67001658	0.047875955
HAUS4	0.669697383	0.586192752
ARHGEF35	0.669075684	0.190740034
DRAP1	0.668925735	0.409643745
LPAR2	0.668880769	0.276751189
TENM4	0.668768874	0.242792005
FAM231A	0.668048299	0.708870826
SETD1B	0.667441712	0.046380859
DNAJC10	0.666901389	0.145530037
ATF3	0.666850513	0.272755631
U2SURP	0.666121703	0.304018035
HEYL	0.665784655	0.073760643
STX10	0.665684013	0.095322336
FUT7	0.665581378	0.062551
CST11	0.665252154	0.301327441
VPS16	0.665097957	0.425693665
KHDRBS2	0.664513688	0.123185061
PPIAL4A	0.664168133	0.284869252
SNX7	0.66376424	0.368264719
HES5	0.662798879	0.155832769
RLIM	0.662559191	0.00071057
ELL3	0.66207855	0.265378632
RAB5C	0.660710687	0.191795219
OR1A1	0.660685087	0.203168775
FOXP1	0.660538874	0.262586952
ACAD10	0.660447657	0.052290881
USP17L28	0.660134172	0.479800118
SDHAF2	0.659713284	0.044841068
PLCH1	0.659108596	0.409772288
EVA1B	0.658746935	0.661091763
SPATC1L	0.658394751	0.257425887
USP28	0.656882341	0.008129566
CERS5	0.65596831	0.501991207
ARFRP1	0.655637768	0.198155543
RARA	0.654533643	0.066401468
NFYB	0.653988179	0.246105138
POLE	0.65287984	0.305367792
KLHL28	0.652781131	0.066280549
FCRLA	0.652044541	0.120215304
INO80C	0.651876753	0.067920807
CDH15	0.65164739	0.106021501
RPL23	0.651149832	0.553533656
PLAGL1	0.650880255	0.440616907
SMC2	0.65044821	0.724188742
MIS18A	0.650158438	0.703149992
HSPH1	0.649708908	0.38706755
KRTAP5-11	0.648745749	0.135917382
MMP3	0.648367443	0.393033759
RASGRP1	0.647984476	0.113296062
EXOC7	0.646858658	0.131904153
RFC2	0.646296522	0.582138847
UHRF1	0.64625693	0.177889025
ANXA1	0.645719569	0.126169153
SUPV3L1	0.645221506	0.664554944
E2F8	0.645073585	0.283854355
TAF12	0.64506204	0.286130022
ANXA8L1	0.644860988	0.206440824
PDE4DIP	0.644852327	0.08494772
PHLDA2	0.643404533	0.288841415
TNFAIP8L1	0.642721703	0.145879022
RAB7A	0.642211407	0.375079698
SUCLA2	0.641463687	0.171498781
SDR42E1	0.641121309	0.404387271
C20orf27	0.640711186	0.434576683
ISG15	0.640655014	0.158560402
AARS	0.640593954	0.323308877
CPA1	0.64053275	0.20662773
CHL1	0.640240409	0.096660471
FAM220A	0.639882581	0.597975408
CLDN25	0.63949371	0.184766348
CTCF	0.638908507	0.374272227
ZNF862	0.638270582	0.041750952
ZNF143	0.637987972	0.504429472
TM9SF1	0.637970494	0.125793281
ATP8B4	0.63788857	0.066729991
SMG6	0.63670085	0.448318825
C10orf126	0.636429326	0.427292853
MDN1	0.636269993	0.450680843
SELENBP1	0.636054014	0.327090386
DNAJB13	0.635627015	0.227448227
DLGAP5	0.635554954	0.705851093
BTBD17	0.635490857	0.350932919
LSM10	0.635084106	0.260860548
ZNF496	0.634596831	0.336683179
GPHN	0.634556166	0.483520265
ACTRT2	0.634547814	0.142431231
CNPY4	0.63437839	0.26628341
UAP1L1	0.634152444	0.113413867
RNF215	0.633887888	0.267343879
CRKL	0.633660462	0.640822859
CIRH1A	0.633253289	0.510945394
TRIM9	0.633245308	0.141729399
COQ2	0.632333854	0.63908919
PSMC3IP	0.632255905	0.428097923
LRTM1	0.63211031	0.469050602
IPCEF1	0.631829776	0.300933661
CXCL2	0.63168761	0.295581164
PHAX	0.631049282	0.32738525
TOMM20	0.630866231	0.079846849
SPNS1	0.630863088	0.165227193
FCRL6	0.630384225	0.292282391
ARFIP2	0.63003308	0.0852472
MYH14	0.629949017	0.36120611
TMEM135	0.629618653	0.172646558
CELF1	0.629291563	0.39248553
RPL38	0.629191972	0.376253206
ST6GAL2	0.628243436	0.204228013
HEXIM2	0.627434273	0.08645091
ZNF566	0.627263495	0.128482164
RFWD3	0.626945018	0.4149581
VPS13D	0.626546932	0.686610021
HEY1	0.626422879	0.324482441
PON2	0.626295733	0.095642816
STIL	0.625961283	0.195959116
OGT	0.625587346	0.287190468
GUCY2C	0.625416656	0.637504095
HYOU1	0.625213165	0.347012702
MAMDC4	0.625027228	0.029208657
TTI2	0.624525593	0.661255242
SLC30A8	0.624049389	0.245195074
PIGP	0.623773592	0.087041566
EIF3I	0.623282655	0.131353189
RALGDS	0.623189853	0.383402048
MTRNR2L9	0.622913134	0.425404224
TUBB4A	0.62284272	0.367157102
CWF19L1	0.622770192	0.063178691
CCDC141	0.622585337	0.644701349
PRC1	0.622449911	0.134165902
HELLS	0.622390721	0.25282059
SPTBN5	0.62221022	0.267611648
REST	0.621818927	0.349136566
DNASE1	0.62161664	0.494946795
UPF3A	0.621329833	0.237963572
TET3	0.620645824	0.283092149
METTL14	0.620567003	0.120008406
MVD	0.620510096	0.170260487
OR10G7	0.620354809	0.415723623
YY1	0.619333679	0.263748338
C4orf46	0.618331032	0.473089681
RASL12	0.618164841	0.269276203
ZNF735	0.617494646	0.174010134
ZNF430	0.61696412	0.182945727
ZNF488	0.616937229	0.108505978
EIF4G3	0.616710072	0.146663702
C2orf74	0.616622293	0.161963951
RAD52	0.616448687	0.051028041
HIPK3	0.615943632	0.506032033
KRTAP19-7	0.615867904	0.322378487
OR2T29	0.615617747	0.467689942
IGFALS	0.61528483	0.067658576
BBC3	0.615138374	0.036995112
HLCS	0.614817907	0.267541669
MTBP	0.614812304	0.34266953
CADM4	0.614539342	0.221009272
CCAR2	0.614510294	0.309302873
NR2C2AP	0.614208974	0.556931409
TCP10	0.614163174	0.224704847
KCNK17	0.614008584	0.055582152
ABCC9	0.613738912	0.082606434
POGZ	0.611857594	0.091906046
C1orf234	0.611774316	0.068201981
LARS2	0.611660641	0.732980628
LONRF1	0.611535923	0.469450205
UBL5	0.611443595	0.585377817
ETV3	0.611199042	0.345728383
SLAMF8	0.611034077	0.358652598
BBS4	0.611012721	0.511500512
C12orf80	0.610782608	0.331885193
RRP9	0.610719356	0.626439587
VPS13A	0.610344937	0.09600156
GPC5	0.609894656	0.162708492
SSTR3	0.609184437	0.079540473
PYCRL	0.608923916	0.172961477
SPANXA2	0.608656267	0.295031037
FXYD5	0.608078637	0.274607924
SIN3A	0.60686219	0.347667611
MGC50722	0.606756696	0.526824953
SLC9A3	0.606527248	0.11668801
MAPK8IP1	0.606478483	0.369210149
PDGFRB	0.60527647	0.225491696
HTR6	0.605169471	0.272512082
PRSS56	0.604831202	0.098876287
YES1	0.604779349	0.093246982
HSPA9	0.604765482	0.246408357
TP53TG3	0.604546032	0.005680608
AK5	0.604498235	0.626325119
FADD	0.603902581	0.223106278
LRRC4B	0.60363634	0.292218053
ZNF580	0.603504327	0.187513139
COG5	0.603206595	0.229525478
PDILT	0.60242075	0.146235941
RRM2	0.60205638	0.178735568
TMEM57	0.601269894	0.244634045
STARD3	0.600822311	0.065466808
MAGEA12	0.600481945	0.145609969
SCAF8	0.600109947	0.233714565
CAMK2N2	0.600104499	0.257444129
NPY2R	0.600032393	0.449769448
AMPD1	0.599789226	0.275338263
RNASEH2B	0.599452585	0.722161359
ANKRD22	0.599096414	0.421758795
WFDC1	0.598731848	0.110091157
SNX15	0.598664773	0.36716821
ZNF114	0.597858287	0.456155934
PPP1R8	0.597668815	0.729111992
ACTR8	0.59750208	0.393216674
MRPL50	0.597240488	0.588220263
C18orf8	0.597071932	0.277144938
SLC5A5	0.596687008	0.215257308
ASB16	0.596661208	0.461180944
