Gene	WT_ExpRank	KO1_ExpRank	KO2_ExpRank	WT2_D14_2	KO1_D14_2	KO2_D14_2
ABCD1	8950	9357	9214	4.906859828	4.585778706	4.484149296
ABCD2	21272	27720	24245	0.203593378	0.026714704	0.066709923
ABCD3	3489	2604	2678	18.01142864	24.89926869	22.12853194
ABCD4	4666	4453	3940	13.19651238	14.28179629	14.8649606
ABCE1	2534	3913	4092	24.8111834	16.52867047	14.31375618
ABCF1	4444	2855	3396	13.88929141	22.6899293	17.43895182
ABCF2	2741	3267	4019	22.92288819	19.97462481	14.53790312
ABCF2P1	25067	29854	30435	0.052270573	0	0
ABCF3	4627	3353	3548	13.30898144	19.41834373	16.66761116
ABCG1	15586	22665	15825	0.860303323	0.183439002	0.793987834
ABCG2	22150	7984	10381	0.161886953	6.351404191	3.332949567
ABCG4	20584	26279	25024	0.243112884	0.062205574	0.034518894
ABCG5	24473	24323	20602	0.071534206	0.122023597	0.253923361
ABCG8	25642	19489	15881	0.036778616	0.376423473	0.783313354
ABHD1	18416	14506	16381	0.418613259	1.130616711	0.693439633
ABHD10	2283	3598	3283	27.38945408	18.08281205	18.0043943
ABHD11	6198	4566	6907	9.180597105	13.80956644	7.505151793
ABHD11-AS1	16359	17256	14057	0.704237467	0.600646841	1.249907951
ABHD12	2781	1889	2258	22.64385821	33.69993878	25.85142952
ABHD12B	20531	24551	19276	0.246135761	0.114507347	0.34948103
ABHD13	5131	9880	9434	11.77169353	4.0066949	4.256433164
ABHD14A	8243	10954	12691	5.783055169	3.000113486	1.77768082
ABHD14B	7442	7503	5903	6.922260912	7.084827507	9.258017832
ABHD15	12985	7633	9676	1.711650146	6.905430941	4.011960809
ABHD15-AS1	31418	32155	32260	0	0	0
ABHD16A	15495	16096	13715	0.88181936	0.784807429	1.360945371
ABHD17A	1114	1900	1688	52.5898526	33.52416213	33.3951619
ABHD17AP1	13548	25362	18235	1.466720139	0.089355089	0.446261442
ABHD17AP3	20349	29010	20795	0.257806756	0	0.244034892
ABHD17AP4	21066	19599	26202	0.215075831	0.366878004	0
ABHD17AP5	16759	22723	26994	0.635419474	0.18065057	0
ABHD17AP6	21574	29219	30020	0.187570941	0	0
ABHD17B	2701	4189	4068	23.28348083	15.33947252	14.41056843
ABHD17C	14386	8041	7611	1.162075726	6.277212719	6.434990753
ABHD18	3787	6757	7196	16.57997586	8.368673643	7.034840488
ABHD2	6192	5484	6709	9.188257682	11.16059985	7.819321493
ABHD3	8482	6501	8737	5.469358275	8.870257631	5.000693749
ABHD4	5775	2897	3415	10.19249384	22.43181645	17.31122512
ABHD5	9728	3968	5660	4.078561845	16.26329677	9.800207504
ABHD6	8813	4415	6520	5.080938333	14.38836588	8.105929236
ABHD8	5850	6400	5912	10.006054	9.100631225	9.241035291
ABI1	3580	2703	3313	17.55007929	23.9216695	17.8158124
ABI2	8956	11879	10986	4.899171415	2.314146799	2.844067855
ABI3	25286	23265	20436	0.046424031	0.158380938	0.263664543
ABI3BP	16479	11208	9880	0.679889093	2.806619291	3.80349795
ABL1	2673	1965	2459	23.44812389	32.75395276	24.08659226
ABL2	12608	10173	10394	1.896032583	3.704826276	3.321018969
ABLIM1	1567	5888	7232	38.59935753	10.15114	6.991589427
ABLIM2	14033	26722	23785	1.280747007	0.051204096	0.085241978
ABLIM3	17861	16285	14617	0.482233115	0.751066783	1.07171815
ABO	24316	17796	20141	0.076994703	0.538486436	0.284238619
ABR	5456	7527	7727	10.92129549	7.051948853	6.25144488
ABRA	3344	24357	23447	18.81296338	0.120871177	0.100610099
ABRACL	3592	918	1410	17.49176992	65.30679019	38.981096
ABT1	4156	4888	4235	15.03114315	12.76364343	13.82077444
ABTB1	11164	15372	12005	2.803935214	0.922430744	2.161237141
ABTB2	4810	9678	11199	12.69652746	4.230832705	2.683152552
AC000068.10	21118	22715	19866	0.212498669	0.181240931	0.301720699
AC000068.5	12781	16492	16960	1.815722521	0.714755406	0.594944252
AC000089.3	11518	17961	17577	2.560343343	0.519934922	0.519336754
AC000095.12	32663	32677	32680	0	0	0
AC000099.1	29358	25613	28095	0	0.081478538	0
AC000111.3	18161	11930	9889	0.445373923	2.279166781	3.794241123
AC000111.6	15928	15508	14467	0.784479002	0.892113539	1.113858989
AC000120.7	21639	26683	20462	0.184379753	0.0524194	0.261795465
AC000123.2	16684	13429	15485	0.647108433	1.505239822	0.863125016
AC000123.3	16755	17756	16916	0.636110147	0.542540788	0.60212957
AC000123.4	16059	15957	17412	0.75904194	0.809237233	0.538870821
AC000367.1	28104	30745	31099	0	0	0
AC000374.1	28361	30845	31179	0	0	0
AC000403.4	20553	29040	20345	0.244930804	0	0.270487893
AC001226.7	32104	20338	20543	0	0.309254972	0.257415987
AC002044.1	32416	22917	27056	0	0.171701935	0
AC002056.3	22918	29461	17345	0.1285071	0	0.547390518
AC002059.10	32013	19803	26242	0	0.349536082	0
AC002064.4	13790	11422	11594	1.364152297	2.617854152	2.421150367
AC002064.5	22781	18586	21714	0.133612177	0.455833356	0.189712056
AC002064.7	13674	28275	29484	1.413578105	0	0
AC002075.3	19886	21396	26609	0.28899819	0.246487667	0
AC002075.4	18687	28791	29764	0.388593184	0	0
AC002116.7	31668	21157	21263	0	0.260374296	0.216728953
AC002117.1	15056	21516	18708	0.985221103	0.24008539	0.399681965
AC002127.4	29036	31127	31419	0	0	0
AC002128.5	15890	14206	15314	0.79169553	1.215432285	0.899284422
AC002306.1	19572	28894	22457	0.312952586	0	0.148117434
AC002310.10	22743	24520	27639	0.135280013	0.115380843	0
AC002310.12	15609	20190	17466	0.855586748	0.319258285	0.531484982
AC002310.14	10565	12271	14844	3.331565258	2.055556668	1.006466577
AC002310.17	13446	20142	14603	1.512199833	0.322440262	1.073564349
AC002310.7	21224	21112	18313	0.205991318	0.26353618	0.43872165
AC002331.1	29378	31284	31546	0	0	0
AC002366.3	22095	18973	18077	0.164203517	0.420149432	0.466295626
AC002398.11	25227	27161	24210	0.047882616	0.040839267	0.067987138
AC002400.1	16518	24539	18898	0.672668202	0.114744259	0.38204083
AC002401.1	21149	29135	29977	0.210208813	0	0
AC002429.5	23702	23074	27103	0.097075779	0.16559261	0
AC002454.1	10208	17787	10349	3.635897006	0.539316613	3.366850915
AC002456.2	11612	28185	19977	2.490303555	0	0.294659151
AC002463.3	18473	28764	29753	0.413291904	0	0
AC002467.7	12621	18064	17199	1.891021322	0.509324005	0.565264494
AC002480.2	29554	27513	29036	0	0.032156779	0
AC002480.3	19466	16656	15805	0.321373605	0.685251956	0.798540862
AC002480.4	28987	18657	26021	0	0.449673446	0
AC002480.5	28173	30770	31120	0	0	0
AC002486.2	28830	23782	27379	0	0.14147889	0
AC002486.3	20469	22028	19211	0.250094588	0.213306635	0.355102054
AC002519.8	31087	27605	29092	0	0.029806373	0
AC002539.1	28698	25744	20500	0	0.078112289	0.260074744
AC002542.2	28390	30855	31186	0	0	0
AC002543.2	19099	21231	18439	0.350132423	0.255967962	0.426122465
AC002550.5	31276	32101	32221	0	0	0
AC002550.6	20494	12170	19239	0.248185469	2.116783397	0.352391351
AC002551.1	31324	32122	32236	0	0	0
AC003003.5	27347	27398	28977	0	0.034983006	0
AC003005.2	31704	32268	21386	0	0	0.209515584
AC003009.1	31344	21462	21501	0	0.243244408	0.202470469
AC003075.4	29526	20960	21857	0	0.273470044	0.182103617
AC003080.4	22945	29465	30175	0.127332754	0	0
AC003084.2	29186	22460	26906	0	0.19256849	0
AC003088.1	28326	11518	14401	0	2.546620026	1.130528988
AC003090.1	19373	25667	21539	0.329198758	0.080221396	0.200322759
AC003104.1	22865	17154	21800	0.130571472	0.612507003	0.185394647
AC003664.1	29164	31184	31464	0	0	0
AC003682.16	18360	13137	15294	0.424073431	1.627622364	0.903194354
AC003682.17	22920	29462	21850	0.1285071	0	0.182463506
AC003956.1	11620	15282	14251	2.486776213	0.942658215	1.176967147
AC003984.1	29222	26424	25064	0	0.058419654	0.032418025
AC003986.5	28617	30952	31265	0	0	0
AC003986.6	21938	25079	27863	0.171217477	0.097354696	0
AC003986.7	15046	28380	29543	0.989504673	0	0
AC003989.3	14390	13476	25421	1.161153443	1.485528348	0
AC003989.4	21898	18728	16128	0.172937747	0.442497806	0.736647878
AC003991.3	28444	25739	28152	0	0.078259254	0
AC004019.10	20326	23599	27300	0.258718539	0.147108024	0
AC004019.13	29402	27087	28814	0	0.042552219	0
AC004022.7	29449	31316	31572	0	0	0
AC004051.2	22414	27072	24115	0.150210815	0.042705127	0.071093327
AC004053.1	29881	27672	29130	0	0.028123593	0
AC004057.1	11878	10878	11620	2.327344429	3.067728823	2.403293726
AC004066.2	27848	30633	31008	0	0	0
AC004066.3	30160	31618	31819	0	0	0
AC004067.5	22646	14288	18750	0.139537753	1.190122854	0.396251219
AC004069.2	11894	20414	26369	2.318061353	0.304166682	0
AC004076.5	20237	17689	22112	0.264248044	0.550924421	0.166754727
AC004112.4	20035	24408	27587	0.278279285	0.118672735	0
AC004156.3	22474	24991	23833	0.14702576	0.100319068	0.083503046
AC004158.3	25622	27530	24596	0.037149834	0.031685236	0.052747972
AC004221.2	15781	20536	17786	0.811840933	0.296752393	0.494018315
AC004237.1	23388	19530	22321	0.109407616	0.373256702	0.155344701
AC004381.6	7407	10892	12981	6.989928985	3.04955225	1.646510183
AC004381.8	22462	12137	14321	0.148007419	2.146013638	1.155832937
AC004448.5	29309	31249	31522	0	0	0
AC004449.6	16493	17437	25831	0.677339509	0.577705469	0
AC004453.8	2879	6750	5787	21.80800226	8.380277857	9.527553876
AC004471.10	31974	32375	32439	0	0	0
AC004471.9	19268	16481	12922	0.336334101	0.717151616	1.671428633
AC004485.3	21610	29228	30025	0.185784551	0	0
AC004490.1	24476	24331	23429	0.071298896	0.121622204	0.101235235
AC004538.3	19137	23572	21450	0.347106367	0.148024177	0.205352611
AC004540.4	15964	12965	19695	0.776744283	1.703541041	0.315107625
AC004540.5	12404	10051	10086	2.022504058	3.839519423	3.612777417
AC004543.2	20198	28979	29876	0.267224354	0	0
AC004549.6	22094	26017	23091	0.164203517	0.070024905	0.116573907
AC004556.1	15872	28459	21736	0.796219504	0	0.188421498
AC004593.3	18889	13809	14133	0.368063733	1.360332877	1.219407053
AC004623.3	21662	27233	24280	0.183512492	0.039129627	0.065141016
AC004691.5	28586	14192	25454	0	1.22113156	0
AC004692.4	28503	30905	31228	0	0	0
AC004754.3	18634	28783	21784	0.393823241	0	0.186392733
AC004837.5	18575	17496	21708	0.401386375	0.570573303	0.189972292
AC004840.8	28765	31025	31328	0	0	0
AC004854.4	15765	18500	25989	0.815071498	0.463451741	0
AC004862.6	28950	27780	29193	0	0.024648767	0
AC004893.10	22630	21547	18733	0.140139209	0.239050539	0.397959198
AC004893.11	16646	16206	18595	0.652986861	0.763207225	0.412069827
AC004895.4	18831	20188	21932	0.374661546	0.319550272	0.177323689
AC004941.3	28448	26651	24805	0	0.053360864	0.044416229
AC004945.1	13266	14308	15570	1.589195751	1.186002266	0.846169863
AC004951.5	14135	20197	26329	1.245681855	0.318734052	0
AC004951.6	28476	30894	24045	0	0	0.074336984
AC004967.7	3784	5569	5555	16.58790633	10.94103418	10.04914656
AC004980.10	21393	29179	20225	0.196646954	0	0.279213308
AC004980.7	12828	15060	13414	1.790532266	0.991309094	1.471872281
AC004985.12	19202	20633	26425	0.341934756	0.291637467	0
AC004987.9	18344	15281	19123	0.425182604	0.942863677	0.36222267
AC004988.1	20074	26893	28704	0.275683689	0.047026336	0
AC005009.2	12445	28217	29448	1.996369078	0	0
AC005014.5	24653	25538	28060	0.065571018	0.08388866	0
AC005041.11	29149	31178	31459	0	0	0
AC005042.1	11409	7732	5091	2.636132142	6.74510169	11.22890278
AC005042.2	13844	14863	12791	1.342810741	1.041171308	1.733289124
AC005042.4	22050	18265	18518	0.166287555	0.488516237	0.419745561
AC005062.2	29779	21296	26578	0	0.251980577	0
AC005076.5	12657	13912	15882	1.873589963	1.315993475	0.782428254
AC005077.14	21430	29192	30004	0.195408765	0	0
AC005077.7	22577	29398	21508	0.142389619	0	0.202174892
AC005077.8	27745	30583	30969	0	0	0
AC005082.12	23735	29604	30266	0.096000875	0	0
AC005083.1	22799	16036	17182	0.133065333	0.794443537	0.566806825
AC005086.1	32440	32572	32597	0	0	0
AC005086.3	18005	19231	13839	0.464461377	0.396140893	1.318950486
AC005104.3	11702	15268	10241	2.438422231	0.945336222	3.462245025
AC005150.1	29943	31520	31739	0	0	0
AC005152.3	28499	30903	31227	0	0	0
AC005154.6	8279	10390	9055	5.74800281	3.514514947	4.642471516
AC005154.7	16378	19686	21558	0.700696043	0.358575808	0.198979599
AC005154.8	28319	30830	31170	0	0	0
AC005162.5	29043	13960	15021	0	1.299837305	0.961734729
AC005176.2	25029	19635	26214	0.053386365	0.364267488	0
AC005197.2	19922	21433	21486	0.286451951	0.244315969	0.20336241
AC005224.2	15178	15119	18208	0.953750547	0.976149006	0.451400916
AC005235.1	29395	31296	31556	0	0	0
AC005251.3	7348	28114	16628	7.081132474	0	0.648664173
AC005253.2	21437	19027	16386	0.195171364	0.416156016	0.692795403
AC005255.3	13802	12518	13942	1.36097985	1.93464157	1.288277219
AC005256.1	21052	29121	29968	0.216268047	0	0
AC005276.1	27423	18161	17733	0	0.499937425	0.499362263
AC005301.9	32692	24801	27754	0	0.105771885	0
AC005307.1	31194	10410	13572	0	3.501602535	1.413161235
AC005307.3	22585	17916	16494	0.142182054	0.525493021	0.672933921
AC005307.4	31617	32236	32329	0	0	0
AC005307.5	23784	21041	19175	0.094299281	0.268094062	0.357047505
AC005329.7	22710	18029	23095	0.13668286	0.512940282	0.116443218
AC005330.2	31630	19147	26108	0	0.403832949	0
AC005351.1	23011	29476	30184	0.124250814	0	0
AC005355.1	20097	28963	29869	0.273980026	0	0
AC005355.2	17481	16272	16757	0.529612068	0.752846946	0.626650683
AC005358.3	11507	28181	29427	2.566760243	0	0
AC005363.11	15797	19863	17123	0.809434766	0.34518501	0.574646477
AC005387.2	15451	17504	15071	0.890747847	0.569791695	0.948560281
AC005387.3	17259	21573	18758	0.557353653	0.237684536	0.395685146
AC005391.2	13473	11207	12061	1.495964559	2.807010621	2.124076702
AC005394.1	31650	13796	25438	0	1.36376373	0
AC005477.1	32519	22133	26808	0	0.208887853	0
AC005480.1	32403	19107	26104	0	0.407792096	0
AC005481.5	27926	27801	29208	0	0.024084999	0
AC005498.3	15395	17116	20556	0.903119345	0.616219167	0.256462594
AC005517.3	15854	14278	17174	0.799482699	1.193293263	0.567581152
AC005518.2	28692	30994	31305	0	0	0
AC005519.4	15921	19619	19832	0.786011562	0.365668517	0.304373189
AC005532.5	21054	18542	16831	0.216028548	0.460628945	0.613465342
AC005534.6	20872	29095	13962	0.225779836	0	1.282312972
AC005537.2	26081	26531	28529	0.021854557	0.055919508	0
AC005540.3	12795	13808	12317	1.808208416	1.360789327	1.963323242
AC005546.2	17704	15736	14632	0.501475009	0.855419923	1.068044738
AC005550.3	29438	24647	22453	0	0.111245771	0.148157048
AC005562.1	21743	18718	18191	0.179809915	0.443041638	0.453878905
AC005578.3	21502	20087	22707	0.191436485	0.326553827	0.135907557
AC005588.2	28274	30814	31157	0	0	0
AC005592.1	16132	28491	29613	0.742555807	0	0
AC005592.2	18686	23763	22273	0.388593184	0.142042551	0.157643484
AC005592.3	24839	29815	30414	0.05951	0	0
AC005593.2	12284	23179	27146	2.087365334	0.161847447	0
AC005609.17	22216	21006	21113	0.158596568	0.270535244	0.225186668
AC005614.3	25938	27833	29230	0.026707801	0.022779186	0
AC005616.1	31581	24051	23246	0	0.131317423	0.109305289
AC005618.6	14444	17196	22788	1.146763553	0.607995079	0.132020783
AC005624.2	20235	21794	26716	0.264327613	0.225446037	0
AC005682.5	22683	13010	14271	0.13756966	1.681782916	1.171987032
AC005682.6	28252	15727	14707	0	0.856447366	1.045564729
AC005740.5	30469	14197	18651	0	1.219788673	0.406128449
AC005740.6	23570	25424	20045	0.102026035	0.087018397	0.289727617
AC005753.1	22230	23941	27429	0.158082479	0.134829153	0
AC005754.7	31929	25712	22798	0	0.079077555	0.131644298
AC005754.8	16104	20858	17468	0.748484522	0.279293579	0.531375735
AC005775.2	20794	20573	22164	0.230311427	0.294650251	0.163506259
AC005776.1	31835	32321	15031	0	0	0.958406927
AC005780.1	31624	25884	28213	0	0.074276417	0
AC005785.2	22344	22858	21244	0.153279554	0.174310293	0.217637194
AC005785.5	22305	24029	27460	0.154820459	0.132046964	0
AC005786.5	17463	21777	26712	0.531536181	0.226674625	0
AC005795.1	31692	16758	15170	0	0.669085154	0.928215824
AC005796.2	32420	32564	32589	0	0	0
AC005822.1	17939	25654	22743	0.472104982	0.08053203	0.134065635
AC005863.1	27589	24650	27686	0	0.11106754	0
AC005932.1	23561	29574	20035	0.102239926	0	0.290335013
AC005954.3	31602	21360	26602	0	0.248327127	0
AC006000.5	20752	18189	16547	0.233063057	0.496950941	0.661838953
AC006019.3	23161	29498	30197	0.118561859	0	0
AC006019.4	25806	27699	29148	0.032063409	0.027347004	0
AC006026.13	29124	12842	14939	0	1.769991224	0.98219717
AC006026.9	22142	25270	27938	0.162381059	0.092330286	0
AC006028.11	28813	31047	19327	0	0	0.3453611
AC006042.6	17238	14557	17465	0.56163276	1.117710389	0.531630714
AC006042.7	21915	29279	20785	0.172326659	0	0.244681627
AC006042.8	19323	15174	13303	0.332663333	0.964681438	1.511484868
AC006077.3	9955	13544	16869	3.850140365	1.459466447	0.607411408
AC006116.12	14655	28353	15210	1.083743214	0	0.92326534
AC006116.13	23666	21283	22614	0.09882157	0.252855889	0.140313881
AC006116.15	23972	23480	20647	0.088508974	0.150979288	0.251342652
AC006116.17	31652	26169	28343	0	0.065684633	0
AC006116.19	14202	23529	27276	1.223581048	0.149085282	0
AC006116.20	16252	15906	18422	0.722495476	0.821625556	0.427437657
AC006116.21	17712	25489	22576	0.500702717	0.085410254	0.142186654
AC006116.22	21741	29248	30036	0.179874392	0	0
AC006116.24	17684	20710	17954	0.504501151	0.286860647	0.477551038
AC006128.2	14755	16569	14283	1.05762892	0.701598931	1.167986273
AC006129.1	31712	32271	32359	0	0	0
AC006129.2	15162	26079	28305	0.958593506	0.06813234	0
AC006129.3	32488	32591	32610	0	0	0
AC006145.4	22469	26258	22289	0.147448056	0.062879507	0.157017915
AC006160.5	18661	16129	17270	0.391714415	0.779554368	0.55618394
AC006195.2	16151	22724	22403	0.740518682	0.180454637	0.150205858
AC006196.1	28690	30993	31304	0	0	0
AC006262.11	32250	20582	26410	0	0.29395614	0
AC006262.5	31721	32273	23459	0	0	0.099848451
AC006262.6	25706	23533	24679	0.034921908	0.148925148	0.049584605
AC006272.2	31709	23472	20641	0	0.151253795	0.251799638
AC006273.4	23275	25107	22207	0.113414987	0.096732078	0.161034652
AC006273.5	16435	12616	11700	0.688819839	1.879990678	2.347284763
AC006277.3	13434	14889	15923	1.515489267	1.034053294	0.774647737
AC006296.1	30274	31664	31861	0	0	0
AC006296.2	29942	31519	31738	0	0	0
AC006355.3	28564	21388	26607	0	0.246853375	0
AC006372.4	29114	27897	29268	0	0.020566029	0
AC006378.2	11639	17895	11604	2.473201629	0.527350792	2.414243757
AC006427.2	29986	31542	18823	0	0	0.389563435
AC006445.7	21199	19740	19973	0.207525296	0.353998245	0.294659151
AC006460.2	21860	18691	13067	0.174328667	0.446056769	1.608907429
AC006461.2	19749	21232	26557	0.300113505	0.255967962	0
AC006483.5	28544	21065	18259	0	0.266633293	0.443877567
AC006486.10	19609	16034	22911	0.310627036	0.794804976	0.126014378
AC006499.1	23994	25872	22946	0.087398646	0.074542641	0.124094804
AC006499.7	15132	17702	18161	0.965711775	0.549106188	0.457062049
AC006538.1	18291	19590	23730	0.431034233	0.367630753	0.08743043
AC006539.2	29661	20016	17283	0	0.3334252	0.555069343
AC006539.3	31698	20629	14980	0	0.291893289	0.971858253
AC006539.6	32059	32403	32460	0	0	0
AC006547.13	17722	13874	11906	0.49922912	1.330607606	2.215127975
AC006548.28	26273	27948	29298	0.001156596	0.018742837	0
AC006552.1	30153	12031	13511	0	2.216886027	1.438692603
AC006946.15	17546	28651	29690	0.52198641	0	0
AC006946.16	25738	29980	30517	0.034175504	0	0
AC006960.7	29482	31332	20450	0	0	0.262788996
AC006978.6	4505	4784	5731	13.68522452	13.08903485	9.65946706
AC006994.1	20759	19219	26121	0.232784939	0.397086337	0
AC006994.2	15111	23079	27105	0.969551583	0.165386854	0
