Gene	Rank	WT2_D14_2
NDUFS5	143	415.0239379
PKM	144	414.136212
BTF3	145	407.1152538
TCEB2	146	402.1494966
ATP1A1	147	401.578431
COX6B1	148	400.1568011
VCAM1	149	400.0037503
MAGED2	150	399.1491157
EEF1B2	151	394.4745169
GSTP1	152	385.5659703
COX5B	153	382.7229554
RPL36	154	380.6908554
MT-ND4L	155	377.6259293
RPL37A	156	374.0538569
RPS3	157	373.402747
UQCRH	158	371.3452651
NPM1	159	369.8709008
COX8A	160	359.6310649
HIST1H2BD	161	358.3835298
BEX3	162	356.3602685
EIF4A2	163	355.0477768
PGK1	164	354.5958119
RPL35A	165	354.2997844
PRDX5	166	350.4510327
CALM3	167	349.5678437
FHL2	168	348.9894464
NKX2-5	169	347.0448183
HSPB7	170	345.6616798
UBL5	171	344.4628313
RPS28	172	344.2667176
YBX1	173	344.0194422
HIST1H2BI	174	342.9191685
SNORA74B	175	341.3791124
TUBA1A	176	337.9474767
TUBB	177	336.8121677
UBA52	178	336.7344986
HIST1H4E	179	332.5837266
HMGN2	180	329.5115061
LAPTM4B	181	329.0230215
GAS5	182	326.6577061
RPL31	183	319.2847243
HIST1H2BO	184	309.8079614
CALR	185	304.9787035
RPS24	186	303.7864617
FBN2	187	303.5557291
SC5D	188	300.5535298
VCAN	189	300.4044137
EDF1	190	296.462443
PFN1	191	295.9426733
CHCHD2	192	295.2203504
PFDN5	193	286.6511837
MYL9	194	285.6511666
RPL15	195	283.3730262
MDH1	196	282.377796
SNORA49	197	280.3282446
HIST1H2AJ	198	279.4709832
BAMBI	199	278.8701454
ATP5A1	200	275.5385329
HIST1H1D	201	274.8633541
PSAP	202	270.5576656
APOE	203	269.1985739
HSPA8	204	262.2303252
SNORD116-13	205	261.5274832
PLD3	206	260.7681968
OST4	207	250.1660434
SLC25A5	208	247.7408633
ARHGAP5	209	246.2062231
CRABP2	210	244.4212092
YWHAE	211	241.6696339
RPS9	212	240.8584298
PRDX6	213	237.8090135
CCNG1	214	237.0516802
CTNNB1	215	236.5573973
CSRP3	216	235.71972
LRRC75A-AS1	217	235.2415411
HIST1H2AI	218	232.961614
NDUFB7	219	232.1600482
RPL9P9	220	229.5347614
HIST1H2AB	221	229.4107446
KIAA1143	222	226.4872498
NEBL	223	225.7713091
CANX	224	225.0778252
HSPD1	225	224.2019798
KLHDC3	226	222.3238755
TPT1	227	221.8773493
ENO3	228	221.7893089
SNORD116-14	229	220.7977932
RNU6ATAC	230	219.262927
PSMB4	231	218.4133267
PPIA	232	217.7633444
CNBP	233	215.1106595
ATP5C1	234	214.2816439
CALM2	235	214.1420835
PFKP	236	213.4908222
FKBP8	237	209.6015431
EIF4G2	238	209.01687
ANXA6	239	208.191538
COX4I1	240	208.0522489
SLC2A3	241	206.2137151
MT-ND5	242	205.7376681
CSDE1	243	204.5400622
ITM2C	244	203.2244935
EIF3K	245	203.1883283
HIST1H2AC	246	202.6901579
UQCR10	247	202.6504953
SNORA71D	248	201.6740191
SERPINH1	249	200.927574
HIST1H4F	250	200.0917535
SMPX	251	200.0732515
TUBB4B	252	199.971528
PTMA	253	199.780946
EIF4B	254	198.6018484
FABP3	255	197.6457451
TAF7	256	196.4475375
DACT1	257	196.4177907
RNVU1-7	258	195.6721643
HIST1H2BJ	259	195.1766655
HNRNPK	260	193.0832297
PGAM1	261	192.9418246
NDUFA1	262	191.7501099
ATP2A2	263	191.7149922
MORF4L2	264	190.7546267
HIST1H4L	265	189.74218
NOP10	266	188.5359798
KRT19	267	187.9923331
ROMO1	268	187.5860981
NDUFA4	269	187.0782994
ATP5G2	270	186.9491764
SNTA1	271	186.7994408
PNRC1	272	185.9635028
SNHG16	273	184.6738055
VDAC2	274	184.5889078
IDH2	275	184.3523788
HIST1H2BG	276	183.5576813
NCOA4	277	183.0766211
APLP2	278	182.1937023
SNORD116-6	279	181.7266252
SRP14	280	181.6457547
GPX1	281	179.3007676
POLR2L	282	176.4713821
TECRL	283	175.2812249
TUBA1B	284	175.1439245
EEF1A2	285	174.7169803
PRDX3	286	174.4457116
HMGN3	287	173.8966668
FAM127A	288	173.7479163
ATP5D	289	172.747738
OAZ1	290	172.5603873
BSG	291	172.3818366
GDI2	292	172.3440452
BZW2	293	172.1239222
NACA	294	172.0383581
ID1	295	171.9677614
SF3B5	296	171.3943025
APOBEC2	297	171.029406
GPI	298	170.3712243
CKM	299	170.2311505
SMYD1	300	170.0359804
CMTM5	301	168.5745089
HIST1H3J	302	167.6859367
HNRNPA1	303	167.3840544
TMEM14C	304	166.8372239
UQCRC2	305	166.5849367
SNORA71A	306	166.4727358
CYC1	307	166.4376439
HIST1H2BM	308	165.8127117
RRAD	309	165.7662972
TMBIM6	310	165.7336209
RNU5E-1	311	165.5668204
UBC	312	164.6060182
DDX17	313	164.3964413
EIF3E	314	162.7118031
RPL39	315	162.2192474
ACTG1	316	161.8206602
BNIP3	317	161.2270221
PSMB3	318	161.120259
EID1	319	161.0186696
RPL27A	320	160.7226398
RPL26	321	160.1051959
QPRT	322	159.6365004
MYBPC3	323	158.4111394
IMPDH2	324	158.3278961
CCT2	325	157.4347073
ID3	326	156.3872719
VDAC3	327	155.7952115
CHCHD10	328	155.2462154
XRCC6	329	155.1374144
SLC25A3	330	154.9614773
HIPK3	331	154.6491655
RPL36AL	332	154.433408
ACTB	333	154.214277
PSMB1	334	153.6047323
C6orf48	335	153.5650848
TPM2	336	153.5252433
HMGA1	337	153.2001829
GNG5	338	153.1720111
RXRG	339	152.9771711
PNRC2	340	152.9752632
GPX4	341	151.6937354
AHNAK	342	151.6918723
YPEL2	343	150.9399161
KRT8	344	150.7160165
COX7A2	345	150.6350202
RAN	346	150.633894
CCT3	347	150.5951508
COX6C	348	150.441943
PHB2	349	150.0224409
RPS2P5	350	149.971299
HIST1H3A	351	149.6358618
UBB	352	149.5091003
SOD1	353	149.2842092
HIST1H4A	354	148.6575097
METTL9	355	148.1141492
SNORD116-27	356	147.9130848
HMGN1	357	147.7638294
UQCRC1	358	147.7100055
ATF4	359	147.4823268
GHITM	360	146.6045268
SNORA38	361	145.9330557
EIF4H	362	145.8653443
CSRP2	363	145.6766431
NDUFV1	364	143.9243357
SNRNP70	365	143.6978098
MAGED1	366	142.9846123
AP2M1	367	142.8766177
CDH2	368	142.7045806
HIST1H2AG	369	141.556428
YWHAQ	370	141.4038876
PSMB5	371	141.3323734
SNORA5C	372	141.2850528
HIST2H2AB	373	140.3336876
PHPT1	374	140.1346327
HNRNPC	375	138.7888689
SNORA37	376	138.6852644
MT-ND2	377	138.3880744
HSP90B1	378	138.3100232
AK4	379	138.013683
RPS26	380	137.3292927
NDUFB10	381	137.0525477
USMG5	382	136.8624242
TRIM28	383	136.7008409
XRCC5	384	136.4564137
CCT7	385	136.3650103
NDUFB4	386	136.0844024
CIRBP	387	136.0224359
PEBP1	388	135.8922406
PSMA7	389	135.6518268
RPL37	390	135.593626
SCARNA13	391	135.2701384
HIST1H3H	392	135.0207261
RPL23A	393	134.7952534
HIST2H3D	394	134.6484861
RAB11A	395	134.4373484
GNAS	396	134.2518278
FKBP10	397	133.988267
ALPK2	398	133.5587527
CHP1	399	133.3815316
SNORA7B	400	132.8763419
FTH1	401	132.8647259
MLF1	402	132.3331073
RN7SL471P	403	131.903914
TMEM106C	404	131.8463478
C19orf43	405	131.699556
PKP2	406	131.4735654
HINT1	407	131.4116057
HIST1H3E	408	129.7819946
IGFBP2	409	129.7568089
CRIP2	410	129.4591822
HIST1H3G	411	129.1048451
HIST1H2BL	412	128.7807388
ATP5G1	413	128.7486938
CCDC141	414	128.0995748
KRT18	415	127.8617436
SELT	416	126.9729814
ATPIF1	417	126.7018079
MTCH1	418	126.503227
BMP2	419	126.1365052
RPN1	420	125.7988855
NDUFB11	421	125.4951167
NREP	422	125.1862764
ILF2	423	124.9626953
CCT8	424	124.8363708
SET	425	124.8102374
MTPN	426	124.3895733
VDAC1	427	123.96314
SNORA63	428	123.5963635
UQCRQ	429	123.5545044
TOMM7	430	123.4478518
PSMB6	431	123.2460346
HIST1H2AL	432	123.1652045
NDUFA6	433	123.0757962
TSTD1	434	122.9371208
CLIC1	435	122.932905
MDH2	436	122.8739747
MCRIP1	437	122.625349
TSPAN15	438	122.4597189
EIF3L	439	121.9005342
TMSB4X	440	121.4589803
ARF1	441	121.3765878
RBBP4	442	120.9965913
EEF1A1P5	443	120.5859524
CUTA	444	120.4912314
RPL7L1	445	120.4599558
COX5A	446	120.4230431
CD59	447	120.3250534
NONO	448	119.954557
DAD1	449	119.8587644
CORIN	450	119.8394753
SNORD116-26	451	119.0976753
H3F3AP4	452	118.9474259
FKBP1A	453	118.8317957
VIM	454	118.2977532
MMP15	455	117.6653746
ID2	456	117.3700288
SNORD116-7	457	117.2517924
BRK1	458	117.2028637
RP11-175E9.1	459	117.12261
ARL6IP5	460	116.56137
ACTN2	461	116.4638642
TRMT112	462	116.44953
TRH	463	116.2047091
GABARAPL2	464	116.1713035
UGP2	465	116.1289649
PPP1CC	466	116.1104033
OXA1L	467	115.8217339
ACTA2	468	115.6959988
RPN2	469	115.2907132
DDOST	470	115.1534811
DDB1	471	114.9897555
CLIC4	472	114.7886151
EIF4EBP1	473	114.7814843
RPL22	474	114.6886356
GLO1	475	114.4089234
NDUFB5	476	114.310369
NME4	477	114.1929049
TXNIP	478	114.1830067
RN7SKP230	479	114.1824063
EIF3D	480	114.0302516
ATP6V1G1	481	114.0194462
PSME1	482	114.0054293
POLR2E	483	113.6941157
BMP5	484	113.5581577
SRP9	485	113.5284708
ATP5F1	486	113.4502704
FN1	487	113.4470019
C1orf43	488	113.3905709
SLC16A1	489	113.2604886
COPE	490	113.0995158
UNC45B	491	113.0835007
PARK7	492	113.0743968
APEX1	493	112.6827593
DDX5	494	112.6719238
PYGB	495	112.320841
CFL1	496	111.8989428
SPTBN1	497	111.4532915
NUCKS1	498	111.4406683
YWHAZ	499	110.6824346
ITGB1	500	110.176437
MARCKSL1	501	109.9517202
HIST1H4I	502	109.6818538
SNRPC	503	109.5151037
FAM213A	504	109.4821013
CAPRIN1	505	109.473155
RPS15A	506	109.0748398
HIST1H2BH	507	109.0480423
SNORA47	508	108.9280588
MYOM1	509	108.8034158
HADHA	510	108.5286625
FAM96B	511	107.8178046
CALU	512	107.447861
RPL30	513	107.1441478
LINC00998	514	107.043765
LTBP1	515	107.005399
MB	516	107.0024945
ACADVL	517	106.9077678
PGRMC1	518	106.8576468
NDUFB1	519	106.8573726
SUB1	520	106.5616548
P4HB	521	106.2054879
WNT2	522	106.1411083
DSTN	523	105.9080657
GUK1	524	105.5753625
NPTN	525	105.5609478
SNRPD2	526	104.9853943
STMN1	527	104.9541432
CDC42	528	104.0211088
SF3B1	529	103.994342
MORF4L1	530	103.9888549
PEG10	531	103.849389
ERH	532	103.6329448
RPS4Y1	533	103.4633215
EIF1	534	103.4304928
PTTG1IP	535	103.3001667
CHMP2A	536	103.0633333
ERGIC3	537	102.6524604
HIST2H2BE	538	102.6072063
NES	539	102.2960713
TCEAL8	540	102.0848208
ISOC1	541	101.6640527
FSTL1	542	101.5636416
GOT1	543	101.3618653
MTATP6P1	544	101.1228043
PDLIM5	545	101.0970778
COL2A1	546	100.7299574
EXTL3	547	100.6200205
HAND2	548	100.5099901
ZNF664	549	100.4513381
MRFAP1	550	100.3972086
GAMT	551	100.3143216
EZR	552	100.2934941
MTCH2	553	100.1347241
TOMM20	554	100.1103473
RHOA	555	100.0777025
C14orf2	556	100.0247019
MRPL21	557	99.77055846
MAGEF1	558	99.38621253
ARPC1A	559	99.37118888
DPYSL3	560	99.36232885
LSM4	561	99.23783151
TIMM17B	562	99.20704146
CDKN1C	563	99.06090314
EIF3G	564	98.50499733
Sep-02	565	98.49990249
ID4	566	98.41184639
SF3B6	567	98.04622026
CS	568	98.01542521
C4orf48	569	97.99160668
MAPRE1	570	97.98430617
SSR3	571	97.70468434
NDUFA8	572	97.65300459
DKK3	573	96.63353756
ATP5G3	574	96.45097024
PSMD4	575	96.11704845
BASP1	576	95.77824908
FDFT1	577	95.77068071
PRMT1	578	95.44264417
KPNB1	579	94.9060241
TMED9	580	94.87920834
DNAJC8	581	94.5866442
HAS2	582	94.5077933
HRC	583	94.5029549
SRSF5	584	94.39832598
DYRK2	585	94.10468905
AKR1A1	586	94.084256
HIGD2A	587	94.02204639
MT-ND6	588	94.00024631
EIF2S3	589	93.93837436
RHOBTB3	590	93.68953037
LEPROT	591	93.66562839
PAICS	592	93.46072074
PGD	593	93.12589933
TUFM	594	92.94636122
SH3BGRL	595	92.78106356
QARS	596	92.65695622
H3F3B	597	92.65674739
UROD	598	92.62223979
RAB10	599	92.56727872
SERF2	600	92.41842798
STOML2	601	92.3202787
MAPKAPK2	602	92.12068068
LAPTM4A	603	91.98871579
IMMT	604	91.89602962
RPS23	605	91.8907209
DYNLRB1	606	91.79397649
HIST1H2BF	607	91.33370633
NDUFS4	608	90.88082856
ERBB2	609	90.81241559
LGMN	610	90.81157946
STRAP	611	90.77950003
RBM38	612	90.70581383
EMC10	613	90.64396366
NDUFAB1	614	90.55823976
LAMB2	615	90.55629089
FH	616	90.5253748
PTMS	617	90.1877308
AURKAIP1	618	90.14634853
ARPC2	619	89.96626417
GLTSCR2	620	89.70646292
HSD17B10	621	89.47695468
CD63	622	89.40088531
ST13	623	89.31400197
PTN	624	89.30882126
SCARNA22	625	88.88442326
NORAD	626	88.72969917
ALDOC	627	88.70502604
HSP90AA1	628	88.64339112
PSMA4	629	88.57533748
IFI27L2	630	88.51033908
VCP	631	88.37561527
VPS28	632	88.303158
HSPA9	633	88.22972883
CBX3	634	88.076114
SSR2	635	88.04266967
ATP5E	636	87.97497137
ADH5	637	87.82465498
NDUFB3	638	87.79537721
PPP1R14B	639	87.7919012
OSTC	640	87.48653318
BEX4	641	87.45194296
PDIA4	642	87.32057476
SCD	643	87.2842252
OIP5-AS1	644	87.21141321
MT-ATP8	645	87.12032826
DYNLL1	646	87.01335811
EIF3I	647	87.00950068
PJA1	648	86.89178066
CREG1	649	86.4471304
TXN	650	86.36962221
ARF5	651	86.24501601
SEC61G	652	86.07095399
ESD	653	85.77243983
ATRAID	654	85.75019298
ISYNA1	655	85.44970159
MARCKS	656	85.37045771
QKI	657	85.15636287
RNU4ATAC	658	85.15125251
RABAC1	659	85.13730473
YAP1	660	85.03649125
RNF5	661	84.94606877
TBCA	662	84.877234
H1F0	663	84.79839667
ANXA5	664	84.71042582
UBE2D2	665	84.63646014
RBM24	666	84.56126104
SPINT2	667	84.4691016
SNORA5A	668	84.33640799
KDELR1	669	84.27476586
KIAA1551	670	84.25229501
RBFOX2	671	84.12589029
ATP5J	672	83.9930155
GBAS	673	83.90311107
UBE2D3	674	83.78351547
CLDN6	675	83.77160246
HDLBP	676	83.65730743
EIF5A	677	83.54819028
MRPS21	678	83.34100512
HTRA1	679	83.30602146
MAT2A	680	83.26898432
NARS	681	82.93006823
SLC8A1	682	82.92333278
CTSB	683	82.92232806
PTP4A3	684	82.88640383
SEC61B	685	82.63542005
MRPS34	686	82.58185994
PDHB	687	82.55594317
GOLGA7	688	82.49237941
AHCY	689	82.36521086
RPS29	690	82.25849054
BEX1	691	82.24364877
RPL14	692	82.13196872
CITED2	693	81.92944549
TMEM141	694	81.81338023
TSC22D1	695	81.74478809
HIST2H2BF	696	81.64827134
ALKBH5	697	81.64350982
AAMP	698	81.58459427
COL18A1	699	81.46519659
LIX1	700	81.39154244
ENY2	701	81.20912805
GRHPR	702	81.07937596
KDM1A	703	80.90122007
PSMC3	704	80.89744767
AP2S1	705	80.74445574
CAPNS1	706	80.69417899
RBM8A	707	80.67235226
POPDC2	708	80.65550457
C4orf3	709	80.51658662
CCT6A	710	80.3307064
COX6A1	711	80.14394746
PPDPF	712	79.92606202
C19orf53	713	79.92482033
SLC16A3	714	79.53966541
DARS	715	79.44246264
DANCR	716	79.44150009
ATP6V1F	717	79.14776872
SNHG1	718	79.07454949
ZFP36L1	719	79.06725228
FLOT1	720	78.90915443
CCT4	721	78.82643802
SEC61A1	722	78.73953261
RNF181	723	78.5269673
TMEM147	724	78.51063506
S100A4	725	78.5053011
SP1	726	78.47337822
SNX3	727	78.21003694
GPX8	728	78.20962213
PPIB	729	78.04764093
MIB1	730	77.94344199
RP11-120I21.2	731	77.90682348
NIPSNAP3A	732	77.69379746
C16orf13	733	77.6872767
DGCR6L	734	77.67297969
DRAP1	735	77.47329288
SCARNA1	736	77.43837873
STARD7	737	77.21670399
HIST1H4H	738	77.17154802
PYGM	739	77.15435474
IDH3B	740	77.10648486
PPP2R1A	741	77.10390159
AC013461.1	742	77.09958222
FAM32A	743	77.09620693
HADHB	744	77.01320806
OAZ2	745	76.9895652
ECHS1	746	76.92623521
SRSF6	747	76.84017933
COPB2	748	76.8370784
CNN1	749	76.67862373
NIPSNAP1	750	76.62459263
P4HA1	751	76.46583589
C1QBP	752	76.10267239
SSBP1	753	75.81893379
PABPC1	754	75.53569975
HNRNPDL	755	75.49647121
SMARCA1	756	75.48172001
TIMP1	757	75.34649045
OBSL1	758	75.32822682
UBE2L6	759	75.32274605
SLC25A39	760	75.26284002
SERPINF1	761	75.23289589
LAMTOR5	762	75.16993932
AKR1B1	763	75.15708835
ATP6V0B	764	75.0124805
GUCY1A3	765	74.9936945
NDUFA3	766	74.94084324
SARAF	767	74.94036652
SNHG8	768	74.93865631
MRPL14	769	74.88710952
MIR3687-2	770	74.77828175
HDGF	771	74.59788566
RTN4	772	74.57938172
SNHG6	773	74.56818039
NPC2	774	74.52204988
NID2	775	74.25756905
FIS1	776	74.20542799
PFKM	777	74.16929609
MYL12B	778	73.97242142
COPZ1	779	73.92099235
VAT1	780	73.9173839
TMEM106B	781	73.84214514
SQLE	782	73.81040711
ACTR1A	783	73.75043361
TALDO1	784	73.70434617
UBE2E1	785	73.69849923
TIMM8B	786	73.42855457
CCNI	787	73.41155251
C14orf37	788	73.13798649
SNX18	789	73.11717316
TBX20	790	73.03486876
TMED4	791	72.95271
ATP6V1E1	792	72.92293671
APP	793	72.91797298
HK1	794	72.79235507
MDFI	795	72.69334088
PSMD8	796	72.60682557
PARP1	797	72.60034961
NAXE	798	72.58052317
IARS	799	72.45299118
SERINC1	800	72.39626477
MEIS2	801	72.243494
LAMTOR4	802	72.18628762
VSTM2L	803	71.89291939
SNHG5	804	71.74623613
SEC11A	805	71.66198817
TEAD1	806	71.56008347
LGR4	807	71.49822471
RNY3	808	71.46267133
REPIN1	809	71.40291036
VPS25	810	71.36642918
COPG1	811	71.32736046
SNORD3C	812	71.30282938
PRKAR1A	813	71.14455451
HMGB3	814	70.95368897
VEGFA	815	70.75252544
IFITM3	816	70.73784819
G3BP2	817	70.71222112
RBX1	818	70.61434963
SAP18	819	70.53779392
AES	820	70.53058334
PGLS	821	70.45745698
TMEM258	822	70.36477678
ATP5J2	823	70.35864146
RBMX	824	70.25334165
PJA2	825	70.20543449
PTP4A2	826	69.89081236
CDC34	827	69.78988611
CTNNA1	828	69.74737978
HMGB2	829	69.70922721
CPE	830	69.5637924
SSU72	831	69.37643328
YTHDF2	832	69.24869681
CD24	833	69.19824372
UBXN1	834	68.95242287
DSP	835	68.83078062
CNN3	836	68.73045975
GRN	837	68.62337621
RDX	838	68.47072677
SPAG7	839	68.44477103
AKR7A2	840	68.09586511
DHX9	841	68.07999873
RTCB	842	68.02455648
ODC1	843	68.01435609
H2AFZ	844	67.97383428
OGT	845	67.96781124
TUBB6	846	67.92625245
RPL28	847	67.92161991
SMTNL2	848	67.81605262
H1FX	849	67.74474512
DCXR	850	67.68761621
IST1	851	67.59021834
CCNB1IP1	852	67.54186951
MRPS15	853	67.53305658
ZC3H11A	854	67.517262
TUSC3	855	67.48874369
PSPHP1	856	67.40966477
NAP1L1	857	67.36805065
SSR4	858	67.26546453
Sep-07	859	67.24163935
MRPL41	860	67.19207926
SLC25A1	861	67.17007432
MEF2A	862	67.05202026
PGM1	863	66.89132755
MYL12A	864	66.77021948
SMS	865	66.75010577
KCTD12	866	66.74318947
MRPL20	867	66.61353965
TRIM55	868	66.50390776
HMGCS1	869	66.37890542
RNU6-36P	870	66.25147194
KARS	871	66.22106487
JTB	872	66.03901705
DBI	873	66.02013454
MSMO1	874	65.95049224
CKAP4	875	65.93547825
ADAMTS1	876	65.90479036
CLTC	877	65.86378533
ZNF672	878	65.84230652
7SK	879	65.81757567
NDUFS6	880	65.80510326
SNORA80B	881	65.74708831
PCBD1	882	65.64269732
SPARC	883	65.62224534
CAP2	884	65.54522044
APRT	885	65.54230456
SVIL	886	65.51991793
XPO4	887	65.51622326
DCTN2	888	65.48730446
RPS19BP1	889	65.47392368
RGS5	890	65.45448354
MRPL15	891	65.42316739
HAX1	892	65.39768476
PSMA3	893	65.36811898
RNVU1-6	894	65.22405477
PPP4C	895	65.0733369
RAD21	896	65.02459283
MMADHC	897	65.00332906
PLOD1	898	64.99678077
TM7SF2	899	64.98854815
TMED10	900	64.9259097
NDN	901	64.73821509
PDGFD	902	64.72279781
TBX2-AS1	903	64.69946987
ITGB1BP2	904	64.67037326
SDHB	905	64.5973616
IPO7	906	64.5191669
SNRPB	907	64.43578746
RP4-765C7.2	908	64.3853061
PDK1	909	64.32255506
DNPH1	910	64.22796688
ROGDI	911	64.22564472
PIH1D1	912	64.14148542
SNRPE	913	64.11303312
MLF2	914	64.09911905
SND1	915	64.06387788
CAPZA1	916	63.94760302
GOLIM4	917	63.93512869
APBB1	918	63.92096442
RBBP7	919	63.81825423
ANGPT1	920	63.69959857
PFKL	921	63.68158861
SERBP1	922	63.56937887
HDDC2	923	63.47757642
S100A11	924	63.19697853
ATP5H	925	63.14251126
CDKN1A	926	63.11004467
STIP1	927	63.02202385
SNORD89	928	63.01055677
PRUNE1	929	62.99808113
COA4	930	62.99127755
PAIP1	931	62.81094817
CDC37	932	62.73119433
GNB2	933	62.70545129
SLC25A4	934	62.66459295
RN7SL674P	935	62.65143251
UBE2E3	936	62.58765654
LINC01420	937	62.54607696
FSCN1	938	62.54183565
DUT	939	62.49625434
EIF3B	940	62.44562209
PCNA	941	62.42627406
RHOC	942	62.3204451
INAFM2	943	62.11386359
ATP5L	944	62.07303651
ANKRD1	945	62.03742245
TGM2	946	62.03285691
SLC39A7	947	61.89990032
MTCO3P12	948	61.80909099
ALKBH7	949	61.52430419
EIF6	950	61.50813914
COPA	951	61.45813924
HNRNPH1	952	61.36276975
TMEM98	953	61.28171383
PBXIP1	954	61.27861085
SLC38A2	955	61.27042132
GNB1	956	61.04489219
EWSR1	957	60.9532682
TRAPPC1	958	60.92821596
TMEM167A	959	60.92527476
ACP1	960	60.79999242
PDCD5	961	60.7496196
USP5	962	60.57099449
SLC25A11	963	60.56684547
TRAPPC6A	964	60.54855703
ITGAV	965	60.53920077
DPP7	966	60.52879467
PRDX4	967	60.50077525
CHD4	968	60.45143465
TM9SF2	969	60.32957841
PPP1R14C	970	60.30213637
DNAJA1	971	60.24451889
STT3B	972	60.23596002
HNRNPL	973	60.20442118
H2AFY	974	60.20265166
LMAN2	975	60.14411976
VMA21	976	60.02270107
GLUD1	977	59.90797148
TNFRSF19	978	59.90537441
UXT	979	59.86391086
ZNF302	980	59.82002312
FAM96A	981	59.80592567
PSMB7	982	59.70170117
AKIRIN1	983	59.53457786
ARL2	984	59.48348276
C9orf16	985	59.43929779
MYLK3	986	59.34628047
TIMM23	987	59.24462902
MAF1	988	59.06194704
FUBP1	989	58.98774672
PBX3	990	58.92342818
APH1A	991	58.87897582
YWHAG	992	58.81359917
GSTO1	993	58.76496398
MRPL28	994	58.71570179
UBA1	995	58.70185789
TMEM219	996	58.53814946
SERINC3	997	58.52213355
CLTB	998	58.42603809
KLHL24	999	58.42377702
ATP5O	1000	58.34240576
