gene	Family	type
BSX	Homeobox	TF
BHLHE41	bHLH	TF
ZSCAN23	zf-C2H2	TF
HOXA1	Homeobox	TF
MLX	bHLH	TF
TSC22D1	TSC22	TF
EGR4	zf-C2H2	TF
DUXA	Homeobox	TF
ZNF493	zf-C2H2	TF
CREBZF	TF_bZIP	TF
PAX1	PAX	TF
THAP11	THAP	TF
ARID4A	ARID	TF
ZSCAN22	zf-C2H2	TF
ZNF729	zf-C2H2	TF
ZNF221	zf-C2H2	TF
FOXN1	Fork_head	TF
MSGN1	bHLH	TF
OTX2	TF_Otx	TF
TCF7L1	HMG	TF
THAP6	THAP	TF
IRF2	IRF	TF
TFAP2D	AP-2	TF
ZNF239	zf-C2H2	TF
EBF1	COE	TF
GBX1	Homeobox	TF
REST	zf-C2H2	TF
CSDE1	CSD	TF
ZNF641	zf-C2H2	TF
ZNF90	zf-C2H2	TF
FOXN3	Fork_head	TF
ZNF385A	zf-C2H2	TF
ZNF727	zf-C2H2	TF
ZNF257	zf-C2H2	TF
C11orf95	zf-BED	TF
ZNF98	zf-C2H2	TF
PPARD	THR-like	TF
ZNF223	zf-C2H2	TF
ZNF561	zf-C2H2	TF
CDX1	Homeobox	TF
ZBTB3	ZBTB	TF
TADA2B	MYB	TF
LHX2	Homeobox	TF
AC005324.4	zf-C2H2	TF
MEIS2	Homeobox	TF
MLXIPL	bHLH	TF
ZNF274	zf-C2H2	TF
HOXB2	Homeobox	TF
ZNF816	zf-C2H2	TF
GTF3A	zf-C2H2	TF
NKX2-4	Homeobox	TF
ZNF134	zf-C2H2	TF
ETV2	ETS	TF
POU2F1	Pou	TF
SALL1	zf-C2H2	TF
ZNF136	zf-C2H2	TF
SP140L	SAND	TF
ZNF780B	zf-C2H2	TF
IRF5	IRF	TF
ZNF443	zf-C2H2	TF
ETV1	ETS	TF
HMG20B	HMG	TF
PGR	ESR-like	TF
MYBL2	MYB	TF
EGR2	zf-C2H2	TF
ZNF397	zf-C2H2	TF
NFATC2	RHD	TF
OTX1	TF_Otx	TF
CREM	TF_bZIP	TF
FOXO3	Fork_head	TF
ZBTB6	ZBTB	TF
ZNF433	zf-C2H2	TF
CREB1	TF_bZIP	TF
POU3F4	Pou	TF
ZNF672	zf-C2H2	TF
ZNF329	zf-C2H2	TF
SCRT1	zf-C2H2	TF
ZNF140	zf-C2H2	TF
ZBED6	zf-BED	TF
ZNF765	zf-C2H2	TF
CRX	TF_Otx	TF
ZNF853	zf-C2H2	TF
BAZ2B	MBD	TF
ZNF182	zf-C2H2	TF
ZNF467	zf-C2H2	TF
ZNF253	zf-C2H2	TF
PRDM10	zf-C2H2	TF
ZNF333	zf-C2H2	TF
PRDM1	zf-C2H2	TF
ZIM3	zf-C2H2	TF
GATA4	zf-GATA	TF
GLIS2	zf-C2H2	TF
ZNF180	zf-C2H2	TF
ZNF366	zf-C2H2	TF
SOX18	HMG	TF
ZFP1	zf-C2H2	TF
ZNF517	zf-C2H2	TF
HOXD10	Homeobox	TF
ZNF112	zf-C2H2	TF
CCDC88A	TF_bZIP	TF
ZNF628	zf-C2H2	TF
ZNF829	zf-C2H2	TF
TADA2A	MYB	TF
ASCL3	bHLH	TF
ZNF688	zf-C2H2	TF
ZNF784	zf-C2H2	TF
MYOD1	bHLH	TF
SMAD5	MH1	TF
GSX1	Homeobox	TF
DMBX1	Homeobox	TF
ZNF419	zf-C2H2	TF
SP110	SAND	TF
SALL3	zf-C2H2	TF
BBX	HMG	TF
FEZF2	zf-C2H2	TF
EBF2	COE	TF
HMGA2	HMGA	TF
DACH1	DACH	TF
SETDB1	MBD	TF
VAX2	Homeobox	TF
MEF2D	SRF	TF
ZNF273	zf-C2H2	TF
ZNF287	zf-C2H2	TF
ZNF37A	zf-C2H2	TF
RAX	Homeobox	TF
OSR2	zf-C2H2	TF
ZNF763	zf-C2H2	TF
TSHZ3	zf-C2H2	TF
ZNF555	zf-C2H2	TF
HOXC10	Homeobox	TF
TOX	HMG	TF
KLF8	zf-C2H2	TF
ZNF235	zf-C2H2	TF
ZNF746	zf-C2H2	TF
VAX1	Homeobox	TF
BARX2	Homeobox	TF
ZNF311	zf-C2H2	TF
RBPJ	CSL	TF
PDX1	Homeobox	TF
ZXDB	zf-C2H2	TF
ZNF528	zf-C2H2	TF
BATF3	TF_bZIP	TF
HOXC12	Homeobox	TF
SMAD1	MH1	TF
ZFP91	zf-C2H2	TF
HMX2	Homeobox	TF
ZNF416	zf-C2H2	TF
ZNF776	zf-C2H2	TF
SPDEF	ETS	TF
ARID3C	ARID	TF
ZNF417	zf-C2H2	TF
FOXO1	Fork_head	TF
ZNF709	zf-C2H2	TF
FOXH1	Fork_head	TF
ZNF80	zf-C2H2	TF
ZNF296	zf-C2H2	TF
ZFX	zf-C2H2	TF
SP4	zf-C2H2	TF
ID1	bHLH	TF
ZNF701	zf-C2H2	TF
CEBPB	TF_bZIP	TF
ZNF66	zf-C2H2	TF
TULP2	Tub	TF
RFX1	RFX	TF
ZNF724	zf-C2H2	TF
GRHL2	CP2	TF
ZNF879	zf-C2H2	TF
TEAD3	TEA	TF
ZNF541	zf-C2H2	TF
ZNF610	zf-C2H2	TF
ELK4	ETS	TF
TERF1	MYB	TF
RXRG	RXR-like	TF
USF2	bHLH	TF
ZNF35	zf-C2H2	TF
FOXO4	Fork_head	TF
RFX2	RFX	TF
CTCFL	zf-C2H2	TF
AFF1	AF-4	TF
ZNF775	zf-C2H2	TF
ELF2	ETS	TF
ZNF32	zf-C2H2	TF
LHX5	Homeobox	TF
SOHLH1	bHLH	TF
NSD2	HMG	TF
HMGB4	HMG	TF
ZBTB44	ZBTB	TF
ZNF444	zf-C2H2	TF
NKX2-5	Homeobox	TF
ARID5B	ARID	TF
JDP2	TF_bZIP	TF
FOS	TF_bZIP	TF
BARX1	Homeobox	TF
LIN28B	CSD	TF
LHX3	Homeobox	TF
NRF1	Nrf1	TF
HOXC13	Homeobox	TF
FOXS1	Fork_head	TF
DMTF1	MYB	TF
ISL1	Homeobox	TF
STAT3	STAT	TF
ETV6	ETS	TF
IRX3	Homeobox	TF
ZNF627	zf-C2H2	TF
ZKSCAN5	zf-C2H2	TF
NFATC4	RHD	TF
ZNF212	zf-C2H2	TF
KLF5	zf-C2H2	TF
ZNF572	zf-C2H2	TF
HES1	bHLH	TF
ZNF343	zf-C2H2	TF
ZNF91	zf-C2H2	TF
THAP7	THAP	TF
GTF2IRD2B	GTF2I	TF
ONECUT1	CUT	TF
ZNF79	zf-C2H2	TF
ZSCAN5C	zf-C2H2	TF
TRERF1	zf-C2H2	TF
BATF	TF_bZIP	TF
LHX9	Homeobox	TF
TOX4	HMG	TF
REL	RHD	TF
HOXD11	Homeobox	TF
ZBTB34	ZBTB	TF
ATF6B	TF_bZIP	TF
FOXD4L6	Fork_head	TF
ELK3	ETS	TF
ZNF559	zf-C2H2	TF
GSC2	Homeobox	TF
ONECUT3	CUT	TF
ARNT	bHLH	TF
ETV4	ETS	TF
ZNF792	zf-C2H2	TF
IRF1	IRF	TF
NFATC3	RHD	TF
PAX2	PAX	TF
ZNF222	zf-C2H2	TF
KLF4	zf-C2H2	TF
TSC22D3	TSC22	TF
ZNF229	zf-C2H2	TF
TFEC	bHLH	TF
ZNF668	zf-C2H2	TF
HOXD1	Homeobox	TF
ASCL1	bHLH	TF
RCOR3	MYB	TF
ZNF790	zf-C2H2	TF
ZNF605	zf-C2H2	TF
POU4F3	Pou	TF
ESRRA	ESR-like	TF
GLIS3	zf-C2H2	TF
ZNF519	zf-C2H2	TF
ZNF354A	zf-C2H2	TF
ZNF214	zf-C2H2	TF
AC019117.3	bHLH	TF
ZFAT	zf-C2H2	TF
ZKSCAN4	zf-C2H2	TF
AC008770.2	zf-C2H2	TF
FOXA1	Fork_head	TF
ZNF658	zf-C2H2	TF
PITX3	Homeobox	TF
ZNF496	zf-C2H2	TF
ZNF248	zf-C2H2	TF
KLF10	zf-C2H2	TF
BCL6	ZBTB	TF
HKR1	zf-C2H2	TF
TCF7L2	HMG	TF
MAEL	HMG	TF
NR1H4	THR-like	TF
POU5F1B	Pou	TF
ZNF316	zf-C2H2	TF
POU2F2	Pou	TF
ZNF432	zf-C2H2	TF
HSF5	HSF	TF
ZNF382	zf-C2H2	TF
ZNF507	zf-C2H2	TF
MYCL	bHLH	TF
SNAI1	zf-C2H2	TF
NKX6-3	Homeobox	TF
SREBF2	bHLH	TF
ZNF347	zf-C2H2	TF
ZNF281	zf-C2H2	TF
BNC2	zf-C2H2	TF
HOXA10	Homeobox	TF
SOX4	HMG	TF
SPI1	ETS	TF
ZFP90	zf-C2H2	TF
ZNF23	zf-C2H2	TF
SOX11	HMG	TF
MIS18BP1	MYB	TF
HLX	Homeobox	TF
ZNF85	zf-C2H2	TF
ZNF799	zf-C2H2	TF
MEF2C	SRF	TF
PRDM16	zf-C2H2	TF
ZNF408	zf-C2H2	TF
ZNF200	zf-C2H2	TF
ZNF883	zf-C2H2	TF
ZNF526	zf-C2H2	TF
DBP	TF_bZIP	TF
ZNF473	zf-C2H2	TF
ZNF551	zf-C2H2	TF
IKZF2	zf-C2H2	TF
E4F1	zf-C2H2	TF
OTP	Homeobox	TF
ZNF800	zf-C2H2	TF
FERD3L	bHLH	TF
ZNF865	zf-C2H2	TF
ZNF707	zf-C2H2	TF
ZNF606	zf-C2H2	TF
SOX8	HMG	TF
GCM1	GCM	TF
BCL6B	ZBTB	TF
HEYL	bHLH	TF
SALL4	zf-C2H2	TF
ZNF18	zf-C2H2	TF
ZSCAN5B	zf-C2H2	TF
MTA1	zf-GATA	TF
NR6A1	GCNF-like	TF
JUN	TF_bZIP	TF
ZNF141	zf-C2H2	TF
NFX1	zf-NF-X1	TF
ARX	Homeobox	TF
PEG3	zf-C2H2	TF
RARB	THR-like	TF
NCOR2	MYB	TF
UBTFL1	HMG	TF
ZNF331	zf-C2H2	TF
ZNF778	zf-C2H2	TF
NRL	TF_bZIP	TF
MYOG	bHLH	TF
NOTO	Homeobox	TF
ZNF205	zf-C2H2	TF
LEF1	HMG	TF
ZNF529	zf-C2H2	TF
HOXA2	Homeobox	TF
ZNF148	zf-C2H2	TF
SMARCC1	MYB	TF
ZNF322	zf-C2H2	TF
TAL2	bHLH	TF
EMX2	Homeobox	TF
KLF2	zf-C2H2	TF
ZBTB22	ZBTB	TF
ZNF550	zf-C2H2	TF
ZFP3	zf-C2H2	TF
ZNF597	zf-C2H2	TF
PBX4	Homeobox	TF
ZNF652	zf-C2H2	TF
CSDC2	CSD	TF
TPRX1	Homeobox	TF
ZFHX3	Homeobox	TF
ZNF358	zf-C2H2	TF
FOXD1	Fork_head	TF
STAT2	STAT	TF
ZNF431	zf-C2H2	TF
SREBF1	bHLH	TF
ZNF69	zf-C2H2	TF
FOXB2	Fork_head	TF
MIER1	MYB	TF
LRRFIP2	LRRFIP	TF
GATA6	zf-GATA	TF
HIVEP2	zf-C2H2	TF
ZNF100	zf-C2H2	TF
SOHLH2	bHLH	TF
ZKSCAN8	zf-C2H2	TF
HOXC9	Homeobox	TF
SP9	zf-C2H2	TF
ZNF684	zf-C2H2	TF
ZNF484	zf-C2H2	TF
ZNF570	zf-C2H2	TF
ZNF251	zf-C2H2	TF
NR1H3	THR-like	TF
ZIC3	zf-C2H2	TF
FEV	ETS	TF
NFYB	NF-YB	TF
ZNF677	zf-C2H2	TF
HOPX	Homeobox	TF
ZNF460	zf-C2H2	TF
ARID3B	ARID	TF
ZNF581	zf-C2H2	TF
GLMP	NCU-G1	TF
ZNF649	zf-C2H2	TF
NKX1-1	Homeobox	TF
ZNF469	zf-C2H2	TF
VEZF1	zf-C2H2	TF
ZNF518A	zf-C2H2	TF
TFDP1	E2F	TF
RELA	RHD	TF
CREB3L3	TF_bZIP	TF
GZF1	ZBTB	TF
ZNF19	zf-C2H2	TF
SAMD11	SAND	TF
RUNX2	Runt	TF
HSF2	HSF	TF
CARHSP1	CSD	TF
TFCP2L1	CP2	TF
TSHZ1	zf-C2H2	TF
ZNF234	zf-C2H2	TF
ZNF43	zf-C2H2	TF
HIF3A	bHLH	TF
FOXE3	Fork_head	TF
POU5F2	Pou	TF
NOBOX	Homeobox	TF
FOXR2	Fork_head	TF
ID4	bHLH	TF
ZNF93	zf-C2H2	TF
PTF1A	bHLH	TF
ZNF625	zf-C2H2	TF
PAX6	PAX	TF
ZNF267	zf-C2H2	TF
PAX7	PAX	TF
BHLHE23	bHLH	TF
GRHL3	CP2	TF
ZNF512	zf-C2H2	TF
ZFP2	zf-C2H2	TF
ZNF787	zf-C2H2	TF
GMEB1	SAND	TF
ZNF700	zf-C2H2	TF
SIX5	Homeobox	TF
HOXD8	Homeobox	TF
EBF4	COE	TF
ZNF692	zf-C2H2	TF
MYT1	zf-C2HC	TF
CPHXL	Homeobox	TF
ZNF615	zf-C2H2	TF
NR2F1	RXR-like	TF
IRF7	IRF	TF
ZNF117	zf-C2H2	TF
ZNF579	zf-C2H2	TF
ZNF556	zf-C2H2	TF
ZNF777	zf-C2H2	TF
FOXE1	Fork_head	TF
ZNF680	zf-C2H2	TF
ZIC4	zf-C2H2	TF
NFYC	NF-YC	TF
PRDM15	zf-C2H2	TF
ZNF468	zf-C2H2	TF
ID2	bHLH	TF
ZSCAN5A	zf-C2H2	TF
ISL2	Homeobox	TF
ZNF710	zf-C2H2	TF
ZIC5	zf-C2H2	TF
ZBED4	zf-BED	TF
ZNF679	zf-C2H2	TF
HMBOX1	Homeobox	TF
RFX5	RFX	TF
ZNF687	zf-C2H2	TF
ZNF773	zf-C2H2	TF
HOXB7	Homeobox	TF
ZNF470	zf-C2H2	TF
HHEX	Homeobox	TF
ANHX	Homeobox	TF
L3MBTL1	zf-C2HC	TF
ASCL4	bHLH	TF
ZNF480	zf-C2H2	TF
FOXI3	Fork_head	TF
ZFP57	zf-C2H2	TF
RFX8	RFX	TF
GLI4	zf-C2H2	TF
MBD3	MBD	TF
ZNF732	zf-C2H2	TF
TCF12	bHLH	TF
ELK1	ETS	TF
DBX1	Homeobox	TF
GFI1	zf-C2H2	TF
ZNF726	zf-C2H2	TF
SIX3	Homeobox	TF
ZSCAN12	zf-C2H2	TF
BATF2	TF_bZIP	TF
NR5A2	SF-like	TF
ZEB2	zf-C2H2	TF
GTF2I	GTF2I	TF
ZNF568	zf-C2H2	TF
ZNF217	zf-C2H2	TF
CDC5L	MYB	TF
TSC22D2	TSC22	TF
PIAS3	zf-MIZ	TF
IRX5	Homeobox	TF
ERF	ETS	TF
ZFP37	zf-C2H2	TF
ETV3	ETS	TF
TFE3	bHLH	TF
CTCF	zf-C2H2	TF
EGR1	zf-C2H2	TF
TFDP3	E2F	TF
E2F2	E2F	TF
ZFP36L2	zf-CCCH	TF
NFIC	CTF/NFI	TF
LCOR	HTH	TF
ZNF614	zf-C2H2	TF
RFX7	RFX	TF
ZBTB7A	ZBTB	TF
ZNF717	zf-C2H2	TF
ZNF34	zf-C2H2	TF
NR4A2	NGFIB-like	TF
MEF2A	SRF	TF
ZNF367	zf-C2H2	TF
RCOR1	MYB	TF
ZNF264	zf-C2H2	TF
ZNF441	zf-C2H2	TF
TWIST1	bHLH	TF
AFF4	AF-4	TF
STAT5A	STAT	TF
ZNF888	zf-C2H2	TF
AC023509.3	TF_bZIP	TF
ZNF805	zf-C2H2	TF
ZHX3	Homeobox	TF
ZNF584	zf-C2H2	TF
PRRX1	Homeobox	TF
HOXA3	Homeobox	TF
E2F5	E2F	TF
KLF17	zf-C2H2	TF
RHOXF1	Homeobox	TF
NKX2-3	Homeobox	TF
ZNF691	zf-C2H2	TF
ZSCAN31	zf-C2H2	TF
ZNF337	zf-C2H2	TF
ZNF429	zf-C2H2	TF
YY1	zf-C2H2	TF
ZNF76	zf-C2H2	TF
AC020909.1	ETS	TF
ZSCAN2	zf-C2H2	TF
ZNF12	zf-C2H2	TF
DNAJC1	MYB	TF
ZNF585A	zf-C2H2	TF
ZNF385B	zf-C2H2	TF
FOXA2	Fork_head	TF
ZSCAN9	zf-C2H2	TF
ZNF814	zf-C2H2	TF
ZNF697	zf-C2H2	TF
ZNF462	zf-C2H2	TF
ZNF618	zf-C2H2	TF
CREB3L2	TF_bZIP	TF
ZNF827	zf-C2H2	TF
ZNF77	zf-C2H2	TF
NEUROG2	bHLH	TF
MSC	bHLH	TF
NEUROD1	bHLH	TF
ZBTB12	ZBTB	TF
ZNF629	zf-C2H2	TF
ATOH7	bHLH	TF
KLF7	zf-C2H2	TF
ZBTB48	ZBTB	TF
MESP2	bHLH	TF
FOXK1	Fork_head	TF
ZBTB41	ZBTB	TF
NR2C2	RXR-like	TF
ZNF558	zf-C2H2	TF
RFX4	RFX	TF
SMARCC2	MYB	TF
PLAGL1	zf-C2H2	TF
ZBTB7B	ZBTB	TF
ZNF425	zf-C2H2	TF
HOXB4	Homeobox	TF
ZNF500	zf-C2H2	TF
FOXL2	Fork_head	TF
PHOX2B	Homeobox	TF
ISX	Homeobox	TF
ZBTB21	ZBTB	TF
ZNF582	zf-C2H2	TF
SP100	SAND	TF
ZSCAN21	zf-C2H2	TF
STAT6	STAT	TF
FOXC2	Fork_head	TF
TCF3	bHLH	TF
LHX1	Homeobox	TF
ID3	bHLH	TF
ARID5A	ARID	TF
PAX3	PAX	TF
DEAF1	SAND	TF
ZNF44	zf-C2H2	TF
KLF1	zf-C2H2	TF
GATAD2B	zf-GATA	TF
SIX1	Homeobox	TF
ONECUT2	CUT	TF
ZFY	zf-C2H2	TF
ATMIN	zf-C2H2	TF
NFIA	CTF/NFI	TF
FOXI2	Fork_head	TF
TFCP2	CP2	TF
MBD4	MBD	TF
ZIC1	zf-C2H2	TF
POU6F1	Pou	TF
FIGLA	bHLH	TF
TFAP2E	AP-2	TF
ZNF213	zf-C2H2	TF
ZNF17	zf-C2H2	TF
HAND1	bHLH	TF
HSFX1	HSF	TF
FOXC1	Fork_head	TF
PAX9	PAX	TF
ZNF28	zf-C2H2	TF
MNT	bHLH	TF
NEUROD2	bHLH	TF
ZNF133	zf-C2H2	TF
BNC1	zf-C2H2	TF
PRDM9	zf-C2H2	TF
HNF1A	Homeobox	TF
ZNF653	zf-C2H2	TF
UNCX	Homeobox	TF
TGIF2	Homeobox	TF
ZSCAN32	zf-C2H2	TF
ZFHX4	Homeobox	TF
ZFP69	zf-C2H2	TF
ETV7	ETS	TF
TLX1	Homeobox	TF
ZNF747	zf-C2H2	TF
ATF7	TF_bZIP	TF
ZNF74	zf-C2H2	TF
ETV3L	ETS	TF
FIZ1	zf-C2H2	TF
ZNF177	zf-C2H2	TF
ZKSCAN1	zf-C2H2	TF
HOXA7	Homeobox	TF
GATA5	zf-GATA	TF
THAP3	THAP	TF
TFEB	bHLH	TF
SOX3	HMG	TF
MYSM1	MYB	TF
HEY2	bHLH	TF
ZNF84	zf-C2H2	TF
NCOA1	bHLH	TF
SUB1	PC4	TF
ZNF723	zf-C2H2	TF
SOX13	HMG	TF
ZBTB37	ZBTB	TF
MSX1	Homeobox	TF
ZNF564	zf-C2H2	TF
NKX2-1	Homeobox	TF
ZNF292	zf-C2H2	TF
ZNF749	zf-C2H2	TF
LHX4	Homeobox	TF
HES2	bHLH	TF
HLF	TF_bZIP	TF
IRF9	IRF	TF
PPARG	THR-like	TF
SHOX2	Homeobox	TF
ZNF277	zf-C2H2	TF
ZNF878	zf-C2H2	TF
ARID1B	ARID	TF
ZNF426	zf-C2H2	TF
DLX4	Homeobox	TF
ZNF33B	zf-C2H2	TF
ZNF639	zf-C2H2	TF
BARHL2	Homeobox	TF
ZNF83	zf-C2H2	TF
HAND2	bHLH	TF
ZBTB42	ZBTB	TF
ARNTL2	bHLH	TF
ZNF320	zf-C2H2	TF
ZNF10	zf-C2H2	TF
TUB	Tub	TF
ZNF107	zf-C2H2	TF
ZFP36L1	zf-CCCH	TF
ZNF713	zf-C2H2	TF
ARID2	ARID	TF
ATF4	TF_bZIP	TF
KMT2C	HMG	TF
ZNF783	zf-C2H2	TF
HIVEP1	zf-C2H2	TF
MGA	T-box	TF
ZNF560	zf-C2H2	TF
MSX2	Homeobox	TF
ZNF174	zf-C2H2	TF
TRPS1	zf-GATA	TF
ZNF616	zf-C2H2	TF
DNAJC2	MYB	TF
ATF3	TF_bZIP	TF
HOXB3	Homeobox	TF
ZNF101	zf-C2H2	TF
ZNF583	zf-C2H2	TF
