gene	RTS
PHOX2B	0.304991591
RNF220	0.304303781
LHX9	0.303259204
WT1	0.301415178
NKX2-3	0.297940167
NEUROG3	0.29765178
HOXC-AS2	0.295502145
FOXD2	0.294529309
FOXB1	0.294499186
NRN1	0.293067041
CISTR	0.290543765
BTNL9	0.290539049
DMRT1	0.287351425
SOX17	0.28634052
FOXF2	0.28573614
EBF3	0.285182086
SYT2	0.283578726
GRM4	0.282926525
BCAN	0.282873257
HOXC5	0.282740356
SIX1	0.282587127
HOXB-AS3	0.279934037
DKFZp686K1684	0.279073106
PRSS16	0.278659206
CELF4	0.277812181
MIR196A2	0.277688
CRYBA2	0.274533489
HOXA10-HOXA9	0.274088992
TBX4	0.273442649
HOXC9	0.273086815
FEZF2	0.273083982
SHH	0.271233643
SOX2-OT	0.271091263
FOXE1	0.270417349
LMX1A	0.266864422
HELT	0.26592203
LINC01574	0.265362049
NKX2-8	0.263178567
NR2F1	0.261489636
HOXC-AS1	0.261398786
LHX4	0.260915687
CACNG2	0.258084823
GSX2	0.257429854
FLJ12825	0.256944417
POM121L2	0.256699302
SLC6A17	0.256600714
POU4F3	0.256228245
COL2A1	0.252635835
LHX6	0.251839112
GPR1-AS	0.251592343
CDKN2A	0.249254461
POU3F2	0.248881867
PTF1A	0.248648171
CFAP77	0.248011525
SP8	0.247799187
SIX6	0.246532623
CHAT	0.246332935
GBX2	0.2456483
DMRTA2	0.243749885
DBX1	0.243556118
MIR129-2	0.243071865
TBX20	0.241309362
SLC6A5	0.24120189
HOXC8	0.241149849
LINC01398	0.240974656
FOXD1	0.24039736
OSR2	0.239944451
MSX2	0.23947196
CFAP65	0.239146035
WNT1	0.238847717
TBX1	0.238794653
NTRK1	0.237266758
TLX1	0.236608481
EMX2	0.236346629
HOXC6	0.235903756
LINC01141	0.23529875
NTNG2	0.233639229
LINC00599	0.233474295
EVX1	0.232613932
ELFN2	0.231793944
TAL1	0.231470182
MCIDAS	0.231218766
ASIC2	0.231072446
PRDM6	0.23096676
LOC101927437	0.230612885
NPTX1	0.230418952
ONECUT2	0.230412643
GRIK3	0.229912371
METAP1D	0.229758418
GATA5	0.229497599
ZIC5	0.229273478
PPP2R2C	0.227856243
NEUROG2	0.227076584
NR5A2	0.226351936
HMX2	0.226112063
FOXB2	0.223249207
SLC12A5	0.222941478
ARX	0.222645995
BLACE	0.222027171
MEGF11	0.221881982
BARHL1	0.221339264
HOXA1	0.220610237
DIGIT	0.2186664
TCHH	0.218349286
IGSF21	0.217944706
DRGX	0.217258236
LINC01230	0.21671388
OTX1	0.216350618
LOC100505585	0.215491618
NRG2	0.215443323
FOXC1	0.213721682
NR2F2	0.213327842
ASCL1	0.2130937
SLC9A3	0.212308331
SATB2	0.212145656
NGFR	0.210532253
POU4F2	0.21017235
TFAP2D	0.208546134
HAND2	0.208299293
UNC5A	0.207621656
VSX2	0.207273267
LOC100287944	0.206703614
PDE2A	0.20549283
LINC01159	0.203917617
NAT16	0.202247736
LOC101927207	0.201249891
LHX3	0.200523203
LOC146513	0.200473353
HOTTIP	0.199441677
LOC101927248	0.199326908
ESRRB	0.199316175
ESPNP	0.198169186
ANK1	0.197444517
SKOR1	0.197404319
VSX1	0.195730525
MIR615	0.194296899
IRX1	0.194295212
INS-IGF2	0.194251113
GALNT9	0.193773906
GRIK4	0.193530413
RFX4	0.1933596
GATA6	0.192794949
ISL1	0.189320647
FOXA1	0.189167148
LINGO1	0.188071008
SHANK1	0.188050563
PRDM16	0.187685905
PHACTR3	0.18768025
TBX2	0.187618431
MIR670HG	0.187595674
EPHA8	0.18755478
GSC	0.187459021
CRHR1	0.187297628
LINC01397	0.186489229
SHOX2	0.186069417
PEBP4	0.185450044
LOC105378853	0.184962525
WNT10A	0.184945453
FEZF1	0.184786422
KCNQ2	0.184783209
MIR124-1	0.184387016
TCF21	0.183449517
LHX8	0.183198283
MYOD1	0.182559151
CNTFR	0.182451488
TBX18	0.181090073
TSPEAR	0.180783432
EOMES	0.180535181
TRIM67	0.179769818
IRX6	0.178677391
WNT3A	0.1780888
DMRT2	0.17699751
OLIG1	0.176886463
GAD1	0.176238806
XKR6	0.175120202
HNF1B	0.174925304
FOXL1	0.174856117
CUX2	0.174308172
EPHA10	0.173824269
KIRREL3	0.173618321
IGF2BP1	0.172573117
RGS20	0.171235552
BARX2	0.170049823
NXPH1	0.167627436
SKAP1	0.167125101
BUB3	0.166889678
RASGRF1	0.166835125
COMP	0.16528937
SLC8A2	0.164841634
LOC727993	0.164538472
IGF2	0.164131808
TBR1	0.163956911
ECEL1	0.162342187
HPCAL4	0.162006096
DSCAML1	0.161326397
ALOX12B	0.161035006
C1QL2	0.160768874
INHBB	0.16042386
BSX	0.160286517
OSR1	0.16022409
DMRT3	0.159361878
NAV2	0.159234551
GRIN1	0.159151878
IRX5	0.159006819
NR5A1	0.157511447
HOXD-AS2	0.157011993
KCNIP1	0.156142205
GAD2	0.155541262
TTC6	0.155493465
ISL2	0.155404274
SYT7	0.155182687
HOXA10	0.155144
NRXN2	0.155030129
PTPRN2	0.155026093
CACNA1I	0.154198305
SLIT1	0.153288783
FOXL2NB	0.153264136
LINC01210	0.151759718
KCNA1	0.150897288
EGR4	0.150211699
SLFN12L	0.14953025
SCN4B	0.149494602
FOXC2	0.149290167
HLX	0.149207715
MIR3663	0.148716959
TWIST1	0.148562509
LOC400043	0.148327781
WNT7B	0.148190562
PRRX1	0.147965741
POU2F3	0.147677528
HOXD13	0.147087859
CRMP1	0.146555749
BHLHE23	0.146468531
VGLL2	0.14596249
HOXA13	0.145640275
SHTN1	0.145089892
FGF3	0.144867496
GABBR2	0.144823138
ISLR2	0.143729952
LINC01158	0.142895836
CDH4	0.142773839
ADCYAP1	0.142284559
IGF2-AS	0.142158501
DPYSL5	0.142132763
RIPK4	0.141915185
SCRT2	0.141193571
BLACAT1	0.140676872
LPO	0.140118377
PRDM14	0.140018575
PAX1	0.139439041
SLC30A3	0.13895777
LINC01081	0.138815318
CBX8	0.138769185
PLXNA4	0.138677896
WNT3	0.138062084
LINC01514	0.138039596
CDC20B	0.137563153
MECOM	0.137462826
IHH	0.137439049
SLC26A10	0.137118783
POU3F3	0.136903384
FOXD3	0.136740149
KCNQ1	0.136515508
LOC284395	0.136175992
HCN4	0.136067929
CDK5R2	0.135869369
ACAN	0.135828953
LINC01143	0.135358081
HOXD3	0.135247234
MAFB	0.134742131
SNCB	0.134320465
SEMA5B	0.133367171
SSTR5-AS1	0.133092795
LINC00917	0.132875457
BLK	0.13285063
SLC6A3	0.132646511
WNT6	0.132478512
C17orf102	0.132112579
ZBTB7C	0.132086879
RAET1K	0.131892683
HLA-G	0.131809845
CPLX4	0.131063014
KCNA2	0.131047974
ASIC4	0.13071706
VSTM2B	0.130371404
CYP26B1	0.12952173
HOXB8	0.129481517
ESPN	0.128849956
CASZ1	0.128750686
LOC101926913	0.128665614
LINC01117	0.12830396
LINC01726	0.128301756
ALK	0.12824674
MYO5B	0.128216815
CACNA1E	0.127828496
FZD10-AS1	0.127670863
NTSR1	0.126913787
BCL11B	0.126862531
SFRP1	0.126681416
MIR1268A	0.126581361
MIR183	0.126510102
CPLX1	0.12610969
FAAHP1	0.125720256
CCDC33	0.125634234
LINC01386	0.123359356
NKX1-1	0.123342621
LOC105373021	0.122365588
PVALB	0.122053232
NTN1	0.121402297
MKNK1-AS1	0.120817194
MIR124-3	0.120404657
PRMT8	0.12015558
GJA3	0.119717981
GRID1	0.119313955
IRF4	0.11923641
KCNB1	0.119201915
RPH3A	0.119174671
PCDHGA1	0.119089795
ACOXL	0.11902864
EVX2	0.11807664
HOXB6	0.118010574
TRIM31-AS1	0.11708038
SEZ6L	0.117064996
KCNK9	0.117016361
LOC100288866	0.116978109
MIR1-1HG	0.116880667
HOXB3	0.116460835
NFIX	0.116347632
HOXB7	0.116346347
CA4	0.116242275
CYP26C1	0.116027054
EGFLAM	0.115923705
BMP7	0.115846344
PRDM8	0.115600908
HOXD10	0.115516926
DNAJC22	0.115189246
TBX21	0.114947317
TRIM31	0.11489452
LINC01391	0.114633853
LINC01305	0.114583175
CPLX2	0.114466366
SLC6A11	0.113898745
GBX1	0.113518164
ARHGAP36	0.112998903
MIR96	0.112859274
SORCS2	0.112404707
PCDHGA2	0.112389392
PCDHGA3	0.111931846
PCDHGB1	0.111594593
HAPLN2	0.111306308
MIR1469	0.110913827
HOXD9	0.110677036
ZIC2	0.11054845
KCND3	0.110522811
ZDHHC22	0.11037609
SSTR5	0.110269648
FLI1	0.10998549
PCDHGA4	0.109937481
DLK1	0.109422999
ALDH1A2	0.109360782
C1orf94	0.109217751
SYPL2	0.108519222
PROX1	0.108352623
PCAT19	0.108262219
INSRR	0.107835106
FGF19	0.107808462
LOC101927318	0.107351468
FRMPD1	0.107295483
SEZ6	0.107239807
HOXD12	0.107238995
MROH5	0.107238558
ARHGAP40	0.106700337
SLC6A12	0.106220652
PCDHGB2	0.106164063
DUOXA1	0.105998337
KIF1A	0.105963489
EBF4	0.105845588
GLIS1	0.105826844
HAGLR	0.105793846
CRNDE	0.10565331
NEUROD1	0.105607026
HOXB9	0.105166683
KCNT1	0.10504166
GNAS	0.104889185
CAMTA1	0.104647198
FOXL2	0.104376887
KCNC1	0.104343134
NEFL	0.104319384
EEF1A2	0.104001926
PRDM12	0.103108526
DNAH8	0.103042501
SP6	0.103005925
PCDHGA5	0.102872634
LINC01314	0.102714893
MIR670	0.102667008
GDNF	0.102534368
MEIS2	0.102392206
ADARB2	0.102157593
LRFN2	0.101767454
NTF3	0.101728766
PSD2	0.101714675
NTRK3-AS1	0.1012238
SCUBE1	0.100813333
LOC145845	0.100061395
ARHGAP19-SLIT1	0.100051234
NFIB	0.099963666
GRP	0.099876713
MIR449C	0.099631288
CCDC177	0.099515609
FRMD4A	0.09929025
LOC101928509	0.099154673
VENTX	0.099067849
HOXB5	0.098847694
RHCG	0.098755228
ADORA1	0.098719721
CHD5	0.098334844
KCNK3	0.098159208
PDGFRA	0.098148606
C1QL4	0.097738688
PCDHGB3	0.097531354
ULBP2	0.097371296
FSTL4	0.09731084
VSTM2L	0.096290336
MPPED1	0.096089152
PCDHGA6	0.096015278
JPH3	0.095969174
EBF1	0.095837144
RUNX3	0.095696277
HOXD11	0.095650542
FOXCUT	0.095390774
RAB37	0.09537079
FIBCD1	0.095324636
NFASC	0.095167472
TCTE1	0.095063121
MT1G	0.094875203
LMO1	0.094858543
WNT7A	0.094627675
CPXM1	0.094592923
GLP1R	0.094466857
SP9	0.094295803
CDH23	0.094293891
RXRG	0.094072011
IRX3	0.093669914
SLC17A7	0.093490681
FAM43B	0.093331523
PCDHGA7	0.093156076
SEPT5-GP1BB	0.092845204
FOXG1	0.092801448
SORCS3	0.092688298
GFI1B	0.092559896
CACNG4	0.092397112
DCHS2	0.09233398
KCNK10	0.092275468
TP73	0.091380999
GRIN2C	0.091147482
FGF8	0.091077012
SHISA7	0.09090254
SLC8A3	0.090890179
MT1H	0.090844783
SV2B	0.090812696
LOC101927583	0.090809052
GMDS	0.09073916
TMPRSS6	0.090646632
LOC105375800	0.090586076
VWA5B1	0.090457762
PKNOX2	0.090395844
SALL1	0.08995608
BCL11A	0.089600854
PTHLH	0.089502167
MIR124-2HG	0.089398921
MIR6720	0.089108893
TMC2	0.089097947
GNAS-AS1	0.089069224
CHST8	0.08890415
GDF7	0.088447038
MT1DP	0.088440476
IQSEC3	0.087615736
HSPA12A	0.087381796
SOX7	0.08714705
LOC100507283	0.087016022
PDE4A	0.086979105
LOC400706	0.086903984
LOC100128770	0.086801502
RTBDN	0.086754704
DLGAP3	0.086752859
CBLN1	0.086752391
HOXA11	0.086634905
LINC00466	0.086610093
CYP24A1	0.086438815
MIR9-3	0.085941659
PHF21B	0.085680768
IRX2	0.085410924
NKX3-2	0.085360566
PKP1	0.085273266
LOC105378052	0.085130157
FBXL16	0.085019862
OPCML	0.084847454
ADGRB1	0.084790853
ZFHX4	0.084755178
LOC105378933	0.084728184
MEIS1	0.084701777
LINC00945	0.084622928
OTOP3	0.084527057
DBH	0.084421548
LOC101928177	0.084285112
KIRREL2	0.08420604
SOX14	0.084006273
KLF14	0.083992539
DLL3	0.08395365
TOB2P1	0.083916728
KCNJ4	0.083891209
RASGEF1A	0.083772583
TARID	0.083415851
PCDH8	0.083321533
SLC6A1	0.083251955
SCARA5	0.082973076
KLK2	0.082938883
C2orf70	0.082696524
SYT6	0.082634045
SHOX	0.082404369
LOC101928107	0.082100698
CABP7	0.081947233
SYN2	0.08193842
KCNJ6	0.081549757
ZNF503-AS2	0.081409286
LOC100287592	0.081276047
HOXD4	0.081251239
DOK7	0.080651931
MFSD4A	0.07999855
BMP4	0.079875714
SMUG1	0.079442803
CRLF1	0.079387111
KCNJ10	0.079238609
BEGAIN	0.078935619
NTM	0.078521884
SYT5	0.078379564
KCNG1	0.078338442
CXCL14	0.078260561
PCDH19	0.07825994
MAFA	0.078136245
PAX8	0.078107385
LINC01511	0.078101289
ANKRD34C-AS1	0.077924828
CSMD2	0.077924376
PHOX2A	0.077853741
DSP	0.077717348
PDYN	0.077593634
LRCOL1	0.077189046
CD300E	0.077147965
SLC18A2	0.077019878
ST8SIA2	0.076979949
LOC101928416	0.076964183
OR2V1	0.076961836
NBPF8	0.076960663
NOS1	0.076816574
CCM2L	0.076807339
BMP6	0.07673353
TFAP2C	0.076698252
NTRK3	0.076689885
PCDHGB4	0.076659112
ZNF503	0.076609122
OLFM1	0.076016517
SOX3	0.076003422
HS6ST2	0.075904188
INSM1	0.075796339
MUC17	0.075735258
DLGAP2	0.075670463
C10orf11	0.075620837
RSPO4	0.075512595
IGF2BP3	0.075284808
LMO2	0.075041244
GABRD	0.074950328
SCUBE3	0.074837132
ATOH1	0.074781498
BTBD11	0.074590887
DGKK	0.074349463
NSG1	0.074335469
OCA2	0.074296153
SPEG	0.074282378
TENM4	0.074210143
RIMS4	0.074066336
PTH1R	0.074004786
ATP2B2	0.074004672
MIR449B	0.0739538
DMTN	0.073574377
ZIC3	0.073456918
SCN5A	0.073444728
LOC101929034	0.073384102
ANO1	0.073321195
HMCN2	0.073305783
SALL3	0.073302761
RAET1L	0.073293668
MIR449A	0.073223947
CNTN2	0.073039048
ITGA11	0.073021875
ADRA1B	0.072968985
FGF5	0.072916023
DISP3	0.072915729
ALDH1A3	0.072776667
LOC102723330	0.072750241
LRRC71	0.072698487
SV2C	0.072610274
C1QA	0.072603398
OTOP2	0.072307834
CALY	0.072304186
PRSS56	0.072178216
NKX3-1	0.07187773
FOXN4	0.071796467
CPEB1	0.071739843
GSG1L	0.071415961
FLJ32255	0.071375688
GFRA2	0.071216361
CADM3	0.071207228
GPX5	0.071155724
KCNH2	0.07097909
CACNA1C	0.070963933
DRD2	0.070888334
FBXL21	0.070721997
MIR182	0.070713658
FAM19A4	0.070703353
LINC00620	0.070629075
SLC24A4	0.070567754
NKAIN4	0.070500795
MIR3131	0.070481107
KRT77	0.070430745
IRF8	0.070198917
LINC01551	0.070137307
KCNJ5	0.070013887
MMP9	0.069999921
SPTBN4	0.069702305
CBX2	0.069578509
DIO3	0.069559702
FOXI3	0.069516762
TRABD2B	0.069326635
KIF19	0.069239328
FZD10	0.069222425
ANKRD19P	0.069221703
APC2	0.069056615
NOVA2	0.068602027
CACNA1B	0.068586101
PDGFB	0.068553171
RHOXF1P1	0.06844701
TTBK1	0.068363143
LOC100129175	0.068320512
DLGAP4	0.068224236
LOC101929154	0.068006641
CACNA1G	0.067872079
CYP26A1	0.067761721
RGMA	0.067716917
GRM8	0.067637429
SLC1A2	0.06753105
MIR6127	0.067124421
LINC01082	0.066828273
DDN	0.066733662
LAMP5-AS1	0.066725094
GPR101	0.066710599
EDN3	0.066694181
ITPKA	0.066619249
SFRP2	0.066524122
PCDHGA8	0.066486456
SPON1	0.066150773
HECW1	0.065893615
LEF1	0.065590753
ATP8B3	0.065527189
KCNK13	0.065042833
HOXA-AS3	0.064914186
SPR	0.064901439
LINC01396	0.064888728
RET	0.064778877
CALCA	0.064747837
LINC01234	0.064589424
CELF5	0.064575054
MYO3B	0.064533867
TNR	0.064438488
C1QL1	0.064196661
Sep-05	0.064186029
LINC00554	0.064050219
LINC01276	0.064023816
ERICH1-AS1	0.063999415
GFY	0.063997394
DGKG	0.063769565
LINC00982	0.063715834
T	0.063616081
DTX1	0.063495642
FNDC1	0.063417813
CFAP74	0.06338152
MIR10B	0.06314454
FAM163A	0.062833446
SLC30A2	0.06271621
ATOH8	0.062535221
LINC01096	0.062504516
ASB18	0.0624369
SYNDIG1L	0.062400497
LOC102724344	0.062323587
DNAJB8-AS1	0.062301122
CHRND	0.062220279
NKX1-2	0.06221141
PEAR1	0.062149251
LOC101927419	0.062022557
ADGRA1	0.061861814
LOC100505530	0.061833191
WNT9B	0.061814559
LOC283731	0.061690547
BHLHE22	0.06167531
LIN28B	0.061615147
GPRIN2	0.06155162
MACROD1	0.061540356
RESP18	0.061503525
C1QTNF8	0.061499409
HAGLROS	0.061470783
NKX2-4	0.061315929
LOC100130587	0.0611005
NKD2	0.060974034
FIGLA	0.060938641
DUSP9	0.060894358
LINC01237	0.060879496
MKX	0.060829044
ASCL2	0.06070394
ELMOD1	0.060554958
HES2	0.060118369
HRK	0.060012316
CD40	0.05994613
RAP1GAP	0.059657254
C5orf38	0.05964449
ALX3	0.059360229
SYT13	0.059215204
HOXB1	0.059161032
STC2	0.058950839
COL20A1	0.058869868
MIR196A1	0.058837045
KLK10	0.05869005
AQP5	0.058643837
STK3	0.058636933
TRIM36	0.058593357
IGSF9B	0.05844301
CITED1	0.058310416
CD6	0.058267524
HOXA7	0.057796976
HPSE2	0.05777082
RBBP8NL	0.057671297
MIR1247	0.057665793
LRRN2	0.057588835
IFITM10	0.057462811
LOC728739	0.05742083
BICDL2	0.057394792
CBFA2T3	0.057379634
GUCY2D	0.057312074
MEIS3	0.05728775
LINC00489	0.057285976
LGR6	0.057263269
NHSL2	0.056831475
AK8	0.056777814
EGR3	0.056751384
BRINP2	0.056741061
LRRC4B	0.05664543
THBD	0.056546961
TOX2	0.05649173
H19	0.056441961
SLIT3	0.056424812
WSCD2	0.056417066
CEACAM5	0.056335712
SCNN1G	0.056297107
SOX9	0.056248021
CRHR2	0.056108168
PDE1C	0.056081203
LOC101927166	0.055960989
ACTL8	0.055910349
NXPH4	0.055825616
DNAAF3	0.05581216
LOC100130417	0.055748034
ARHGAP29	0.055715226
TCF15	0.055685539
TRIM29	0.055340853
SDK2	0.055093418
PCDHGB5	0.055028813
WNT11	0.054887394
PCDHGA9	0.05483774
LOC101928174	0.054833415
SMARCD3	0.054813972
PLCH2	0.054502517
TRH	0.054458531
PAK3	0.054311834
SSTR4	0.0542913
FEV	0.054208617
LOC105369971	0.054136411
ANO1-AS2	0.054033975
WNT5A	0.054016169
PTPN5	0.053967266
GFRA1	0.05395722
MYT1	0.053934755
HS3ST6	0.053820456
ICAM5	0.053736905
LRRC38	0.053632971
LOC101927740	0.053385777
ZBED9	0.053376107
OR1F1	0.053323688
GP1BB	0.05332097
MAL	0.053290617
DUOX2	0.053276298
DNAJB8	0.053215086
MT1A	0.05297885
MIR129-1	0.052965142
IL20RA	0.05279103
MMP25	0.052746737
BEAN1	0.052728565
TWIST2	0.052685339
CACNA1A	0.052665463
DLL4	0.052663986
ESX1	0.052506335
MIR4456	0.052427161
DMBX1	0.052355266
VSIG2	0.052341178
PITX3	0.052292587
GFI1	0.052108426
ADD2	0.0520926
HAR1B	0.051988862
AJAP1	0.051972271
B3GAT1	0.051966523
PAPPA	0.051852201
SHANK2	0.051765482
HCK	0.051735974
TUNAR	0.051576694
LOC100505588	0.051561929
BMP3	0.05144928
TSHZ3	0.051437088
C10orf53	0.051425113
TAS1R2	0.051407073
LHX1	0.051390783
NGEF	0.051121606
HOXD1	0.051085865
CTD-2194D22.4	0.050909156
ADRA1D	0.050865966
MIR6165	0.050864762
CACNA2D4	0.050731214
SRRM4	0.050711991
CACNG8	0.050615074
HS3ST3B1	0.050536187
SHISA8	0.050399906
PCDHGB6	0.0503163
C14orf39	0.050280785
SAMD11	0.050219372
GRIN2B	0.050211992
TMEM179	0.050026514
FGF13	0.049900838
LINC01494	0.049896303
C1QB	0.049885242
ASTN2	0.049823998
HHEX	0.04980924
RAI2	0.049777383
CAMK1G	0.049701316
DLL1	0.049677933
ALX1	0.049621813
PDE1B	0.04955095
NTF4	0.049483181
CACNA1D	0.049346854
LINC00469	0.049338449
SOX2	0.049289504
PNPLA5	0.049261742
ATP8A2	0.049215772
TMEM163	0.049211753
FOXP4	0.049209078
MDGA1	0.049183913
AGAP2	0.049148861
ANKRD34C	0.049145358
BCOR	0.049133985
DUSP4	0.048961985
TRIM40	0.048926378
NR4A2	0.048921784
MSX2P1	0.048685495
CCBE1	0.048680962
GRID2IP	0.048656569
TSC22D3	0.048507138
PPP1R14C	0.048448922
ADCY5	0.048434153
MYT1L	0.048333048
ABCC8	0.048322035
RAET1G	0.048295441
UNC13A	0.048210275
C1QC	0.048207894
NCAM1	0.048171694
LINC00208	0.048076602
ATP2B3	0.04784743
IDUA	0.047828121
FGF4	0.047768991
LOC100133077	0.047691
LINC01124	0.047567789
MT1JP	0.047258664
MIR548H4	0.047250027
ANO2	0.047248543
SLC6A2	0.047177138
PRRX2	0.046988814
IL17REL	0.046986353
KRT28	0.046961427
PCAT29	0.046860631
MMEL1	0.046826851
RTN4RL1	0.046692274
PHF24	0.046681178
CAMK2B	0.046576162
NDRG4	0.0465078
WIF1	0.04640995
FOXO6	0.046330506
EFCC1	0.04629923
SLC17A9	0.046250552
CACNA1H	0.046140225
ENTPD1-AS1	0.046120955
LOC100134391	0.045992295
LOC101929748	0.045982851
CNTFR-AS1	0.045936242
LINC00479	0.045894438
TLX2	0.045855179
SOX18	0.045778066
ZBTB16	0.045772667
ATP6V1B1	0.045565307
TRIM63	0.04550247
TMEM174	0.045437647
PRRT4	0.04541848
ERG	0.045415983
SRRM3	0.045386628
PCDHGA10	0.045297932
GAL	0.045279968
C22orf34	0.04526926
FAM120B	0.045242526
GPR26	0.04523135
COL4A6	0.045192426
NPTX2	0.045088658
ITGB2	0.045021821
LOC399886	0.044896394
LOC152274	0.044866974
COL13A1	0.04483979
LOC648987	0.044776599
PLEKHD1	0.044749295
COL26A1	0.044733282
PAMR1	0.044722222
LINGO3	0.044701649
CACNA2D2	0.044657316
FADS6	0.044650584
NCAN	0.044549749
SP5	0.044517798
KRT73-AS1	0.044499075
HSF4	0.044431748
CLYBL	0.044378021
HES4	0.044296599
KRT73	0.044169172
SLC6A19	0.044143404
FIGNL2	0.044119526
IQSEC2	0.044117824
ENPP7	0.043967821
XKR7	0.043967403
PCDHGB7	0.043916243
KRT1	0.043874763
ESRRG	0.043863655
MGAT5B	0.04386101
KCNQ1-AS1	0.043846334
NELL1	0.043835797
EML1	0.043828981
SLC25A48	0.043624054
ELAVL2	0.043347638
ARHGEF7	0.043246968
LINC00643	0.043209093
NKX2-1	0.04315466
BNC1	0.043139206
GRAP2	0.043114276
TLL2	0.042987053
GALNT18	0.042951813
KLHL29	0.042799914
GDF10	0.042703327
ADAM33	0.042698626
AMMECR1	0.042693255
SPAG6	0.042601864
KCNH3	0.042587462
KCNN3	0.042474785
ILDR2	0.042460065
RBM20	0.042378085
LINC01399	0.042296767
TROAP	0.042110348
PRKCG	0.042032717
KCNC3	0.042001914
KIF26A	0.041996822
LOC102724502	0.041954369
CYS1	0.041825957
MIR375	0.041820356
LOC339166	0.041720751
ABLIM2	0.041596946
NAT8L	0.041575085
PYY	0.041543848
L1CAM	0.04152971
BDNF	0.041481404
PCDHGA11	0.041410146
LAMC3	0.041283264
KCNA6	0.0412669
FLT1	0.041176965
ZSCAN9	0.041165361
ZNF423	0.041154472
PPP5D1	0.041132507
UBD	0.041014632
UBE2QL1	0.040902899
SYBU	0.040893733
LINC00927	0.040817349
TEKT1	0.040816473
C14orf180	0.04072042
LOC101929538	0.04070428
KLK4	0.040434662
CHST1	0.040397938
OTOG	0.04039712
LOC400794	0.040395588
LY6H	0.04031577
POU4F1	0.040270099
LINC00608	0.040245035
NPHS1	0.040213984
MLXIPL	0.040100425
GRIP2	0.040075733
MIR7704	0.040064113
CNGA3	0.040049791
WI2-2373I1.2	0.040046683
C15orf59	0.039989419
SSPO	0.039975136
CAMK2N1	0.039965469
KAZN	0.039865733
SYT15	0.039721121
LINC01411	0.03970775
CLDN14	0.03947961
LOC102724301	0.039463567
CADM1	0.039460356
LOC100190940	0.039453776
RANBP17	0.03938769
HEY2	0.039351219
RGAG1	0.039311978
OVOL1	0.039298624
ADAMTSL2	0.039280905
LOC389332	0.03918617
CEACAM21	0.039019403
VDR	0.03883401
LGI3	0.038717097
JAKMIP3	0.038715271
MKX-AS1	0.038645283
NPAS1	0.038644756
PROK2	0.038616634
SMOC1	0.038557717
LINC01798	0.03855293
JAKMIP1	0.038520816
ECEL1P2	0.038465705
TRPC5	0.038430381
APCDD1L-AS1	0.038364351
VPREB1	0.038349519
HAR1A	0.038331436
TNNT1	0.038330917
LINC01056	0.038301324
PHACTR1	0.038227341
KNCN	0.038062704
COL12A1	0.038062279
