Gene	TriageRank_WT	TriageRank_KO1	TriageRank_KO2	WT2_D14_DS	KO1_D14_DS	KO2_D14_DS
CACNG4	378	76	104	0.060490239	0.216491871	0.172320207
TNNT1	219	103	105	0.099289565	0.183144178	0.172064371
NSG1	324	112	106	0.070449265	0.17472431	0.171201555
RAB37	496	126	107	0.042749183	0.158791704	0.169452489
HOXB7	631	218	108	0.032301696	0.105382806	0.16892845
DLX4	293	75	109	0.075891514	0.217758275	0.168577929
EEF1A2	18	85	110	0.537572917	0.20043993	0.167804471
WNT3	120	123	111	0.160734882	0.163116737	0.167449595
LINC01475	19363	82	112	0	0.207501029	0.164349511
BMP7	27	70	113	0.46930462	0.226581491	0.164146893
COL12A1	1588	125	114	0.009361433	0.159666326	0.162217464
FOXF2	801	193	115	0.024434914	0.114892336	0.161625499
PTH1R	62	180	116	0.246934543	0.118165071	0.159942475
GPC3	235	122	117	0.093046756	0.164061159	0.159422083
NPPB	368	108	118	0.061987228	0.178712574	0.158827496
ACAN	1396	74	119	0.011372321	0.219460214	0.158686301
STC2	169	121	120	0.124762606	0.16409099	0.158591513
PAMR1	530	109	121	0.040204086	0.178573517	0.158379795
LEF1	115	161	122	0.168888824	0.130850042	0.157329397
ASS1	184	137	123	0.118034736	0.15042079	0.156378106
TWIST1	41	134	124	0.349785815	0.154083176	0.155109678
SHH	100	100	125	0.184561745	0.185838622	0.153738692
EBF4	128	163	126	0.149211212	0.129601755	0.153363547
CAMTA1	78	106	127	0.217110068	0.181038408	0.151843068
TTC6	709	131	128	0.028143258	0.156580238	0.151696739
SLIT3	122	138	129	0.159206124	0.149549988	0.151554867
TBX4	387	179	130	0.059518064	0.120377057	0.149704851
CRNDE	35	142	131	0.401131521	0.146804961	0.148257265
CADM1	134	118	132	0.14637592	0.166432686	0.147392391
HOXA1	1693	955	133	0.008393984	0.020872344	0.145753401
KCND3	536	140	134	0.039894749	0.147450439	0.145595831
BAMBI	119	149	135	0.16138998	0.143689764	0.141806052
ADRA1B	255	143	136	0.084673197	0.146725507	0.140976756
HES4	129	156	137	0.148915925	0.135648579	0.140722205
WNT5A	141	162	138	0.141276245	0.130451824	0.139342662
DLX1	18702	265	139	0	0.089355473	0.138985949
GDF7	1221	304	140	0.013895335	0.078049296	0.138622479
XKR6	82	170	141	0.208414587	0.123427855	0.137916229
LINGO1	49	60	142	0.314206835	0.246916317	0.137707496
DLGAP4	180	154	143	0.119333039	0.140269312	0.136813377
LRRC4B	154	187	144	0.133263358	0.116784094	0.136721763
SP6	272	147	145	0.079976985	0.144959429	0.136281311
COL26A1	230	128	146	0.095864593	0.157963094	0.136080649
BCL11A	265	158	147	0.081521835	0.133518036	0.135934759
TENM4	196	152	148	0.113643972	0.140336521	0.134332574
NBPF8	283	168	149	0.077759806	0.124325448	0.134285579
ESPN	221	166	150	0.098500665	0.124878942	0.132427727
SYT6	931	113	151	0.020324614	0.173901892	0.132318564
PAPPA	1204	232	152	0.014099686	0.101590623	0.131900566
KRT7	893	139	153	0.021252608	0.148118296	0.131886122
BNC1	922	209	154	0.020571306	0.108413526	0.131716618
COL1A1	407	183	155	0.055157891	0.117467265	0.131633208
ZNF503	94	167	156	0.19413642	0.124493343	0.131350832
KCNIP1	1371	246	157	0.011619781	0.096612974	0.131157546
MNX1	228	286	158	0.096211361	0.08343908	0.130560342
PEAR1	660	221	159	0.030819006	0.10497418	0.129290821
WNT11	121	130	160	0.159364982	0.156632398	0.127557866
IRX2	44	129	161	0.341673839	0.157956546	0.126088077
NRN1	353	32	162	0.065897765	0.436917412	0.125972292
CYP26A1	420	174	163	0.051702378	0.121596411	0.124377306
GMDS	256	136	164	0.08459672	0.151551463	0.1241871
TFAP2C	1378	127	165	0.011563466	0.158097677	0.123041434
HOXB5	2339	360	166	0.004618832	0.065422693	0.122270985
ALK	291	64	167	0.076831933	0.237684503	0.120886683
SCRG1	55	278	168	0.266834182	0.085987189	0.120786343
TSC22D3	98	202	169	0.184752042	0.111703205	0.120584559
MAFB	160	204	170	0.129279287	0.110773826	0.119580491
FOXB1	18812	19691	171	0	0	0.119538371
STK3	182	175	172	0.119006294	0.12144404	0.11943095
PDGFB	296	176	173	0.075364148	0.121435979	0.118285665
ZNF503-AS2	91	225	174	0.197473086	0.1028143	0.118140443
FIGNL2	340	185	175	0.068184185	0.117275203	0.117620688
IRX1	14	47	176	0.628174107	0.347501255	0.116529934
KCNG1	74	135	177	0.223830889	0.151626922	0.116082917
COL5A1	391	224	178	0.058444885	0.103092899	0.115309591
FBXL21	3561	155	179	0.001891133	0.136541918	0.114391916
COL4A6	166	210	180	0.1259274	0.107655048	0.114045798
LHX4	408	146	181	0.055043617	0.145122674	0.11398732
ITGA11	1012	334	182	0.018337792	0.070647822	0.113872565
EPS8L1	628	172	183	0.032373813	0.122257321	0.113291871
OTX2	15	61	184	0.618380903	0.244404626	0.1131737
JPH3	114	150	185	0.169860861	0.143077946	0.112404618
FAM120B	177	217	186	0.121778493	0.105407559	0.110937921
SPEG	84	356	187	0.206224898	0.066218603	0.10985061
DLX2	1291	104	188	0.012803169	0.182969885	0.109336722
C4orf48	159	215	189	0.129538741	0.105829263	0.108443737
TEAD1	220	214	190	0.0990643	0.106081045	0.10835327
CBX8	59	184	191	0.250091805	0.11730349	0.107834453
FRMD4A	360	212	192	0.064217421	0.106788748	0.10780159
GDNF	18848	249	193	0	0.095707147	0.107714867
LINC00479	3414	191	194	0.00207683	0.115293928	0.107472178
CCDC8	175	203	195	0.122365931	0.111560618	0.106506033
MECOM	95	101	196	0.192033053	0.185239039	0.1062546
GLP1R	1226	258	197	0.013835287	0.092706496	0.105663234
TSPAN18	214	228	198	0.102040489	0.102459661	0.105606847
BLACAT1	894	133	199	0.021235557	0.154606519	0.105075696
SMARCD3	93	231	200	0.195981498	0.101600035	0.105056893
SRCIN1	104	260	201	0.17829708	0.092110926	0.104671435
LGR6	4085	196	202	0.001407379	0.113521027	0.104418367
IGFBP5	288	188	203	0.077239861	0.116536622	0.104140136
APC2	320	226	204	0.071143674	0.102668034	0.103688375
PPIE	225	220	205	0.097265903	0.105076169	0.103329473
TJP1	213	229	206	0.102093542	0.10217384	0.103228954
HOXC10	18967	908	207	0	0.022257914	0.103062135
DPYSL2	208	252	208	0.104242044	0.093587304	0.101051343
MEGF6	450	311	209	0.04845185	0.076703577	0.100485978
PKNOX2	249	237	210	0.086016681	0.100323856	0.099973226
SLC6A17	993	469	211	0.01880149	0.048379985	0.099720443
URAD	20200	255	212	0	0.093018445	0.098943719
DLGAP3	1041	213	213	0.017558757	0.106766533	0.098808472
SOX7	2205	157	214	0.005135085	0.133925466	0.097702569
NRGN	1483	192	215	0.010368473	0.11514281	0.097525493
TCF21	20093	372	216	0	0.062029916	0.097366397
PAX6	388	287	217	0.058736744	0.083349797	0.0966937
LINC01389	103	86	218	0.181138319	0.200416509	0.096467714
PHF24	510	151	219	0.041372591	0.141199406	0.096328921
SMOC2	1682	418	220	0.008492889	0.054595805	0.09610868
MEGF11	371	153	221	0.061600613	0.140275118	0.096053376
TRIM71	347	194	222	0.066878819	0.114735461	0.095076422
SLC12A5	155	227	223	0.132888283	0.102614037	0.094222872
DIO3	969	141	224	0.019573298	0.147416294	0.09348903
C5orf38	67	186	225	0.234722827	0.116858059	0.093245959
IGSF1	808	238	226	0.024347848	0.099754511	0.092761322
ELMOD1	1047	181	227	0.017408401	0.117914295	0.092428565
CCBE1	661	206	228	0.030780523	0.109315711	0.092201894
CAPN6	523	251	229	0.040752034	0.095009467	0.092128564
FLT1	247	259	230	0.086957673	0.092300165	0.092095326
GPX8	267	275	231	0.081335537	0.086857358	0.090432008
DMTN	486	201	232	0.043422299	0.112120045	0.090000779
COL18A1	248	263	233	0.086691343	0.08963144	0.089595959
FOXP4	357	242	234	0.065369211	0.098381765	0.089433409
ZSCAN9	226	262	235	0.09651865	0.090266794	0.089330904
RANBP17	298	319	236	0.074672992	0.074708153	0.089297886
KIF26A	200	270	237	0.111811596	0.088621876	0.089126946
NTF4	306	331	238	0.073604732	0.071780694	0.089114047
CYP26B1	790	189	239	0.02476041	0.116346377	0.088937958
ADAM33	3491	448	240	0.001981873	0.051104125	0.0886922
IRF8	737	340	241	0.026855059	0.069293105	0.088542287
IGDCC3	330	266	242	0.069920713	0.089159201	0.088500064
LRRN2	797	362	243	0.024640836	0.065239204	0.087656232
RGS20	333	686	244	0.069276415	0.031002253	0.086870155
RASGRF1	3356	173	245	0.002151984	0.121707321	0.086754911
NKD2	572	280	246	0.036443733	0.085052946	0.086560982
TBX2	13	198	247	0.702088296	0.112755041	0.086045618
REEP1	341	244	248	0.068105449	0.097741981	0.085848351
RBBP8NL	586	216	249	0.035239521	0.105582422	0.085298271
CBX2	112	239	250	0.171146032	0.099718595	0.084908008
LMX1B	19417	144	251	0	0.145977701	0.084416534
EMX1	18742	295	252	0	0.080736287	0.083670385
DIO3OS	18696	314	253	0	0.076390606	0.08360527
HIST3H2A	250	253	254	0.085650027	0.093378	0.083544917
EBF2	644	171	255	0.031620651	0.123252257	0.083515237
TNC	658	282	256	0.031022914	0.084153008	0.083502492
EFNB1	398	284	257	0.056940418	0.08373272	0.083436697
ARHGAP40	1580	394	258	0.009395175	0.058652204	0.082969381
ENPP7	3430	473	259	0.002056444	0.047717638	0.082803113
ARHGEF7	281	281	260	0.077774301	0.084964148	0.082229284
TSPAN9	312	268	261	0.072913721	0.088989481	0.082217097
TROAP	434	321	262	0.049757025	0.074153986	0.081816591
LHX5	571	43	263	0.036578593	0.368340748	0.081785747
VSIG2	1709	164	264	0.00826102	0.12946413	0.081694335
ANO1	3044	336	265	0.002665024	0.069899327	0.081123078
GAD1	862	254	266	0.022507653	0.09321841	0.080645513
ZIC4	1520	536	267	0.009988893	0.04158733	0.080629648
CELF4	210	83	268	0.102833307	0.20690883	0.080218477
AGRN	400	291	269	0.056843123	0.081373285	0.080107413
ZIC5	539	159	270	0.039749965	0.133406808	0.080093787
PDIA6	315	297	271	0.072125944	0.080366618	0.078931261
THBD	702	219	272	0.028822554	0.105207551	0.078396212
TBX18	131	490	273	0.147447955	0.045456962	0.078253576
VAX2	20208	20240	274	0	0	0.078216504
CLIC6	3000	269	275	0.002745794	0.088892233	0.077707461
PCDHGB4	254	288	276	0.085106878	0.083309561	0.076865346
EPAS1	1808	290	277	0.007377435	0.081431035	0.076463585
RASGEF1A	767	430	278	0.025408688	0.052845392	0.07630418
ALX1	443	230	279	0.049142908	0.102006857	0.076284071
WDR86	246	322	280	0.087391554	0.073767293	0.076267852
Sep-05	76	383	281	0.222668946	0.06011257	0.076173476
COL6A3	2196	330	282	0.005180056	0.07186754	0.076115961
CAMK2N1	1600	256	283	0.009280645	0.092956941	0.075858461
EGFL6	2635	404	284	0.003595403	0.057417101	0.075783313
SLC13A5	3481	323	285	0.001994065	0.073558287	0.075271441
SDK2	233	279	286	0.094133744	0.085294927	0.074760127
PLXNA4	75	351	287	0.223415664	0.067075405	0.074509903
ADORA1	145	233	288	0.139228972	0.101186952	0.074227342
JPH2	150	309	289	0.135219627	0.076901444	0.073851248
KCNH2	70	749	290	0.229198021	0.02817131	0.073709922
TNNT2	96	327	291	0.186642874	0.07247861	0.073606315
COL27A1	512	276	292	0.041297746	0.086789989	0.073110891
DMKN	331	299	293	0.069604027	0.080127197	0.073057081
TBX15	1426	120	294	0.011033946	0.164653825	0.072874815
SLC17A9	2352	264	295	0.004576514	0.089625912	0.071860096
EML1	240	285	296	0.090958199	0.083613721	0.071482102
RAP1GAP	421	234	297	0.05158814	0.101036162	0.071286932
FOXD1	232	148	298	0.09470932	0.14444157	0.070858181
KIF26B	275	305	299	0.078987872	0.077892733	0.070682863
NFIB	258	465	300	0.083025224	0.048648614	0.070278114
RARB	284	364	301	0.077600604	0.064161618	0.070135316
CLMP	617	303	302	0.033197656	0.07854738	0.069853635
SCARF2	365	357	303	0.062647052	0.066212298	0.069198338
CAMK1G	270	247	304	0.080516141	0.096383356	0.068701512
FHOD3	178	339	305	0.121625272	0.06947832	0.068539222
EPHA8	354	169	306	0.065770549	0.12376164	0.068495064
GATM	470	307	307	0.045452608	0.07722012	0.068222623
CCKBR	898	272	308	0.021181359	0.087616367	0.068072819
IGFBPL1	511	335	309	0.041352008	0.070053298	0.068004413
PRKAG1	344	368	310	0.067349052	0.063534118	0.067875431
NHSL2	404	328	311	0.056289013	0.072351672	0.067732966
SALL1	143	200	312	0.140865574	0.112239598	0.067605742
POM121L2	165	524	313	0.126378601	0.042671617	0.067558891
SHANK2	1826	329	314	0.007189825	0.072263689	0.067528937
NDNF	956	378	315	0.019707113	0.060998301	0.06745027
FOXL1	33	18839	316	0.407070706	0	0.06730088
GRID1	364	343	317	0.062954235	0.068539938	0.066890468
AMOT	687	333	318	0.029374227	0.070855546	0.066881412
KCNMA1	1434	344	319	0.010872689	0.068354812	0.066593533
PRRX1	294	250	320	0.075546416	0.095685249	0.066515596
VSTM2L	32	241	321	0.412988433	0.098700971	0.066345009
DAB2IP	273	342	322	0.079856607	0.068972403	0.066169823
HTRA1	335	416	323	0.069106094	0.054929147	0.065857096
IGSF21	193	638	324	0.114677861	0.03398359	0.065590247
C1orf61	607	190	325	0.03423197	0.116330608	0.06554396
AMMECR1	399	296	326	0.056865935	0.08048578	0.065521834
DMRT1	1680	89	327	0.008504666	0.195355177	0.065475945
MLXIPL	2663	609	328	0.003495139	0.035932324	0.064951479
CRISPLD2	1440	409	329	0.010791542	0.056716265	0.064719559
DRD2	1421	208	330	0.011071631	0.109129752	0.06461624
COL4A1	462	346	331	0.046375633	0.068067949	0.06460886
FN1	508	354	332	0.04184599	0.066536899	0.064602204
CD40	674	831	333	0.030002253	0.024617635	0.064264684
PROM1	821	315	334	0.023937848	0.076004787	0.064220906
ADCY5	136	313	335	0.144879844	0.07646913	0.063818079
IRX5	21	312	336	0.503545755	0.076622219	0.063217324
ABR	276	355	337	0.078913161	0.066418243	0.06308403
AFAP1L2	756	371	338	0.026098307	0.062549162	0.063017815
MAP1B	367	441	339	0.062134457	0.051428242	0.06299924
SYT13	697	271	340	0.028947069	0.088081129	0.062895075
PRTG	491	348	341	0.043143471	0.067812487	0.062522843
ELAVL2	245	449	342	0.088306254	0.050902079	0.061754068
ROR2	321	359	343	0.070973794	0.065876753	0.061353458
MPZL2	1543	306	344	0.009815621	0.077808199	0.061222477
KIF1A	163	182	345	0.126622385	0.117683493	0.061173239
ILDR2	170	486	346	0.124098598	0.045879076	0.060956968
NTN1	711	374	347	0.028066972	0.06193161	0.060921515
ACTR5	401	399	348	0.056833814	0.057903641	0.060718552
HNF4A	6172	338	349	0.000628475	0.069606977	0.060678216
PLCE1	676	365	350	0.029862472	0.064127452	0.060233608
GJD2	1093	387	351	0.016563671	0.059589024	0.060097439
KALRN	422	347	352	0.051182379	0.067889705	0.060023642
PROX1	63	301	353	0.243740704	0.078868059	0.059901522
SPNS2	1938	369	354	0.006454488	0.063363503	0.059870483
EHBP1	474	438	355	0.044964395	0.052021176	0.05968045
HLA-B	722	350	356	0.027457942	0.067331684	0.059372568
RAP1GAP2	770	345	357	0.025246061	0.068133133	0.059163137
SYT2	132	223	358	0.146846381	0.10326836	0.059139436
USH1C	3069	439	359	0.002609114	0.051965803	0.059027582
NR6A1	560	308	360	0.037179237	0.077110574	0.058938951
LIFR	483	363	361	0.043731699	0.064406848	0.058656396
FXYD6	195	991	362	0.114298471	0.019661987	0.058494065
RAB11FIP4	653	353	363	0.03113986	0.066742217	0.05826169
ZBED9	257	293	364	0.084366223	0.081181663	0.058223915
WNT2B	936	742	365	0.020215769	0.028641782	0.058191393
PGM5	191	492	366	0.115230439	0.045415067	0.058113947
CELF2	253	427	367	0.085351181	0.053128782	0.057988825
RGAG1	645	261	368	0.031597562	0.091970837	0.057748314
FAM172A	350	414	369	0.06627777	0.055869623	0.057602106
DLL3	188	585	370	0.116254084	0.037068378	0.057589496
EDN3	1254	2183	371	0.013395071	0.006044077	0.057509776
FLI1	590	606	372	0.034995472	0.036059463	0.057314833
VCAN	325	388	373	0.07030322	0.059334398	0.057242889
LINC01314	4047	160	374	0.001444491	0.133196592	0.05712977
BMP6	903	222	375	0.021103664	0.104037734	0.056885016
NGEF	550	292	376	0.038560835	0.081320951	0.056755985
HOXB4	319	474	377	0.071471566	0.047696124	0.056738554
NDRG4	198	373	378	0.113410656	0.061939334	0.056704803
KANK4	1708	411	379	0.008276133	0.05630366	0.056623783
LIN28A	656	358	380	0.03112339	0.066058561	0.056601716
RBP4	6460	398	381	0.000579601	0.05816384	0.056431835
CADM3	899	317	382	0.021166162	0.075069613	0.056189484
RING1	369	425	383	0.061902475	0.053530505	0.055971722
ZNF518A	376	422	384	0.060800643	0.053839454	0.055843798
GCGR	2281	456	385	0.004811212	0.049746208	0.055686951
ZBTB16	379	302	386	0.060156742	0.078786496	0.055498851
CDC20B	280	868	387	0.07806948	0.023483567	0.055393536
TRIM67	1807	423	388	0.007379912	0.053747872	0.054880692
AMN	2609	618	389	0.003662035	0.035300247	0.05485423
COL13A1	156	1033	390	0.131351601	0.018754721	0.054712056
GPR101	18891	390	391	0	0.058884532	0.054704125
MCC	310	341	392	0.073235504	0.069117091	0.05461313
OAF	815	405	393	0.024161659	0.057299531	0.05454335
EPHB3	217	386	394	0.10066937	0.059841931	0.054477912
ASIC2	18362	397	395	0	0.058169433	0.054272697
KLHL29	685	382	396	0.02950099	0.060259234	0.053993194
SKAP1	782	552	397	0.024878244	0.040445045	0.053808905
MTMR9	432	400	398	0.049932141	0.057835449	0.053722701
KCNB1	1908	366	399	0.006634034	0.063796796	0.053680216
ADAMTS18	963	445	400	0.019617158	0.051259795	0.053429743
EFNB3	305	497	401	0.073638987	0.044896759	0.053011125
KDELR3	577	460	402	0.035908395	0.049320657	0.052876382
INHBB	2279	640	403	0.00481376	0.033708062	0.052742666
LAMB1	589	415	404	0.035080865	0.055146266	0.052742019
WIF1	20228	384	405	0	0.060101123	0.05270848
KCNK3	133	370	406	0.146454095	0.062719918	0.052610844
PRKCDBP	438	457	407	0.049505708	0.049636588	0.052438634
C19orf81	359	545	408	0.064301218	0.0409474	0.052317108
ANK1	172	245	409	0.122964537	0.09738913	0.052300299
TSHZ3	1824	514	410	0.007234186	0.043212504	0.052276153
KIAA1462	384	421	411	0.059923385	0.054065207	0.052136133
SIM2	393	248	412	0.058261527	0.09595806	0.052002377
DMRT3	1855	385	413	0.006972088	0.060058665	0.051442095
KIAA1217	810	433	414	0.02425307	0.052510021	0.051272637
EOMES	809	605	415	0.024332583	0.036122996	0.051184121
FADS6	1026	533	416	0.018089087	0.041782305	0.050914062
RBBP7	396	435	417	0.057600045	0.052235248	0.050665052
RSPO3	278	324	418	0.07876068	0.07326824	0.050632114
CYP19A1	2132	310	419	0.00544545	0.076771618	0.050182605
PLXNC1	576	406	420	0.036184403	0.057246481	0.050054969
IDUA	465	431	421	0.046070726	0.052823617	0.049929856
LHFP	669	453	422	0.030214993	0.050105822	0.049814095
HS3ST3B1	459	393	423	0.046908473	0.05869685	0.049794228
ONECUT1	395	79	424	0.057937025	0.20975925	0.049782352
FGFR3	565	428	425	0.036842627	0.053008947	0.049329552
UNC5B	260	479	426	0.082766495	0.047098336	0.049092983
ESRP1	1055	432	427	0.017238558	0.052701518	0.04896665
IRF4	19032	205	428	0	0.110442384	0.048960959
ELOVL2	3429	434	429	0.002058857	0.052462888	0.04894845
ADAMTS2	1087	509	430	0.016681796	0.04362494	0.048822148
STK26	441	426	431	0.049366858	0.053237231	0.048684678
TBKBP1	212	542	432	0.102311986	0.04123754	0.048646361
OXGR1	3865	627	433	0.00159082	0.034755775	0.048389627
PRRT4	313	444	434	0.072595397	0.051303435	0.048140254
SORCS2	289	595	435	0.077195768	0.036822028	0.048097219
HCN4	34	352	436	0.404702139	0.066789894	0.047903811
SPON1	124	332	437	0.152471906	0.071171708	0.047899832
DGKK	683	503	438	0.029602487	0.044183976	0.047755479
GPATCH2L	461	468	439	0.046588433	0.048445927	0.047746618
AUTS2	366	466	440	0.062261217	0.048558809	0.047658859
SERTAD4	1901	507	441	0.00665207	0.043751845	0.04761531
NRG2	86	107	442	0.204237395	0.18048103	0.047372305
YAP1	436	462	443	0.049662486	0.049293936	0.047298568
FOXC1	58	580	444	0.254272473	0.037312823	0.047175041
CELSR1	513	495	445	0.041286014	0.045217438	0.047065037
INPPL1	446	458	446	0.048714233	0.049534632	0.047046868
FSTL4	2084	496	447	0.005690992	0.04517075	0.04694385
SULF2	1476	419	448	0.010462577	0.054560932	0.046903727
CDK18	585	483	449	0.035240181	0.046423237	0.04684011
ARHGAP6	317	556	450	0.071896945	0.039378024	0.046839282
PLS3	556	440	451	0.037667486	0.051913403	0.046823242
C2orf72	1625	447	452	0.008969442	0.051106049	0.046761043
RIMS2	1482	470	453	0.010413396	0.047815523	0.04672366
FST	890	510	454	0.021364138	0.043397087	0.046707042
PCDHGB6	336	739	455	0.068752258	0.028821277	0.046345032
BCOR	171	391	456	0.123505167	0.058851569	0.046334288
PRR15	1501	412	457	0.010208504	0.056116383	0.046229527
EMILIN2	397	620	458	0.057147125	0.035275791	0.046130931
ASTN2	600	455	459	0.034474962	0.049890863	0.04600288
TCF20	468	467	460	0.045778534	0.048449387	0.045926092
SHROOM1	895	528	461	0.021232908	0.042310353	0.045859776
EMX2OS	1089	195	462	0.016673615	0.114402288	0.045809951
WLS	445	522	463	0.048758109	0.042749891	0.045781577
IGFBP3	1205	506	464	0.014088792	0.04382307	0.045767004
LAYN	1112	549	465	0.016202635	0.040621619	0.045674082
