gene	DS	TRIAGE_RANK
125	ABTB1	0.000162752	13128
126	ABTB2	0.007815322	1722
127	ACAA1	0.000236258	11087
128	ACAA2	0.000314263	9256
129	ACACA	0.000961096	4845
130	ACACB	0.000738219	5547
131	ACAD10	0.000254094	10633
132	ACAD11	2.32e-05	16902
133	ACAD8	0.000240105	10978
134	ACAD9	0.000227177	11326
135	ACADL	0.003300709	2663
136	ACADM	0.000287129	9839
137	ACADS	0.000374997	8191
138	ACADSB	0.003285005	2669
139	ACADVL	0.000423476	7540
140	ACAN	0.02260393	852
141	ACAP1	0.000927227	4904
142	ACAP2	0.000276154	10084
143	ACAP3	0.000263489	10395
144	ACAT1	0.000267264	10305
145	ACAT2	0.00016497	13067
146	ACBD3	0.000240913	10962
147	ACBD4	0.000314663	9244
148	ACBD5	0.000165745	13040
149	ACBD6	0.00041679	7632
150	ACBD7	0.000292961	9722
151	ACCS	0.000425951	7522
152	ACD	0.000182042	12582
153	ACE	0.002480557	3078
154	ACE2	0.009170213	1580
155	ACER2	0.000249803	10751
156	ACER3	0.000257079	10561
157	ACHE	0.003377641	2640
158	ACIN1	0.000219207	11523
159	ACKR1	0	17888
160	ACKR2	0.000147189	13578
161	ACKR3	0.005673139	2030
162	ACKR4	1.08e-06	17792
163	ACLY	0.000327706	9005
164	ACMSD	9.45e-05	14989
165	ACO1	0.002680037	2943
166	ACO2	0.000439483	7371
167	ACOT1	0.000144462	13665
168	ACOT11	0.001432788	3982
169	ACOT12	0	17889
170	ACOT13	0.000265726	10339
171	ACOT2	0.000251606	10706
172	ACOT4	0	17890
173	ACOT7	0.001402095	4030
174	ACOT8	0.000168616	12958
175	ACOT9	0.000580788	6304
176	ACOX1	0.000229176	11272
177	ACOX2	0.000381557	8084
178	ACOX3	0.000993451	4744
179	ACOXL	0.130926061	150
180	ACP1	0.000435008	7428
181	ACP2	0.000160765	13177
182	ACP5	8.2e-05	15298
183	ACP6	0.000404772	7776
184	ACP7	0	17891
185	ACPP	0.001107378	4487
186	ACPT	0.000253036	10660
187	ACRBP	0.000183252	12551
188	ACRV1	6.63e-06	17570
189	ACSBG1	3.62e-05	16484
190	ACSBG2	8.62e-05	15185
191	ACSF2	0.002608473	2989
192	ACSF3	0.004463419	2307
193	ACSL1	0.017532416	1026
194	ACSL3	0.000441245	7352
195	ACSL4	0.003921923	2459
196	ACSL5	0.000110417	14584
197	ACSL6	0.000855055	5111
198	ACSM1	0	17892
199	ACSM2A	0	17893
200	ACSM2B	2.01e-05	17021
201	ACSM3	6.43e-05	15735
202	ACSM4	0	17894
203	ACSM5	3.19e-05	16619
204	ACSM6	6.37e-05	15751
205	ACSS1	0	17895
206	ACSS2	0.000705231	5670
207	ACSS3	0.000507853	6784
208	ACTA1	0.049287251	438
209	ACTA2	0.001297574	4163
210	ACTA2-AS1	5.1e-05	16044
211	ACTB	0.000434168	7432
212	ACTBL2	0	17896
213	ACTC1	0.055332279	392
214	ACTG1	0.000616077	6104
215	ACTG1P17	0	17897
216	ACTG1P20	6.37e-05	15752
217	ACTG2	0.000126525	14173
218	ACTL10	4.4e-05	16234
219	ACTL6A	0.000322466	9107
220	ACTL6B	0	17898
221	ACTL7B	0	17899
222	ACTL8	0	17900
223	ACTN1	0.000856594	5103
224	ACTN1-AS1	0.000111736	14551
225	ACTN2	0.018185095	1008
226	ACTN3	0.003446485	2620
227	ACTN4	0.001654096	3717
228	ACTR10	0.000596142	6215
229	ACTR1A	0.000356523	8496
230	ACTR1B	0.00027755	10048
231	ACTR2	0.00267098	2946
232	ACTR3	0.000328693	8983
233	ACTR3B	0.00040869	7724
234	ACTR3C	0	17901
235	ACTR5	0.060786057	358
236	ACTR6	0.000211502	11734
237	ACTR8	0.000177169	12710
238	ACTRT1	8.82e-06	17465
239	ACTRT3	4.65e-05	16159
240	ACVR1	0.000209227	11797
241	ACVR1B	0.002348466	3156
242	ACVR1C	5.46e-05	15960
243	ACVR2A	0.000703611	5675
244	ACVR2B	0.000546162	6520
245	ACVR2B-AS1	0.000179155	12653
246	ACVRL1	0.0021706	3274
247	ACY1	1.36e-05	17263
248	ACY3	7.8e-05	15396
249	ACYP1	0.000240271	10973
250	ACYP2	0.000588038	6261
251	ADA	0.00065667	5898
252	ADAD1	2.13e-05	16966
253	ADAD2	4.21e-05	16294
254	ADAL	0.000292369	9733
255	ADAM10	0.000328849	8979
256	ADAM11	0.039291997	529
257	ADAM12	0.00087999	5044
258	ADAM15	0.000510627	6761
259	ADAM17	0.000227486	11318
260	ADAM18	9.63e-06	17430
261	ADAM19	0.001838303	3540
262	ADAM2	2.01e-05	17022
263	ADAM20	2.43e-05	16866
264	ADAM20P1	1.3e-05	17294
265	ADAM21	1.8e-05	17111
266	ADAM21P1	0	17902
267	ADAM22	0.00036135	8414
268	ADAM23	0.011396391	1383
269	ADAM28	0.000546255	6518
270	ADAM29	8.15e-06	17504
271	ADAM32	0.000387929	7998
272	ADAM33	0.006024837	1960
273	ADAM3A	0	17903
274	ADAM5	0	17904
275	ADAM7	0	17905
276	ADAM8	0.000709181	5656
277	ADAM9	0.000473173	7035
278	ADAMDEC1	0	17906
279	ADAMTS1	0.004659941	2255
280	ADAMTS10	0.000970131	4815
281	ADAMTS12	0.016966003	1047
282	ADAMTS13	0.001848899	3530
283	ADAMTS14	0.002063469	3350
284	ADAMTS15	0.00937916	1561
285	ADAMTS16	0.000168777	12955
286	ADAMTS17	0.002551613	3034
287	ADAMTS18	0.019411704	970
288	ADAMTS19	0.005142871	2145
289	ADAMTS19-AS1	0.002898087	2847
290	ADAMTS2	0.016682008	1062
291	ADAMTS20	0.000273404	10144
292	ADAMTS3	0.001111677	4476
293	ADAMTS4	6.38e-05	15748
294	ADAMTS5	0.000180293	12628
295	ADAMTS6	0.000643354	5961
296	ADAMTS7	0.000838705	5172
297	ADAMTS7P1	2.94e-08	17871
298	ADAMTS8	0.009361031	1564
299	ADAMTS9	0.024325317	792
300	ADAMTS9-AS1	0.000222942	11420
301	ADAMTS9-AS2	0.00288884	2851
302	ADAMTSL1	0.001653243	3718
303	ADAMTSL2	0.077101538	276
304	ADAMTSL3	0.000655195	5906
305	ADAMTSL4	0.001029791	4662
306	ADAMTSL4-AS1	3.68e-05	16457
307	ADAMTSL5	0.006082819	1948
308	ADAP1	0.00134391	4100
309	ADAP2	0.000670098	5835
310	ADAR	0.000930324	4894
311	ADARB1	0.001339342	4106
312	ADARB2	0.033093636	612
313	ADARB2-AS1	0	17907
314	ADAT1	0.000147585	13568
315	ADAT2	8.56e-05	15201
316	ADAT3	3.7e-05	16447
317	ADCK1	0.000264569	10370
318	ADCK2	0.000316545	9207
319	ADCK5	0.000389522	7974
320	ADCY1	0.041440318	502
321	ADCY10	0.0001285	14118
322	ADCY10P1	0.000107778	14664
323	ADCY2	0.012688652	1278
324	ADCY3	0.000175881	12744
325	ADCY4	0.003802982	2491
326	ADCY5	0.132166033	145
327	ADCY6	0.001371383	4055
328	ADCY7	0.000283478	9908
329	ADCY8	0.030688028	661
330	ADCY9	0.00144101	3971
331	ADCYAP1	0	17908
332	ADCYAP1R1	0.01261386	1285
333	ADD1	0.000422199	7554
334	ADD2	0.115757451	183
335	ADD3	0.000558838	6428
336	ADD3-AS1	8.74e-05	15158
337	ADGB	4.71e-05	16146
338	ADGRA1	0.005815202	2011
339	ADGRA1-AS1	0	17909
340	ADGRA2	0.021048333	907
341	ADGRA3	0.000764368	5446
342	ADGRB1	0.008096687	1686
343	ADGRB2	0.070943675	305
344	ADGRB3	0.000698113	5700
345	ADGRD1	0.023521011	819
346	ADGRE1	0	17910
347	ADGRE2	0.000102569	14788
348	ADGRE3	0	17911
349	ADGRE5	0.000116365	14431
350	ADGRF1	0	17912
351	ADGRF2	3.78e-05	16423
352	ADGRF3	3.78e-05	16424
353	ADGRF4	0.00011647	14426
354	ADGRF5	8.34e-05	15257
355	ADGRG1	0.001155929	4400
356	ADGRG2	0.004181537	2384
357	ADGRG3	0	17913
358	ADGRG4	8.79e-05	15144
359	ADGRG5	0.000253772	10639
360	ADGRG6	0.000761301	5460
361	ADGRG7	9.83e-05	14894
362	ADGRL1	0.001439315	3973
363	ADGRL2	0.00833372	1661
364	ADGRL3	0.002567817	3022
365	ADGRL4	0.000300867	9550
366	ADGRV1	0.013141836	1248
367	ADH1A	3.62e-05	16485
368	ADH1B	2.34e-05	16894
369	ADH4	9.01e-06	17458
370	ADH5	0.000292674	9727
371	ADH6	5.57e-06	17615
372	ADH7	0	17914
373	ADHFE1	0.000570729	6354
374	ADI1	0.000343946	8700
375	ADIG	0	17915
376	ADIPOQ	0	17916
377	ADIPOQ-AS1	0	17917
378	ADIPOR1	0.000290098	9778
379	ADIPOR2	0.00038756	8004
380	ADK	0.000967748	4826
381	ADM	0.002828979	2879
382	ADM2	0.000136289	13881
383	ADM5	1.01e-05	17414
384	ADNP	0.000241085	10956
385	ADNP2	0.000376995	8153
386	ADO	0.000377888	8136
387	ADORA1	0.139280738	138
388	ADORA2A	0.000962299	4842
389	ADORA2A-AS1	0.000750173	5504
390	ADORA2B	0.002601546	2995
391	ADPGK	0.000296205	9649
392	ADPGK-AS1	0.000159029	13228
393	ADPRH	0.000206172	11865
394	ADPRHL1	0.000467614	7090
395	ADPRHL2	0.000215269	11626
396	ADPRM	0.000110303	14589
397	ADRA1A	0	17918
398	ADRA1B	0.100037007	210
399	ADRA1D	0.006394517	1907
400	ADRA2A	0.000581113	6301
401	ADRA2B	0.042420062	493
402	ADRA2C	0.086241722	248
403	ADRB1	0.007561562	1753
404	ADRB2	0.001285914	4185
405	ADRB3	0.007226107	1797
406	ADRM1	0.00019414	12226
407	ADSL	0.000285718	9864
408	ADSS	0.000293505	9712
409	ADSSL1	0.00304018	2781
410	ADTRP	6.89e-05	15611
411	AEBP1	0.001310574	4149
412	AEBP2	0.000195941	12169
413	AEN	0.000339485	8781
414	AES	0.000538206	6567
415	AFAP1	0.004137811	2393
416	AFAP1-AS1	0.000117719	14390
417	AFAP1L1	0.02954438	688
418	AFAP1L2	0.022226795	866
419	AFF1	0.000414178	7658
420	AFF2	0.007495161	1765
421	AFF3	0.013244064	1243
422	AFF4	0.000293985	9703
423	AFG3L1P	0.00011436	14491
424	AFG3L2	0.000396088	7889
425	AFM	4.95e-05	16088
426	AFMID	0.000222194	11446
427	AFP	0.001718947	3659
428	AFTPH	0.000261365	10460
429	AGA	9.97e-05	14859
430	AGAP1	0.031904679	638
431	AGAP1-IT1	4.05e-05	16337
432	AGAP12P	1.22e-06	17784
433	AGAP2	0.001938742	3456
434	AGAP3	0.001916357	3474
435	AGAP4	7.02e-08	17863
436	AGAP5	2.38e-06	17735
437	AGAP6	1.61e-05	17173
438	AGAP7P	7.66e-05	15415
439	AGBL1	0.000502157	6826
440	AGBL1-AS1	0	17919
441	AGBL2	8.22e-05	15294
442	AGBL3	0.000165249	13055
443	AGBL4	0.003760953	2504
444	AGBL5	0.000227457	11320
445	AGBL5-AS1	3.1e-05	16649
446	AGER	2.78e-05	16770
447	AGFG1	0.000375223	8187
448	AGFG2	0.00022688	11332
449	AGGF1	0.000669322	5838
450	AGK	0.000658449	5886
451	AGL	0.000180044	12634
452	AGMAT	7.54e-05	15443
453	AGMO	1.84e-05	17100
454	AGO1	0.000581023	6302
455	AGO2	0.000293583	9708
456	AGO3	0.000165607	13043
457	AGO4	0.0002244	11396
458	AGPAT1	0.000150863	13473
459	AGPAT2	0.012159769	1320
460	AGPAT3	0.000587418	6265
461	AGPAT4	0.000734438	5566
462	AGPAT4-IT1	2.94e-05	16704
463	AGPAT5	0.000381873	8083
464	AGPS	0.000306328	9425
465	AGR2	1.63e-05	17167
466	AGR3	0	17920
467	AGRN	0.060015946	362
468	AGRP	0.000413508	7664
469	AGT	0.001458846	3953
470	AGTPBP1	0.000839967	5169
471	AGTR1	6.5e-05	15722
472	AGTR2	0	17921
473	AGTRAP	0.00039954	7843
474	AGXT	0.00120414	4309
475	AGXT2	0	17922
476	AHCTF1	0.0002172	11579
477	AHCY	0.001404647	4023
478	AHCYL1	0.001388213	4035
479	AHCYL2	0.000518879	6704
480	AHDC1	0.000273157	10151
481	AHI1	0.000258934	10513
482	AHNAK	0.01479017	1148
483	AHNAK2	0.02564914	759
484	AHR	0.000171616	12865
485	AHRR	0.002895729	2849
486	AHSA1	0.00024368	10897
487	AHSA2	0.0003409	8751
488	AHSG	0.000943423	4875
489	AHSP	0	17923
490	AICDA	2.9e-05	16721
491	AIDA	0.000155883	13330
492	AIF1	0	17924
493	AIF1L	0.005439134	2071
494	AIFM1	0.001753774	3617
495	AIFM2	0.000253514	10647
496	AIFM3	0.002863486	2866
497	AIG1	0.001207246	4306
498	AIM1	0.003966272	2451
499	AIM1L	0.002009519	3397
500	AIM2	2.49e-05	16847
501	AIMP1	0.000174792	12780
502	AIMP2	0.000184554	12497
503	AIP	0.000435878	7418
504	AIPL1	0.00074067	5537
505	AIRE	0.000125195	14207
506	AIRN	8.78e-06	17469
507	AJAP1	0.000519116	6702
508	AJUBA	0.00079736	5324
509	AK1	0.000302634	9509
510	AK2	0.000499379	6845
511	AK3	0.000281623	9961
512	AK4	0.012202904	1317
513	AK5	0.000423115	7545
514	AK6	0.000113789	14505
515	AK7	0.001293254	4175
516	AK8	0.033392684	607
517	AK9	0.000301539	9534
518	AKAP1	0.000369731	8274
519	AKAP10	0.000332447	8907
520	AKAP11	0.00027003	10234
521	AKAP12	0.007285834	1791
522	AKAP13	0.001413655	4007
523	AKAP14	0.000100633	14835
524	AKAP2	0.000243418	10912
525	AKAP3	0.000327166	9014
526	AKAP4	0.000534882	6581
527	AKAP5	0.000104603	14750
528	AKAP6	0.001031637	4658
529	AKAP7	0.000415384	7645
530	AKAP8	0.000170736	12891
531	AKAP8L	0.000278003	10038
532	AKAP9	0.000514225	6737
533	AKIP1	0.000322755	9102
534	AKIRIN1	0.000239527	10998
535	AKIRIN2	0.000226747	11341
536	AKNA	0.000204154	11928
537	AKNAD1	0	17925
538	AKR1A1	0.000392136	7935
539	AKR1B1	0.000783452	5376
540	AKR1B10	0.000152856	13421
541	AKR1B15	0.000134002	13952
542	AKR1C1	0.000212871	11700
543	AKR1C2	8.55e-05	15205
544	AKR1C3	0.000241417	10950
545	AKR1C6P	0.000117544	14399
546	AKR1C8P	0	17926
547	AKR1D1	0	17927
548	AKR1E2	0.000666814	5849
549	AKR7A2	0.000398772	7852
550	AKR7A2P1	3.19e-05	16620
551	AKR7A3	0.000202424	11977
552	AKR7L	1.94e-05	17056
553	AKT1	0.000572382	6345
554	AKT1S1	0.000150054	13492
555	AKT2	0.000335543	8853
556	AKT3	0.00126866	4208
557	AKTIP	0.000762634	5455
558	ALAD	0.000153274	13411
559	ALAS1	0.000364748	8355
560	ALAS2	0.002974608	2816
561	ALB	8.7e-05	15161
562	ALCAM	0.003017722	2794
563	ALDH16A1	0.000134696	13934
564	ALDH18A1	0.000376088	8170
565	ALDH1A1	0.000148235	13543
566	ALDH1A2	0.056288656	387
567	ALDH1A3	0.002118578	3306
568	ALDH1B1	0.003550373	2586
569	ALDH1L1	0.001972569	3429
570	ALDH1L1-AS2	0.000923022	4918
571	ALDH1L2	1e-04	14852
572	ALDH2	0.001053209	4604
573	ALDH3A1	5.32e-05	15991
574	ALDH3A2	0.000625083	6061
575	ALDH3B1	0.000226043	11364
576	ALDH3B2	0.000292927	9723
577	ALDH4A1	0.004700023	2241
578	ALDH5A1	0.000356586	8494
579	ALDH6A1	0.000216329	11597
580	ALDH7A1	0.00043667	7411
581	ALDH8A1	7.22e-05	15527
582	ALDH9A1	0.000323972	9075
583	ALDOA	0.000808433	5282
584	ALDOB	0.000236475	11081
585	ALDOC	0.000409488	7707
586	ALG1	9.99e-05	14856
587	ALG10	4.96e-05	16084
588	ALG10B	3.27e-05	16584
589	ALG11	0.000150962	13470
590	ALG12	7.97e-05	15361
591	ALG13	0.002233793	3232
592	ALG14	0.000192115	12280
593	ALG1L	3.11e-05	16645
594	ALG1L2	0.000173474	12816
595	ALG1L9P	7.47e-06	17534
596	ALG2	0.000112195	14541
597	ALG3	0.000166713	13005
598	ALG5	0.000174912	12776
599	ALG6	0.000694813	5713
600	ALG8	0.00025792	10540
601	ALG9	9.59e-05	14957
602	ALK	0.077518401	272
603	ALKBH1	0.000199701	12059
604	ALKBH2	0.000128498	14119
605	ALKBH3	0.010875204	1428
606	ALKBH3-AS1	1.15e-05	17355
607	ALKBH4	0.000137162	13851
608	ALKBH5	0.000391413	7947
609	ALKBH6	0.000127681	14137
610	ALKBH7	0.000111055	14567
611	ALKBH8	0.000205661	11877
612	ALLC	0.000237016	11062
613	ALMS1	0.008232832	1671
614	ALMS1-IT1	1.12e-05	17365
615	ALMS1P1	0.000261877	10447
616	ALOX12	0.000189776	12341
617	ALOX12-AS1	0.000345289	8673
618	ALOX12B	0	17928
619	ALOX12P2	0.000922629	4921
620	ALOX15	0.009463722	1554
621	ALOX15B	0.001638823	3736
622	ALOX5	0.001555759	3836
623	ALOX5AP	0.00045326	7237
624	ALOXE3	0	17929
625	ALPI	0	17930
626	ALPK1	0.000559474	6423
627	ALPK2	0.007287147	1789
628	ALPK3	0.002318955	3175
629	ALPL	0.002326856	3169
630	ALPP	0.000323513	9085
631	ALPPL2	0	17931
632	ALS2	0.000671058	5826
633	ALS2CL	0.005102041	2157
634	ALS2CR11	0	17932
635	ALS2CR12	9.25e-05	15029
636	ALX1	0.058416395	373
637	ALX3	0	17933
638	ALX4	0.035992223	572
639	ALYREF	0.000177138	12712
640	AMACR	4.85e-05	16110
641	AMBN	0	17934
642	AMBP	0.002178096	3267
643	AMBRA1	0.001178631	4350
644	AMD1	0.000768085	5432
645	AMDHD1	9.9e-05	14879
646	AMDHD2	0.000123627	14240
647	AMER1	0.003220659	2699
648	AMER2	0.000858691	5098
649	AMER3	0.004017951	2434
650	AMFR	0.000486296	6935
651	AMH	0.001200456	4318
652	AMHR2	0.00042162	7565
653	AMIGO1	0.000587271	6266
654	AMIGO2	0.000159307	13213
655	AMMECR1	0.047293649	453
656	AMMECR1L	0.000109123	14625
657	AMN	0.006602844	1869
658	AMN1	0.000148521	13534
659	AMOT	0.027339855	725
660	AMOTL1	0.006010708	1968
661	AMOTL2	0.005923508	1993
662	AMPD1	0	17935
663	AMPD2	0.000244748	10870
664	AMPD3	0.000214882	11640
665	AMPH	0.000722945	5605
666	AMT	5.63e-06	17610
667	AMY2B	0.000140278	13762
668	AMZ1	0.003250129	2685
669	AMZ2	0.004667194	2254
670	AMZ2P1	0.000126829	14160
671	ANAPC1	0.000106776	14694
672	ANAPC10	0.000174174	12802
673	ANAPC11	0.000257942	10539
674	ANAPC13	0.000173363	12818
675	ANAPC15	0.000692041	5723
676	ANAPC16	0.000215495	11616
677	ANAPC1P1	0	17936
678	ANAPC2	0.000241556	10948
679	ANAPC4	0.000297871	9614
680	ANAPC5	0.000580738	6305
681	ANAPC7	0.000255444	10598
682	ANG	8.48e-05	15219
683	ANGEL1	0.000421568	7566
684	ANGEL2	0.000200842	12028
685	ANGPT1	0.001358789	4081
686	ANGPT2	4.88e-05	16105
687	ANGPT4	0.006424917	1900
688	ANGPTL1	1.63e-05	17168
689	ANGPTL2	0.000430385	7472
690	ANGPTL3	1.05e-05	17402
691	ANGPTL4	0.000889126	5013
692	ANGPTL5	4e-05	16352
693	ANGPTL6	1.6e-05	17175
694	ANGPTL7	1.08e-05	17390
695	ANGPTL8	2.57e-05	16821
696	ANHX	0	17937
697	ANK1	0.115264591	186
698	ANK2	0.005376353	2086
699	ANK3	0.003808091	2488
700	ANKAR	9.16e-05	15059
701	ANKDD1A	0.000219574	11514
702	ANKDD1B	3.4e-05	16550
703	ANKEF1	0.000298206	9608
704	ANKFN1	0.000440629	7357
705	ANKFY1	0.000299072	9587
706	ANKH	0.001188623	4338
707	ANKHD1	4.99e-06	17632
708	ANKHD1-EIF4EBP3	1.16e-05	17351
709	ANKIB1	0.000255293	10603
710	ANKK1	0.000566332	6379
711	ANKLE1	0.000103127	14778
712	ANKLE2	0.000210231	11770
713	ANKMY1	0.000983597	4777
714	ANKMY2	0.000401284	7820
715	ANKRA2	0.000163411	13106
716	ANKRD1	0.038554043	533
717	ANKRD10	0.000896066	4997
718	ANKRD11	0.000185544	12468
719	ANKRD12	0.000198179	12102
720	ANKRD13A	0.000322132	9112
721	ANKRD13B	0.000330529	8954
722	ANKRD13C	0.000259041	10511
723	ANKRD13D	0.000213734	11672
724	ANKRD16	0.000174669	12787
725	ANKRD17	0.000306857	9414
726	ANKRD18A	0.000736576	5553
727	ANKRD18B	7.01e-05	15577
728	ANKRD18CP	0.000853661	5118
729	ANKRD18DP	0.00068908	5737
730	ANKRD19P	0	17938
731	ANKRD2	0	17939
732	ANKRD20A1	0	17940
733	ANKRD20A11P	1.1e-05	17378
734	ANKRD20A19P	0.000348623	8623
735	ANKRD20A2	0	17941
736	ANKRD20A3	0	17942
737	ANKRD20A4	7.68e-07	17805
738	ANKRD20A5P	0	17943
739	ANKRD20A8P	0	17944
740	ANKRD22	4.71e-05	16147
741	ANKRD23	1.57e-05	17186
742	ANKRD24	0.007648556	1740
743	ANKRD26	0.000244187	10884
744	ANKRD26P1	0	17945
745	ANKRD26P3	0	17946
746	ANKRD27	0.001521684	3881
747	ANKRD28	0.000699707	5696
748	ANKRD29	0.000313996	9267
749	ANKRD30A	0	17947
750	ANKRD30B	0	17948
751	ANKRD30BL	0	17949
752	ANKRD31	3.99e-05	16355
753	ANKRD33	0	17950
754	ANKRD33B	0.021889988	876
755	ANKRD34A	0.000187593	12405
756	ANKRD34B	0	17951
757	ANKRD34C	0	17952
758	ANKRD35	0.000134208	13944
759	ANKRD36	0.000231993	11208
760	ANKRD36B	6.22e-05	15788
761	ANKRD36BP2	3.25e-05	16589
762	ANKRD36C	0.000351136	8584
763	ANKRD37	0.000131484	14035
764	ANKRD39	0.000100101	14847
765	ANKRD40	0.000156442	13312
766	ANKRD42	0.000132693	13999
767	ANKRD44	6.71e-05	15666
768	ANKRD44-IT1	0	17953
769	ANKRD45	0.001118362	4466
770	ANKRD46	0.001371125	4056
771	ANKRD49	8.18e-05	15306
772	ANKRD50	0.000377801	8138
773	ANKRD52	0.000185905	12461
774	ANKRD53	0.000366923	8323
775	ANKRD54	0.000158369	13249
776	ANKRD55	0	17954
777	ANKRD6	0.001513805	3893
778	ANKRD60	0	17955
779	ANKRD61	2.45e-05	16860
780	ANKRD62	0	17956
781	ANKRD63	0.069773192	311
782	ANKRD65	0.000472889	7039
783	ANKRD66	0	17957
784	ANKRD7	1.2e-05	17331
785	ANKRD9	0.000285193	9874
786	ANKS1A	0.001032474	4656
787	ANKS1B	0.002588168	3005
788	ANKS3	0.000255023	10610
789	ANKS4B	0	17958
790	ANKS6	0.001296041	4166
791	ANKUB1	0.000259158	10508
792	ANKZF1	0.000170597	12898
793	ANLN	0.000729522	5583
794	ANO1	0	17959
795	ANO10	0.000981995	4781
796	ANO2	0.002260862	3214
797	ANO3	0.00072257	5608
798	ANO4	0.000137052	13853
799	ANO5	0.00080063	5312
800	ANO6	0.001690634	3684
801	ANO7	0.00023819	11028
802	ANO8	0.000873815	5059
803	ANO9	0.000540804	6553
804	ANOS1	0.008466223	1651
805	ANP32A	0.000475647	7012
806	ANP32AP1	8.44e-06	17483
807	ANP32B	0.022287435	863
808	ANP32C	1.11e-05	17372
809	ANP32D	0	17960
810	ANP32E	0.000235678	11098
811	ANPEP	0	17961
812	ANTXR1	0.026927628	735
813	ANTXR2	0.000711828	5643
814	ANTXRL	0.000515219	6731
