	DIS
AFF1	0.000414178
AFF2	0.007495161
AFF3	0.013244064
AFF4	0.000293985
AFG3L1P	0.00011436
AFG3L2	0.000396088
AFM	4.95E-05
AFMID	0.000222194
AFP	0.001718947
AFTPH	0.000261365
AGA	9.97E-05
AGAP1	0.031904679
AGAP1-IT1	4.05E-05
AGAP12P	1.22E-06
AGAP2	0.001938742
AGAP3	0.001916357
AGAP4	7.02E-08
AGAP5	2.38E-06
AGAP6	1.61E-05
AGAP7P	7.66E-05
AGBL1	0.000502157
AGBL1-AS1	0
AGBL2	8.22E-05
AGBL3	0.000165249
AGBL4	0.003760953
AGBL5	0.000227457
AGBL5-AS1	3.10E-05
AGER	2.78E-05
AGFG1	0.000375223
AGFG2	0.00022688
AGGF1	0.000669322
AGK	0.000658449
AGL	0.000180044
AGMAT	7.54E-05
AGMO	1.84E-05
AGO1	0.000581023
AGO2	0.000293583
AGO3	0.000165607
AGO4	0.0002244
AGPAT1	0.000150863
AGPAT2	0.012159769
AGPAT3	0.000587418
AGPAT4	0.000734438
AGPAT4-IT1	2.94E-05
AGPAT5	0.000381873
AGPS	0.000306328
AGR2	1.63E-05
AGR3	0
AGRN	0.060015946
AGRP	0.000413508
AGT	0.001458846
AGTPBP1	0.000839967
AGTR1	6.50E-05
AGTR2	0
AGTRAP	0.00039954
AGXT	0.00120414
AGXT2	0
AHCTF1	0.0002172
AHCY	0.001404647
AHCYL1	0.001388213
AHCYL2	0.000518879
AHDC1	0.000273157
AHI1	0.000258934
AHNAK	0.01479017
AHNAK2	0.02564914
AHR	0.000171616
AHRR	0.002895729
AHSA1	0.00024368
AHSA2	0.0003409
AHSG	0.000943423
AHSP	0
AICDA	2.90E-05
AIDA	0.000155883
AIF1	0
AIF1L	0.005439134
AIFM1	0.001753774
AIFM2	0.000253514
AIFM3	0.002863486
AIG1	0.001207246
AIM1	0.003966272
AIM1L	0.002009519
AIM2	2.49E-05
AIMP1	0.000174792
AIMP2	0.000184554
AIP	0.000435878
AIPL1	0.00074067
AIRE	0.000125195
AIRN	8.78E-06
AJAP1	0.000519116
AJUBA	0.00079736
AK1	0.000302634
AK2	0.000499379
AK3	0.000281623
AK4	0.012202904
AK5	0.000423115
AK6	0.000113789
AK7	0.001293254
AK8	0.033392684
AK9	0.000301539
AKAP1	0.000369731
AKAP10	0.000332447
AKAP11	0.00027003
AKAP12	0.007285834
AKAP13	0.001413655
AKAP14	0.000100633
AKAP2	0.000243418
AKAP3	0.000327166
AKAP4	0.000534882
AKAP5	0.000104603
AKAP6	0.001031637
AKAP7	0.000415384
AKAP8	0.000170736
AKAP8L	0.000278003
AKAP9	0.000514225
AKIP1	0.000322755
AKIRIN1	0.000239527
AKIRIN2	0.000226747
AKNA	0.000204154
AKNAD1	0
AKR1A1	0.000392136
AKR1B1	0.000783452
AKR1B10	0.000152856
AKR1B15	0.000134002
AKR1C1	0.000212871
AKR1C2	8.55E-05
AKR1C3	0.000241417
AKR1C6P	0.000117544
AKR1C8P	0
AKR1D1	0
AKR1E2	0.000666814
AKR7A2	0.000398772
AKR7A2P1	3.19E-05
AKR7A3	0.000202424
AKR7L	1.94E-05
AKT1	0.000572382
AKT1S1	0.000150054
AKT2	0.000335543
AKT3	0.00126866
AKTIP	0.000762634
ALAD	0.000153274
ALAS1	0.000364748
ALAS2	0.002974608
ALB	8.70E-05
ALCAM	0.003017722
ALDH16A1	0.000134696
ALDH18A1	0.000376088
ALDH1A1	0.000148235
ALDH1A2	0.056288656
ALDH1A3	0.002118578
ALDH1B1	0.003550373
ALDH1L1	0.001972569
ALDH1L1-AS2	0.000923022
ALDH1L2	1.00E-04
ALDH2	0.001053209
ALDH3A1	5.32E-05
ALDH3A2	0.000625083
ALDH3B1	0.000226043
ALDH3B2	0.000292927
ALDH4A1	0.004700023
ALDH5A1	0.000356586
ALDH6A1	0.000216329
ALDH7A1	0.00043667
ALDH8A1	7.22E-05
ALDH9A1	0.000323972
ALDOA	0.000808433
ALDOB	0.000236475
ALDOC	0.000409488
ALG1	9.99E-05
ALG10	4.96E-05
ALG10B	3.27E-05
ALG11	0.000150962
ALG12	7.97E-05
ALG13	0.002233793
ALG14	0.000192115
ALG1L	3.11E-05
ALG1L2	0.000173474
ALG1L9P	7.47E-06
ALG2	0.000112195
ALG3	0.000166713
ALG5	0.000174912
ALG6	0.000694813
ALG8	0.00025792
ALG9	9.59E-05
ALK	0.077518401
ALKBH1	0.000199701
ALKBH2	0.000128498
ALKBH3	0.010875204
ALKBH3-AS1	1.15E-05
ALKBH4	0.000137162
ALKBH5	0.000391413
ALKBH6	0.000127681
ALKBH7	0.000111055
ALKBH8	0.000205661
ALLC	0.000237016
ALMS1	0.008232832
ALMS1-IT1	1.12E-05
ALMS1P1	0.000261877
ALOX12	0.000189776
ALOX12-AS1	0.000345289
ALOX12B	0
ALOX12P2	0.000922629
ALOX15	0.009463722
ALOX15B	0.001638823
ALOX5	0.001555759
ALOX5AP	0.00045326
ALOXE3	0
ALPI	0
ALPK1	0.000559474
ALPK2	0.007287147
ALPK3	0.002318955
ALPL	0.002326856
ALPP	0.000323513
ALPPL2	0
ALS2	0.000671058
ALS2CL	0.005102041
ALS2CR11	0
ALS2CR12	9.25E-05
ALX1	0.058416395
ALX3	0
ALX4	0.035992223
ALYREF	0.000177138
AMACR	4.85E-05
AMBN	0
AMBP	0.002178096
AMBRA1	0.001178631
AMD1	0.000768085
AMDHD1	9.90E-05
AMDHD2	0.000123627
AMER1	0.003220659
AMER2	0.000858691
AMER3	0.004017951
AMFR	0.000486296
AMH	0.001200456
AMHR2	0.00042162
AMIGO1	0.000587271
AMIGO2	0.000159307
AMMECR1	0.047293649
AMMECR1L	0.000109123
AMN	0.006602844
AMN1	0.000148521
AMOT	0.027339855
AMOTL1	0.006010708
AMOTL2	0.005923508
AMPD1	0
AMPD2	0.000244748
AMPD3	0.000214882
AMPH	0.000722945
AMT	5.63E-06
AMY2B	0.000140278
AMZ1	0.003250129
AMZ2	0.004667194
AMZ2P1	0.000126829
ANAPC1	0.000106776
ANAPC10	0.000174174
ANAPC11	0.000257942
ANAPC13	0.000173363
ANAPC15	0.000692041
ANAPC16	0.000215495
ANAPC1P1	0
ANAPC2	0.000241556
ANAPC4	0.000297871
ANAPC5	0.000580738
ANAPC7	0.000255444
ANG	8.48E-05
ANGEL1	0.000421568
ANGEL2	0.000200842
ANGPT1	0.001358789
ANGPT2	4.88E-05
ANGPT4	0.006424917
ANGPTL1	1.63E-05
ANGPTL2	0.000430385
ANGPTL3	1.05E-05
ANGPTL4	0.000889126
ANGPTL5	4.00E-05
ANGPTL6	1.60E-05
ANGPTL7	1.08E-05
ANGPTL8	2.57E-05
ANHX	0
ANK1	0.115264591
ANK2	0.005376353
ANK3	0.003808091
ANKAR	9.16E-05
ANKDD1A	0.000219574
ANKDD1B	3.40E-05
ANKEF1	0.000298206
ANKFN1	0.000440629
ANKFY1	0.000299072
ANKH	0.001188623
ANKHD1	4.99E-06
ANKHD1-EIF4EBP3	1.16E-05
ANKIB1	0.000255293
ANKK1	0.000566332
ANKLE1	0.000103127
ANKLE2	0.000210231
ANKMY1	0.000983597
ANKMY2	0.000401284
ANKRA2	0.000163411
ANKRD1	0.038554043
ANKRD10	0.000896066
ANKRD11	0.000185544
ANKRD12	0.000198179
ANKRD13A	0.000322132
ANKRD13B	0.000330529
ANKRD13C	0.000259041
ANKRD13D	0.000213734
ANKRD16	0.000174669
ANKRD17	0.000306857
ANKRD18A	0.000736576
ANKRD18B	7.01E-05
ANKRD18CP	0.000853661
ANKRD18DP	0.00068908
ANKRD19P	0
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	1.10E-05
ANKRD20A19P	0.000348623
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	7.68E-07
ANKRD20A5P	0
ANKRD20A8P	0
ANKRD22	4.71E-05
ANKRD23	1.57E-05
ANKRD24	0.007648556
ANKRD26	0.000244187
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	0.001521684
ANKRD28	0.000699707
ANKRD29	0.000313996
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD31	3.99E-05
ANKRD33	0
ANKRD33B	0.021889988
ANKRD34A	0.000187593
ANKRD34B	0
ANKRD34C	0
ANKRD35	0.000134208
ANKRD36	0.000231993
ANKRD36B	6.22E-05
ANKRD36BP2	3.25E-05
ANKRD36C	0.000351136
ANKRD37	0.000131484
ANKRD39	0.000100101
ANKRD40	0.000156442
ANKRD42	0.000132693
ANKRD44	6.71E-05
ANKRD44-IT1	0
ANKRD45	0.001118362
ANKRD46	0.001371125
ANKRD49	8.18E-05
ANKRD50	0.000377801
ANKRD52	0.000185905
ANKRD53	0.000366923
ANKRD54	0.000158369
ANKRD55	0
ANKRD6	0.001513805
ANKRD60	0
ANKRD61	2.45E-05
ANKRD62	0
ANKRD63	0.069773192
ANKRD65	0.000472889
ANKRD66	0
ANKRD7	1.20E-05
ANKRD9	0.000285193
ANKS1A	0.001032474
ANKS1B	0.002588168
ANKS3	0.000255023
ANKS4B	0
ANKS6	0.001296041
ANKUB1	0.000259158
ANKZF1	0.000170597
ANLN	0.000729522
ANO1	0
ANO10	0.000981995
ANO2	0.002260862
ANO3	0.00072257
ANO4	0.000137052
ANO5	0.00080063
ANO6	0.001690634
ANO7	0.00023819
ANO8	0.000873815
ANO9	0.000540804
ANOS1	0.008466223
ANP32A	0.000475647
ANP32AP1	8.44E-06
ANP32B	0.022287435
ANP32C	1.11E-05
ANP32D	0
ANP32E	0.000235678
ANPEP	0
ANTXR1	0.026927628
ANTXR2	0.000711828
ANTXRL	0.000515219
ANTXRLP1	3.61E-05
ANXA1	0.000210209
ANXA11	0.000494887
ANXA13	6.72E-05
ANXA2	0.001212496
ANXA2P1	0
ANXA2P2	0.002826689
ANXA2R	0.001658651
ANXA3	0.00170833
ANXA4	0.001322537
ANXA5	0.002658532
ANXA6	0.000995344
ANXA7	0.00037682
ANXA8	2.30E-07
ANXA8L1	3.23E-06
ANXA9	0.000584406
AOAH	8.69E-05
AOAH-IT1	0
AOC1	0.000831715
AOC2	5.79E-05
AOC3	7.15E-05
AOC4P	0
AOX1	4.03E-05
AP1AR	0.000237341
AP1B1	0.000305829
AP1G1	0.000215817
AP1G2	0.000126774
AP1M1	0.00018072
AP1M2	0.000597069
AP1S1	0.011720544
AP1S2	0.00131082
AP1S3	2.51E-05
AP2A1	0.00028586
AP2A2	0.000395
AP2B1	0.000944363
AP2M1	0.000338701
AP2S1	0.000428612
AP3B1	0.009616387
AP3B2	0.000711164
AP3D1	0.000291456
AP3M1	0.000183205
AP3M2	0.000340525
AP3S1	0.000403768
AP3S2	0.000210857
AP4B1	8.28E-05
AP4B1-AS1	0
AP4E1	0.000209318
AP4M1	9.81E-05
AP4S1	0.000196247
AP5B1	0.001402514
AP5M1	0.000110798
AP5S1	8.75E-05
AP5Z1	0.000220042
APAF1	0.000171304
APBA1	0.001719356
APBA2	0.002644965
APBA3	0.000127423
APBB1	0.001663177
APBB1IP	8.57E-05
APBB2	0.007868829
APBB3	9.10E-05
APC	0.000577499
APC2	0.087684756
APCDD1	0.011923478
APCDD1L	0.002522975
APCDD1L-AS1	0.004855644
APEH	0.000473423
APELA	0.000155755
APEX1	0.000115491
APEX2	0.000884127
APH1A	0.000158243
APH1B	0.00038807
API5	0.000362789
APIP	0.000146226
APITD1-CORT	1.14E-05
APLF	0.000375697
APLN	0.004809218
APLNR	0.028346301
APLP1	0.001234899
APLP2	0.002330186
APMAP	0.000668441
APOA1	0.000227169
APOA1-AS	3.90E-05
APOA2	5.09E-05
APOA4	0.000170201
APOA5	0
APOB	0.000696897
APOBEC2	0.000623585
APOBEC3A	0
APOBEC3B	0.000190216
APOBEC3B-AS1	0
APOBEC3C	0.000278845
APOBEC3D	0.000161883
APOBEC3F	0.00036022
APOBEC3G	0.000402783
APOBEC3H	0.000397767
APOBEC4	7.47E-05
APOBR	0
APOC1	0.000243636
APOC1P1	0
APOC3	3.34E-05
APOD	0
APOE	0.002219685
APOF	1.09E-05
APOH	0
APOL1	0
APOL2	0.000126235
APOL3	7.05E-06
APOL4	0
APOL6	1.94E-06
APOLD1	0.000211331
APOM	4.36E-05
APOO	0.002994885
APOOL	0.000636776
APOOP5	1.17E-05
APOPT1	9.18E-05
APP	0.002404919
APPBP2	0.000331361
APPL1	0.00030034
APPL2	0.000301688
APRT	0.000252636
APTR	0.000144539
APTX	0.000196024
AQP1	0.0031963
AQP10	0.000750098
AQP11	0.000158768
AQP2	0
AQP3	0.000954283
AQP4	0.000136087
AQP4-AS1	0
AQP5	0.067316986
AQP6	0.000478995
AQP7	0.000111248
AQP8	0.000184575
AQP9	0.003065052
AQR	0.000230697
AR	0.00060743
ARAF	0.001037835
ARAP1	0.000419756
ARAP2	0.000124391
ARAP3	0.000166828
ARC	0.009476238
ARCN1	0.000297722
AREG	9.10E-07
AREL1	0.000268738
ARF1	0.012392366
ARF3	0.000440475
ARF4	0.000399901
ARF4-AS1	0
ARF5	0.000460841
ARF6	0.000120848
ARFGAP1	0.001048091
ARFGAP2	0.000213349
ARFGAP3	0.000402024
ARFGEF1	0.000322209
ARFGEF2	0.000524634
ARFGEF3	0.006692698
ARFIP1	0.000361297
ARFIP2	0.000135306
ARFRP1	0.000194338
ARG1	9.16E-06
ARG2	0.005472989
ARGFX	0
ARGFXP2	2.28E-06
ARGLU1	0.000316529
ARHGAP1	0.00023727
ARHGAP10	0.006524999
ARHGAP11A	9.17E-05
ARHGAP11B	7.97E-06
ARHGAP12	0.000426438
ARHGAP15	1.92E-05
ARHGAP17	0.000277916
ARHGAP18	9.25E-05
ARHGAP19	0.000276024
ARHGAP19-SLIT1	0
ARHGAP20	0.00027207
ARHGAP21	0.00057949
ARHGAP22	0.003183079
ARHGAP23	0.006607208
ARHGAP24	0.000350172
ARHGAP25	0.000309444
ARHGAP26	0.001241528
ARHGAP26-AS1	0
ARHGAP27	0.006219139
ARHGAP28	0.000810046
ARHGAP29	0.087997598
ARHGAP30	0.000647128
ARHGAP31	0.001110414
ARHGAP31-AS1	5.47E-05
ARHGAP32	0.000277384
ARHGAP33	0.000455888
ARHGAP35	0.001152802
ARHGAP36	0.004404334
ARHGAP39	0.00208039
ARHGAP4	0.009173898
ARHGAP40	0.004097232
ARHGAP42	0.001271338
ARHGAP44	0.001114165
ARHGAP45	0.008193371
ARHGAP5	0.000671388
ARHGAP5-AS1	5.38E-05
ARHGAP6	0.073719607
ARHGAP8	0.001748126
ARHGAP9	0.001294179
ARHGDIA	0.000202542
ARHGDIB	0.000170632
ARHGDIG	0.002044769
ARHGEF1	0.006332016
ARHGEF10	0.000160679
ARHGEF10L	0.008932136
ARHGEF11	0.01975299
ARHGEF12	0.032065166
ARHGEF15	0.00084045
ARHGEF16	0.014477583
ARHGEF17	0.009979989
ARHGEF18	6.53E-05
ARHGEF19	0.00041751
ARHGEF2	0.000293516
ARHGEF25	0.000706982
ARHGEF26	0.001763246
ARHGEF26-AS1	7.32E-05
ARHGEF28	0.001079237
ARHGEF3	0.005038277
ARHGEF33	0.000183079
ARHGEF34P	3.24E-07
ARHGEF35	2.16E-08
ARHGEF37	0.000390146
ARHGEF38	0.000225347
ARHGEF39	8.42E-05
ARHGEF4	0.017492425
ARHGEF40	0.001517653
ARHGEF5	1.75E-05
ARHGEF6	0.000303394
ARHGEF7	0.077058375
ARHGEF7-AS2	0
ARHGEF9	0.004872042
ARHGEF9-IT1	0
ARID1A	0.00029026
ARID1B	0.000407361
ARID2	0.00037351
ARID3A	0.001403781
ARID3B	0.000571515
ARID3C	0
ARID4A	0.000122284
ARID4B	0.000221508
ARID5A	0.000536098
ARID5B	0.000164617
ARIH1	0.000213012
ARIH2	0.000222637
ARIH2OS	3.01E-05
ARL1	0.000265887
ARL10	0.000226295
ARL11	4.17E-06
ARL13A	0.000169209
ARL13B	9.65E-05
ARL14EP	0.002439223
ARL15	0.00065109
ARL16	0.000132933
ARL17A	2.45E-06
ARL17B	7.85E-07
ARL2	0.000238668
ARL2BP	9.40E-05
ARL3	0.00029603
ARL4A	0.000142208
ARL4C	0.001510094
ARL4D	0.000162676
ARL5A	0.000267409
ARL5B	0.000219838
ARL6	0.000171018
ARL6IP1	0.000186801
ARL6IP4	3.23E-05
ARL6IP5	0.000334223
ARL6IP6	0.000226619
ARL8A	0.000396634
ARL8B	0.000278153
ARL9	0.000199938
ARMC1	0.000366844
ARMC10	0.000239576
ARMC12	0.001262751
ARMC2	0.000212057
ARMC3	0.000817385
ARMC4	0.001432528
ARMC4P1	0.000242055
ARMC5	9.54E-05
ARMC6	0.000260357
ARMC7	0.00026464
ARMC8	0.00099083
ARMC9	0.001319843
ARMCX1	0.000608629
ARMCX2	0.018025841
ARMCX3	0.002645696
ARMCX4	0.000466593
ARMCX5	0.000357249
ARMCX5-GPRASP2	0.001190965
ARMCX6	0.002012892
ARMS2	0
ARMT1	0.000222252
ARNT	0.000550136
ARNT2	0.006698836
ARNTL	0.00445952
ARNTL2	0.000567783
ARPC1A	0.000420876
ARPC1B	0.000189029
ARPC2	0.000503047
ARPC3	0.000227524
ARPC4	0.000245726
ARPC5	0.000295984
ARPC5L	0.000194978
ARPIN	0.00042945
ARPP19	0.000323295
ARPP21	0.000355696
ARR3	0.000281288
ARRB1	0.001190215
ARRB2	0.000209824
ARRDC1	0.000547393
ARRDC1-AS1	0.000121977
ARRDC2	0.000319729
ARRDC3	0.000168415
ARRDC3-AS1	0.000169977
ARRDC4	0.000385891
ARRDC5	0
ARSA	0.000487038
ARSB	0.001216631
ARSD	0.000417314
ARSE	0.000150577
ARSF	1.97E-05
